GeneId	Symbol	Normal_transcript	Tumor_transcript	MS	M	S	N	p.me
10000	AKT3	uc001iab.1	uc001hzz.1	0	8	0	1264	1
10001	MED6	uc001xmf.2	uc010tth.1	0	2	0	1306	1
10001	MED6	uc001xmf.2	uc010tti.1	0	2	2	1304	0.99694306591887
100033416	SNORD116-4	uc001yxh.1	uc001yxm.1	0	0	1	1162	1
100033416	SNORD116-4	uc001yxh.1	uc001yxj.1	0	0	1	1162	1
100037417	DDTL	uc011aji.1	uc002zyy.3	0	0	7	911	1
10003	NAALAD2	uc001pdf.3	uc009yvx.2	0	8	2	493	0.968412631779047
10003	NAALAD2	uc009yvx.2	uc009yvy.2	0	8	1	494	0.984095427435388
10003	NAALAD2	uc001pdf.3	uc009yvy.2	0	8	1	494	0.984095427435388
100048912	CDKN2BAS	uc010miz.2	uc010mix.1	0	0	1	177	1
10004	NAALADL1	uc001ocn.2	uc010rnw.1	0	6	6	1873	0.98102821103056
10004	NAALADL1	uc001ocn.2	uc009ypz.2	0	6	3	1876	0.990476252983918
10005	ACOT8	uc002xqc.1	uc010zxe.1	0	3	1	339	0.991253644314869
10006	ABI1	uc001itc.2	uc010qdg.1	0	48	1	12600	0.996205233615306
10006	ABI1	uc001isz.2	uc010qdg.1	0	48	18	12583	0.933810413956407
10006	ABI1	uc001ita.2	uc001ite.2	0	48	3	12598	0.988657953640534
10006	ABI1	uc001isz.2	uc010qdk.1	0	48	2	12599	0.992424568592097
10006	ABI1	uc001isz.2	uc001itc.2	0	48	0	12601	1
10006	ABI1	uc001itc.2	uc001ite.2	0	48	5	12596	0.981166669704898
10006	ABI1	uc010qdg.1	uc010qdh.1	0	48	1	12600	0.996205233615306
10006	ABI1	uc001isz.2	uc010qdi.1	0	48	0	12601	1
10006	ABI1	uc010qdk.1	uc010qdh.1	0	48	1	12600	0.996205233615306
10006	ABI1	uc001isz.2	uc001isy.2	0	48	12	12589	0.955382299318891
10006	ABI1	uc001ita.2	uc010qdj.1	0	48	8	12593	0.970033847553243
10006	ABI1	uc001ita.2	uc010qdg.1	0	48	34	12567	0.878590178616949
10006	ABI1	uc001ita.2	uc001isz.2	3	45	32	12569	0.999991234238934
10006	ABI1	uc001ita.2	uc010qdh.1	0	48	2	12599	0.992424568592097
10006	ABI1	uc001itc.2	uc001isy.2	0	48	1	12600	0.996205233615306
10006	ABI1	uc001isz.2	uc010qdh.1	1	47	5	12596	0.999790522973577
10006	ABI1	uc001isz.2	uc010qdj.1	0	48	1	12600	0.996205233615306
10006	ABI1	uc001isz.2	uc001ita.2	0	48	23	12578	0.916198778286101
10007	GNPDA1	uc010jgh.2	uc003lmh.3	0	4	71	2344	0.887597952551969
10008	KCNE3	uc001ovc.2	uc001ovd.2	0	1	2	1006	0.998017839444995
10008	KCNE3	uc001ovd.2	uc001ovc.2	0	1	1	1007	0.999008919722497
1000	CDH2	uc002kwg.2	uc010xbn.1	0	74	2	2901	0.950895259715164
1000	CDH2	uc010xbn.1	uc002kwg.2	1	73	9	2894	0.975889635338489
100101267	POM121C	uc003udk.3	uc010lde.1	0	9	0	628	1
100101267	POM121C	uc003udl.1	uc010lde.1	0	9	1	627	0.985871271585557
100101467	ZNF397OS	uc002kym.2	uc002kyn.1	0	14	1	4185	0.996666666666667
100101467	ZNF397OS	uc002kym.2	uc002kyo.1	0	14	2	4184	0.993343653250774
100101467	ZNF397OS	uc002kyl.2	uc002kyn.1	0	14	1	4185	0.996666666666667
100101467	ZNF397OS	uc002kym.2	uc010xce.1	1	13	3	4183	0.999938316259615
100101467	ZNF397OS	uc002kyl.2	uc002kyo.1	0	14	5	4181	0.983436237898877
10010	TANK	uc002ubs.2	uc002ubr.1	0	12	10	2215	0.947530199337934
10010	TANK	uc002ubr.1	uc002ubs.2	0	12	1	2224	0.994635672776039
10011	SRA1	uc003lfz.2	uc003lga.2	0	3	18	2349	0.977378325956479
100125556	LOC100125556	uc003eid.3	uc003eie.3	0	0	1	968	1
100126793	GHRLOS	uc011aue.1	uc011auk.1	0	0	2	15294	1
100126793	GHRLOS	uc011auh.1	uc011aui.1	0	0	1	15295	1
100126793	GHRLOS	uc010hdn.2	uc011aud.1	0	0	1	15295	1
100126793	GHRLOS	uc011auk.1	uc011aua.1	0	0	0	15296	1
100126793	GHRLOS	uc011auk.1	uc010hdn.2	0	0	6	15290	1
100126793	GHRLOS	uc011aty.1	uc011auk.1	0	0	1	15295	1
100126793	GHRLOS	uc011aui.1	uc011auk.1	0	0	0	15296	1
100126793	GHRLOS	uc011auh.1	uc011auk.1	0	0	1	15295	1
100126793	GHRLOS	uc011aui.1	uc011atw.1	0	0	1	15295	1
100126793	GHRLOS	uc010hdn.2	uc011auh.1	0	0	1	15295	1
100126793	GHRLOS	uc011auk.1	uc011auh.1	0	0	1	15295	1
100126793	GHRLOS	uc011aug.1	uc010hdn.2	0	0	1	15295	1
100126793	GHRLOS	uc010hdn.2	uc011aue.1	0	0	2	15294	1
100126793	GHRLOS	uc011aud.1	uc011aty.1	0	0	1	15295	1
100126793	GHRLOS	uc011aua.1	uc011aug.1	0	0	1	15295	1
100126793	GHRLOS	uc011auc.1	uc011auk.1	0	0	1	15295	1
100126793	GHRLOS	uc011auk.1	uc011auj.1	0	0	2	15294	1
100126793	GHRLOS	uc011aud.1	uc010hdn.2	0	0	1	15295	1
100126793	GHRLOS	uc010hdn.2	uc011auj.1	0	0	5	15291	1
100126793	GHRLOS	uc011aui.1	uc010hdn.2	0	0	1	15295	1
100126793	GHRLOS	uc011aua.1	uc011aue.1	0	0	1	15295	1
100126793	GHRLOS	uc010hdn.2	uc011auk.1	0	0	5	15291	1
100126793	GHRLOS	uc011aty.1	uc011auj.1	0	0	1	15295	1
100126793	GHRLOS	uc011auh.1	uc011auj.1	0	0	1	15295	1
100128285	DNM1P35	uc002baz.2	uc002bay.1	0	0	1	2131	1
100128285	DNM1P35	uc002bay.1	uc002baz.2	0	0	23	2109	1
100128327	BET3L	uc003pwx.2	uc011ebh.1	0	10	7	8022	0.991321649878461
100128327	BET3L	uc003pww.2	uc011ebh.1	0	10	2	8027	0.997513521186109
100128327	BET3L	uc003pwx.2	uc003pww.2	0	10	17	8012	0.979041573720145
100128327	BET3L	uc003pww.2	uc003pwx.2	0	10	14	8015	0.98271114106265
100128327	BET3L	uc011ebh.1	uc003pww.2	0	10	2	8027	0.997513521186109
100128327	BET3L	uc011ebh.1	uc003pwx.2	0	10	2	8027	0.997513521186109
100128553	CTAGE4	uc010lpc.2	uc010lpe.2	0	0	1	398	1
100128782	C9orf130	uc004avp.3	uc004avs.2	0	0	1	2019	1
100128782	C9orf130	uc004avs.2	uc004avr.2	0	0	0	2020	1
100128782	C9orf130	uc004avs.2	uc004avp.3	0	0	6	2014	1
100128782	C9orf130	uc004avp.3	uc004avr.2	0	0	1	2019	1
100128788	LOC100128788	uc002cri.1	uc010uwg.1	0	0	6	1190	1
100128788	LOC100128788	uc010uwg.1	uc002cri.1	0	0	4	1192	1
100129075	C14orf33	uc010aop.2	uc001xca.2	0	0	1	2216	1
100129075	C14orf33	uc001xbz.2	uc001xca.2	0	0	13	2204	1
100129075	C14orf33	uc001xca.2	uc010aop.2	0	0	1	2216	1
100129075	C14orf33	uc001xbz.2	uc010aop.2	0	0	1	2216	1
100129387	LOC100129387	uc001zyh.3	uc001zyj.2	0	0	8	3627	1
100129387	LOC100129387	uc001zyh.3	uc001zyi.2	0	0	16	3619	1
100129405	MSTO2P	uc010pgo.1	uc010pgn.1	0	1	0	1146	1
100129405	MSTO2P	uc010pgp.1	uc010pgn.1	0	1	1	1145	0.999128160418483
100129482	ZNF37B	uc001jaa.3	uc001jac.3	0	0	8	1847	1
100129583	FAM47E	uc003hjx.2	uc003hjv.2	0	1	15	2430	0.993867538838921
100129583	FAM47E	uc003hjv.2	uc003hjw.2	0	1	2	2443	0.999182338511856
100129583	FAM47E	uc003hjv.2	uc003hjx.2	0	1	1	2444	0.999591169255928
100129583	FAM47E	uc003hjv.2	uc010ijf.2	0	1	0	2445	1
100129637	LOC100129637	uc002fkg.2	uc002fke.2	0	0	1	411	1
100129792	CCDC152	uc003jmx.3	uc011cpr.1	0	5	6	3102	0.990393921342578
100129792	CCDC152	uc011cpr.1	uc003jmx.3	0	5	17	3091	0.972974568331076
100130015	LOC100130015	uc002fql.2	uc010cjd.2	0	2	6	1801	0.993375673256138
100130086	HSFX2	uc004fdl.2	uc010nta.2	0	0	8	2237	1
100130086	HSFX2	uc010nta.2	uc004fdl.2	0	0	2	2243	1
100130093	LOC100130093	uc001hqy.3	uc001hqx.3	0	6	3	2188	0.99182565257689
100130093	LOC100130093	uc001hqx.3	uc001hqy.3	0	6	4	2187	0.989113276134109
100130311	C17orf107	uc002fzl.3	uc010ckr.2	0	0	1	164	1
100130417	FLJ39609	uc010nxz.1	uc010nxy.1	0	0	3	2594	1
