###################################################################################################################################################################
#Enrichment results using 'Biological Process from Gene Ontology (GO)', created by dcGO Enrichment at 2/06/2016 15:39:53 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0065008	regulation of biological quality	1	13.97	1.05e-34	9.93e-32	125|247|628|3527	PF00001;PF00002;PF00003;PF00010;PF00019;PF00022;PF00024;PF00027;PF00028;PF00041;PF00042;PF00046;PF00048;PF00049;PF00051;PF00057;PF00059;PF00060;PF00061;PF00063;PF00067;PF00068;PF00071;PF00079;PF00084;PF00089;PF00094;PF00100;PF00110;PF00135;PF00147;PF00151;PF00159;PF00167;PF00201;PF00209;PF00210;PF00211;PF00230;PF00246;PF00250;PF00273;PF00292;PF00320;PF00386;PF00435;PF00474;PF00497;PF00503;PF00520;PF00530;PF00560;PF00613;PF00615;PF00622;PF00683;PF00685;PF00688;PF00822;PF00858;PF00868;PF00870;PF00909;PF00927;PF00930;PF00992;PF01007;PF01094;PF01275;PF01347;PF01391;PF01392;PF01404;PF01415;PF01421;PF01431;PF01442;PF01562;PF01576;PF01699;PF01740;PF01813;PF01826;PF01841;PF02024;PF02026;PF02192;PF02210;PF02214;PF02460;PF02736;PF02793;PF02931;PF02932;PF03045;PF03098;PF03299;PF03520;PF04505;PF04553;PF05649;PF05835;PF06459;PF06512;PF07562;PF07645;PF07679;PF07686;PF07710;PF07714;PF07885;PF08344;PF08516;PF08742;PF10409;PF10565;PF10613;PF11527;PF11933;PF12444;PF12756;PF13516;PF13855;PF13895;PF13927
Group	GO:0051239	regulation of multicellular organismal process	1	13.99	2.93e-32	1.38e-29	102|247|448|3527	PF00001;PF00002;PF00003;PF00010;PF00019;PF00024;PF00027;PF00028;PF00031;PF00038;PF00041;PF00046;PF00048;PF00049;PF00051;PF00059;PF00060;PF00061;PF00063;PF00067;PF00068;PF00071;PF00079;PF00084;PF00089;PF00090;PF00100;PF00110;PF00123;PF00125;PF00135;PF00147;PF00167;PF00230;PF00250;PF00292;PF00320;PF00351;PF00386;PF00435;PF00497;PF00503;PF00520;PF00530;PF00560;PF00615;PF00622;PF00688;PF00870;PF00907;PF00992;PF01007;PF01049;PF01085;PF01094;PF01273;PF01391;PF01392;PF01404;PF01415;PF01510;PF01534;PF01562;PF01699;PF01833;PF01979;PF02210;PF02214;PF02460;PF02736;PF02758;PF02793;PF02898;PF02931;PF02932;PF03045;PF03145;PF03299;PF03520;PF03529;PF03736;PF04505;PF05729;PF05835;PF06512;PF06607;PF07562;PF07645;PF07679;PF07686;PF07710;PF07714;PF10409;PF10613;PF11933;PF12444;PF13306;PF13426;PF13516;PF13855;PF13895;PF13927
Group	GO:0007399	nervous system development	1	12.77	5.48e-27	1.73e-24	89|247|397|3527	PF00001;PF00002;PF00010;PF00019;PF00024;PF00028;PF00038;PF00041;PF00046;PF00048;PF00049;PF00053;PF00055;PF00057;PF00060;PF00061;PF00063;PF00071;PF00090;PF00110;PF00123;PF00135;PF00147;PF00157;PF00167;PF00230;PF00246;PF00250;PF00292;PF00320;PF00354;PF00431;PF00435;PF00497;PF00503;PF00520;PF00688;PF00822;PF00870;PF00907;PF00918;PF01049;PF01085;PF01094;PF01153;PF01275;PF01391;PF01392;PF01400;PF01404;PF01410;PF01421;PF01431;PF01442;PF01534;PF01562;PF01576;PF01833;PF01979;PF02210;PF02351;PF02736;PF02793;PF02931;PF02932;PF03145;PF03299;PF03529;PF03736;PF05649;PF05923;PF07645;PF07679;PF07686;PF07710;PF07714;PF08266;PF08344;PF08516;PF10409;PF12003;PF12413;PF12444;PF13306;PF13385;PF13516;PF13855;PF13895;PF13927
Group	GO:0032879	regulation of localization	1	12.61	2.70e-25	6.38e-23	77|247|318|3527	PF00001;PF00002;PF00003;PF00007;PF00019;PF00027;PF00031;PF00040;PF00041;PF00045;PF00046;PF00048;PF00049;PF00055;PF00059;PF00061;PF00063;PF00071;PF00074;PF00084;PF00090;PF00100;PF00110;PF00123;PF00135;PF00147;PF00167;PF00230;PF00250;PF00292;PF00320;PF00386;PF00413;PF00435;PF00503;PF00520;PF00615;PF00622;PF00688;PF00822;PF00907;PF00930;PF01094;PF01391;PF01392;PF01442;PF01471;PF01534;PF01562;PF01833;PF01979;PF02026;PF02210;PF02214;PF02351;PF02460;PF02758;PF02793;PF02898;PF02931;PF02932;PF03299;PF05729;PF06459;PF07645;PF07679;PF07686;PF07714;PF08344;PF10409;PF10613;PF12444;PF13426;PF13516;PF13855;PF13895;PF13927
Group	GO:0023052	signaling	1	11.18	1.09e-23	2.07e-21	111|247|648|3527	PF00001;PF00002;PF00003;PF00007;PF00010;PF00019;PF00027;PF00028;PF00029;PF00038;PF00041;PF00046;PF00048;PF00049;PF00051;PF00057;PF00059;PF00060;PF00061;PF00063;PF00071;PF00079;PF00089;PF00090;PF00100;PF00110;PF00123;PF00129;PF00135;PF00147;PF00157;PF00167;PF00193;PF00209;PF00211;PF00250;PF00292;PF00320;PF00351;PF00386;PF00431;PF00435;PF00474;PF00497;PF00503;PF00520;PF00560;PF00613;PF00615;PF00622;PF00631;PF00683;PF00688;PF00822;PF00870;PF00907;PF00930;PF01007;PF01085;PF01094;PF01153;PF01275;PF01391;PF01392;PF01404;PF01421;PF01534;PF01562;PF01833;PF02192;PF02210;PF02214;PF02351;PF02460;PF02736;PF02758;PF02793;PF02931;PF02932;PF03045;PF03098;PF03520;PF04505;PF05729;PF05835;PF05923;PF06327;PF06512;PF07562;PF07645;PF07679;PF07686;PF07710;PF07714;PF07885;PF08266;PF08516;PF10409;PF10565;PF10582;PF10613;PF11933;PF12003;PF12444;PF13306;PF13426;PF13516;PF13853;PF13855;PF13895;PF13927
Group	GO:0007154	cell communication	1	11.07	1.36e-23	2.14e-21	115|247|691|3527	PF00001;PF00002;PF00003;PF00007;PF00010;PF00019;PF00027;PF00028;PF00029;PF00038;PF00041;PF00046;PF00048;PF00049;PF00051;PF00057;PF00059;PF00060;PF00061;PF00063;PF00067;PF00071;PF00079;PF00089;PF00090;PF00100;PF00110;PF00123;PF00129;PF00135;PF00147;PF00157;PF00167;PF00193;PF00209;PF00211;PF00230;PF00250;PF00273;PF00292;PF00320;PF00351;PF00386;PF00431;PF00435;PF00474;PF00497;PF00503;PF00520;PF00560;PF00613;PF00615;PF00622;PF00631;PF00683;PF00688;PF00822;PF00870;PF00907;PF00909;PF00930;PF01007;PF01085;PF01094;PF01153;PF01275;PF01391;PF01392;PF01404;PF01421;PF01534;PF01562;PF01833;PF02192;PF02210;PF02214;PF02351;PF02460;PF02736;PF02758;PF02793;PF02931;PF02932;PF03045;PF03098;PF03520;PF04505;PF05729;PF05835;PF05923;PF06327;PF06512;PF07562;PF07645;PF07679;PF07686;PF07710;PF07714;PF07885;PF08266;PF08516;PF10409;PF10565;PF10582;PF10613;PF11933;PF12003;PF12444;PF13306;PF13426;PF13516;PF13853;PF13855;PF13895;PF13927
Group	GO:0042221	response to chemical stimulus	1	10.94	1.33e-22	1.80e-20	106|247|615|3527	PF00001;PF00002;PF00003;PF00010;PF00019;PF00027;PF00040;PF00041;PF00045;PF00046;PF00048;PF00049;PF00053;PF00055;PF00057;PF00059;PF00060;PF00061;PF00063;PF00067;PF00071;PF00079;PF00084;PF00089;PF00090;PF00110;PF00129;PF00135;PF00157;PF00167;PF00201;PF00210;PF00211;PF00230;PF00232;PF00245;PF00250;PF00274;PF00292;PF00320;PF00386;PF00413;PF00431;PF00435;PF00497;PF00503;PF00520;PF00560;PF00613;PF00622;PF00631;PF00685;PF00688;PF00777;PF00858;PF00870;PF00992;PF01085;PF01094;PF01391;PF01392;PF01400;PF01404;PF01410;PF01431;PF01471;PF01534;PF01576;PF01833;PF01979;PF02026;PF02210;PF02736;PF02758;PF02760;PF02793;PF02898;PF02931;PF02932;PF03098;PF03299;PF04505;PF05649;PF05729;PF05923;PF06327;PF06459;PF06512;PF07562;PF07645;PF07679;PF07686;PF07710;PF07714;PF08344;PF10409;PF10565;PF11933;PF12444;PF13426;PF13516;PF13848;PF13853;PF13855;PF13895;PF13927
Group	GO:0040011	locomotion	1	11.38	1.12e-21	1.06e-19	75|247|342|3527	PF00001;PF00002;PF00010;PF00019;PF00022;PF00024;PF00028;PF00041;PF00045;PF00046;PF00048;PF00051;PF00053;PF00055;PF00057;PF00063;PF00071;PF00084;PF00090;PF00100;PF00110;PF00147;PF00157;PF00167;PF00211;PF00250;PF00292;PF00320;PF00413;PF00431;PF00435;PF00520;PF00530;PF00613;PF00688;PF00907;PF00918;PF00930;PF01049;PF01085;PF01153;PF01273;PF01275;PF01391;PF01392;PF01400;PF01404;PF01410;PF01471;PF01534;PF01562;PF01576;PF01833;PF01979;PF02210;PF02214;PF02460;PF02736;PF02886;PF02931;PF02932;PF03045;PF05923;PF07645;PF07679;PF07686;PF07714;PF08344;PF10409;PF12003;PF12444;PF13426;PF13855;PF13895;PF13927
Group	GO:0010646	regulation of cell communication	1	11.34	1.74e-21	1.50e-19	74|247|336|3527	PF00001;PF00002;PF00003;PF00010;PF00019;PF00027;PF00028;PF00040;PF00041;PF00046;PF00048;PF00049;PF00057;PF00059;PF00060;PF00061;PF00063;PF00067;PF00071;PF00079;PF00089;PF00100;PF00110;PF00123;PF00135;PF00167;PF00250;PF00292;PF00320;PF00386;PF00435;PF00497;PF00520;PF00560;PF00615;PF00683;PF00688;PF00870;PF01023;PF01053;PF01085;PF01094;PF01153;PF01391;PF01392;PF01699;PF01833;PF02210;PF02214;PF02460;PF02793;PF02931;PF02932;PF03045;PF03299;PF03736;PF04706;PF05729;PF05835;PF05923;PF07562;PF07645;PF07679;PF07710;PF07714;PF10409;PF10565;PF10613;PF11527;PF12444;PF13516;PF13855;PF13895;PF13927
Group	GO:0048518	positive regulation of biological process	1	10.49	2.30e-21	1.81e-19	109|247|667|3527	PF00001;PF00002;PF00007;PF00010;PF00019;PF00022;PF00024;PF00027;PF00031;PF00038;PF00040;PF00041;PF00046;PF00048;PF00049;PF00051;PF00053;PF00055;PF00057;PF00059;PF00060;PF00061;PF00063;PF00067;PF00071;PF00074;PF00079;PF00084;PF00089;PF00090;PF00100;PF00110;PF00123;PF00125;PF00129;PF00135;PF00147;PF00157;PF00159;PF00167;PF00193;PF00211;PF00230;PF00250;PF00292;PF00320;PF00337;PF00386;PF00431;PF00435;PF00497;PF00503;PF00520;PF00530;PF00560;PF00615;PF00688;PF00870;PF00876;PF00907;PF00930;PF01023;PF01053;PF01085;PF01094;PF01153;PF01275;PF01391;PF01392;PF01404;PF01415;PF01442;PF01454;PF01534;PF01562;PF01699;PF01823;PF01833;PF01979;PF02210;PF02460;PF02758;PF02793;PF02931;PF02932;PF03299;PF03529;PF03736;PF04505;PF05729;PF06327;PF07645;PF07679;PF07686;PF07710;PF07714;PF08214;PF10409;PF10613;PF11357;PF11527;PF12157;PF12444;PF12756;PF13306;PF13516;PF13855;PF13895;PF13927
