###################################################################################################################################################################
#Enrichment results using 'Cellular Component from Gene Ontology (GO)', created by dcGO Enrichment at 9/02/2017 13:43:31 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0031224	intrinsic component of membrane	1	8.65	1.82e-12	7.01e-11	32|66|608|4686	PF00001;PF00028;PF00041;PF00060;PF00071;PF00125;PF00129;PF00135;PF00201;PF00413;PF00520;PF00530;PF00930;PF00969;PF01007;PF01049;PF01094;PF01153;PF01421;PF01833;PF02191;PF02931;PF04103;PF07654;PF07679;PF07686;PF07714;PF07941;PF08266;PF08466;PF13306;PF13927
Group	GO:0044459	plasma membrane part	1	8.06	1.45e-11	3.71e-10	33|66|699|4686	PF00001;PF00028;PF00041;PF00060;PF00071;PF00084;PF00129;PF00135;PF00520;PF00530;PF00930;PF00969;PF01007;PF01049;PF01094;PF01153;PF01833;PF02191;PF02931;PF03508;PF04103;PF04790;PF05902;PF05923;PF07645;PF07654;PF07679;PF07686;PF07714;PF07941;PF08266;PF13895;PF13927
Group	GO:0045202	synapse	1	5.75	4.28e-06	4.12e-05	16|66|313|4686	PF00001;PF00028;PF00041;PF00060;PF00071;PF00084;PF00135;PF00520;PF01049;PF01094;PF02191;PF02931;PF05902;PF07679;PF07714;PF13927
Group	GO:0097458	neuron part	1	5.37	3.97e-06	4.12e-05	22|66|562|4686	PF00001;PF00028;PF00041;PF00060;PF00071;PF00135;PF00413;PF00520;PF00530;PF01007;PF01094;PF02191;PF02931;PF05902;PF07679;PF07686;PF07714;PF07941;PF08266;PF12157;PF13895;PF13927
Group	GO:0031982	vesicle	1	5.01	9.37e-06	7.21e-05	24|66|688|4686	PF00001;PF00028;PF00041;PF00060;PF00071;PF00079;PF00084;PF00125;PF00129;PF00520;PF00530;PF00613;PF00930;PF00969;PF01049;PF01094;PF02191;PF07645;PF07654;PF07686;PF07714;PF12157;PF13895;PF13927
Group	GO:0042995	cell projection	1	4.90	1.33e-05	9.33e-05	24|66|702|4686	PF00001;PF00028;PF00041;PF00060;PF00071;PF00135;PF00413;PF00520;PF00530;PF00930;PF01049;PF01094;PF01847;PF02191;PF02931;PF05902;PF05923;PF07679;PF07686;PF07714;PF07941;PF08266;PF12157;PF13927
Group	GO:0030054	cell junction	1	5.14	2.22e-05	1.43e-04	16|66|356|4686	PF00028;PF00041;PF00071;PF00520;PF00969;PF01049;PF03508;PF05902;PF07645;PF07679;PF07686;PF07714;PF08266;PF10409;PF13895;PF13927
Group	GO:0009986	cell surface	2	10.44	4.16e-13	3.20e-11	22|66|241|4686	PF00001;PF00041;PF00060;PF00071;PF00084;PF00090;PF00129;PF00135;PF00930;PF00969;PF01094;PF01153;PF01421;PF01833;PF07645;PF07654;PF07679;PF07686;PF07714;PF13306;PF13895;PF13927
Group	GO:0043235	receptor complex	2	9.71	1.14e-09	2.20e-08	13|66|104|4686	PF00001;PF00041;PF00060;PF00084;PF00520;PF01094;PF01833;PF02931;PF07645;PF07686;PF07714;PF13895;PF13927
Group	GO:0098552	side of membrane	2	6.88	2.57e-06	3.30e-05	10|66|111|4686	PF00071;PF00084;PF00129;PF00969;PF05902;PF07654;PF07686;PF07714;PF13895;PF13927
Group	GO:0030139	endocytic vesicle	2	7.42	6.45e-06	5.52e-05	7|66|52|4686	PF00071;PF00129;PF00530;PF00930;PF00969;PF07654;PF07714
Group	GO:0044291	cell-cell contact zone	2	7.41	3.64e-05	2.15e-04	5|66|28|4686	PF00028;PF00520;PF01049;PF03508;PF07686
Group	GO:0034702	ion channel complex	2	5.78	5.39e-05	2.96e-04	8|66|97|4686	PF00060;PF00520;PF00930;PF01007;PF01094;PF02931;PF07686;PF07941
Group	GO:0098984	neuron to neuron synapse	2	5.75	1.56e-04	6.31e-04	6|66|59|4686	PF00060;PF00520;PF01094;PF02931;PF05902;PF07714
Group	GO:0030425	dendrite	2	5.21	1.50e-04	6.31e-04	8|66|112|4686	PF00001;PF00041;PF00060;PF00135;PF00413;PF01094;PF07679;PF13927
Group	GO:0099572	postsynaptic specialization	2	5.56	2.05e-04	7.91e-04	6|66|62|4686	PF00060;PF00520;PF01094;PF02931;PF05902;PF07714
Group	GO:0043025	neuronal cell body	2	5.10	2.71e-04	9.94e-04	7|66|92|4686	PF00001;PF00041;PF00520;PF01007;PF02931;PF07679;PF13927
Group	GO:0005769	early endosome	2	5.32	5.10e-04	1.79e-03	5|66|48|4686	PF00001;PF00041;PF00129;PF00520;PF07654
Group	GO:0005764	lysosome	2	4.46	8.07e-04	2.59e-03	7|66|110|4686	PF00071;PF00320;PF00520;PF00969;PF01153;PF07645;PF07654
Group	GO:0098797	plasma membrane protein complex	2	4.19	1.29e-03	3.96e-03	7|66|119|4686	PF00028;PF00129;PF00969;PF01049;PF03508;PF04790;PF07654
Group	GO:0000139	Golgi membrane	2	4.35	1.36e-03	4.03e-03	6|66|88|4686	PF00129;PF00535;PF00685;PF00777;PF00969;PF07654
Group	GO:0019898	extrinsic component of membrane	2	4.31	1.44e-03	4.12e-03	6|66|89|4686	PF00028;PF00071;PF00613;PF01049;PF02192;PF07714
Group	GO:0099503	secretory vesicle	2	3.93	2.05e-03	5.45e-03	7|66|129|4686	PF00060;PF00071;PF00079;PF00084;PF00530;PF01094;PF07686
