###################################################################################################################################################################
#Enrichment results using 'Molecular Function from Gene Ontology (GO)', created by dcGO Enrichment at 2/06/2016 15:39:53 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0004872	receptor activity	1	10.59	5.66e-18	9.11e-16	52|231|174|2762	PF00001;PF00002;PF00003;PF00010;PF00040;PF00041;PF00046;PF00051;PF00057;PF00059;PF00060;PF00061;PF00084;PF00090;PF00100;PF00129;PF00193;PF00211;PF00354;PF00431;PF00497;PF00520;PF00530;PF00560;PF01094;PF01391;PF01392;PF01404;PF01510;PF01534;PF01833;PF02210;PF02351;PF02793;PF02931;PF02932;PF03024;PF07562;PF07645;PF07679;PF07686;PF07714;PF10565;PF10613;PF12003;PF13306;PF13426;PF13516;PF13853;PF13855;PF13895;PF13927
Group	GO:0060089	molecular transducer activity	1	9.27	1.49e-14	8.00e-13	47|231|172|2762	PF00001;PF00002;PF00003;PF00010;PF00041;PF00046;PF00051;PF00057;PF00059;PF00060;PF00061;PF00084;PF00090;PF00100;PF00129;PF00211;PF00354;PF00431;PF00497;PF00503;PF00520;PF00560;PF00631;PF01085;PF01094;PF01392;PF01404;PF01534;PF01833;PF02351;PF02793;PF02931;PF02932;PF07562;PF07645;PF07679;PF07686;PF07714;PF10565;PF10613;PF12003;PF13306;PF13426;PF13853;PF13855;PF13895;PF13927
Group	GO:0005102	receptor binding	2	10.27	2.70e-17	2.18e-15	53|231|186|2762	PF00001;PF00002;PF00007;PF00010;PF00019;PF00041;PF00046;PF00048;PF00049;PF00053;PF00055;PF00059;PF00068;PF00074;PF00090;PF00094;PF00100;PF00110;PF00123;PF00147;PF00159;PF00167;PF00386;PF00435;PF00497;PF00503;PF00560;PF00615;PF00688;PF00918;PF00930;PF01023;PF01085;PF01271;PF01391;PF01392;PF01415;PF01421;PF01562;PF01826;PF02210;PF02793;PF03045;PF04505;PF06312;PF07645;PF07679;PF07686;PF07714;PF08516;PF08742;PF13855;PF13895
Group	GO:0022836	gated channel activity	2	9.42	1.23e-12	4.96e-11	25|231|60|2762	PF00027;PF00060;PF00089;PF00230;PF00497;PF00520;PF00622;PF00822;PF00858;PF01007;PF01094;PF02026;PF02214;PF02931;PF02932;PF03520;PF06459;PF06512;PF07686;PF07885;PF08344;PF10565;PF10613;PF11933;PF13426
Group	GO:0005261	cation channel activity	2	8.81	2.34e-11	7.52e-10	23|231|57|2762	PF00027;PF00060;PF00089;PF00230;PF00497;PF00520;PF00622;PF00822;PF00858;PF01007;PF01094;PF02026;PF02214;PF02931;PF02932;PF03520;PF06459;PF06512;PF07686;PF07885;PF08344;PF11933;PF13426
Group	GO:0019199	transmembrane receptor protein kinase activity	2	8.28	2.20e-09	5.90e-08	15|231|30|2762	PF00041;PF00051;PF00061;PF00100;PF00431;PF00560;PF01392;PF01404;PF07645;PF07679;PF07686;PF07714;PF13855;PF13895;PF13927
Group	GO:0046873	metal ion transmembrane transporter activity	2	7.08	7.54e-09	1.73e-07	26|231|91|2762	PF00027;PF00060;PF00089;PF00100;PF00209;PF00230;PF00474;PF00497;PF00520;PF00622;PF00822;PF00858;PF01007;PF01094;PF01699;PF01758;PF02026;PF02214;PF03520;PF06459;PF06512;PF07686;PF07885;PF08344;PF11933;PF13426
Group	GO:0043498	cell surface binding	2	8.10	1.33e-08	2.67e-07	12|231|21|2762	PF00041;PF00059;PF00084;PF00100;PF00193;PF00386;PF00431;PF00530;PF01391;PF07679;PF07686;PF13895
Group	GO:0032403	protein complex binding	2	6.54	1.20e-07	2.14e-06	21|231|71|2762	PF00010;PF00038;PF00041;PF00049;PF00053;PF00055;PF00061;PF00090;PF00094;PF00147;PF00435;PF00503;PF01391;PF01421;PF01562;PF01826;PF07645;PF07679;PF08516;PF08742;PF13895
Group	GO:0005201	extracellular matrix structural constituent	2	6.94	1.90e-06	2.18e-05	8|231|13|2762	PF00053;PF00055;PF00100;PF01391;PF01410;PF02210;PF07645;PF13855
Group	GO:0008237	metallopeptidase activity	2	5.92	4.07e-06	4.09e-05	13|231|37|2762	PF00040;PF00045;PF00090;PF00246;PF00413;PF01400;PF01421;PF01431;PF01471;PF01562;PF05649;PF05986;PF08516
Group	GO:0004713	protein tyrosine kinase activity	2	5.84	6.42e-06	6.08e-05	12|231|33|2762	PF00041;PF00051;PF00061;PF00431;PF01392;PF01404;PF01833;PF07679;PF07686;PF07714;PF13895;PF13927
Group	GO:0019904	protein domain specific binding	2	5.32	7.00e-06	6.26e-05	20|231|82|2762	PF00001;PF00041;PF00046;PF00060;PF00497;PF00858;PF01094;PF01392;PF01404;PF01534;PF01562;PF01979;PF02758;PF05729;PF07679;PF07686;PF07714;PF10409;PF10613;PF13895
Group	GO:0008201	heparin binding	2	5.92	9.50e-06	8.05e-05	10|231|24|2762	PF00041;PF00048;PF00074;PF00090;PF00147;PF00167;PF01391;PF07679;PF07714;PF13895
Group	GO:0031406	carboxylic acid binding	2	5.25	2.03e-05	1.47e-04	14|231|48|2762	PF00001;PF00003;PF00060;PF00061;PF00067;PF00201;PF00273;PF00497;PF01094;PF02898;PF02931;PF02932;PF03024;PF07562
Group	GO:0046914	transition metal ion binding	2	4.45	5.61e-05	3.35e-04	28|231|156|2762	PF00042;PF00045;PF00060;PF00061;PF00067;PF00074;PF00210;PF00211;PF00413;PF00491;PF00497;PF00870;PF01023;PF01085;PF01421;PF01431;PF01471;PF01562;PF01979;PF02898;PF03098;PF03145;PF05649;PF07710;PF07714;PF08516;PF10565;PF13516
Group	GO:0015077	monovalent inorganic cation transmembrane transporter activity	2	4.44	1.40e-04	7.25e-04	16|231|70|2762	PF00027;PF00089;PF00209;PF00230;PF00474;PF00858;PF01007;PF01699;PF01758;PF02214;PF03520;PF06512;PF07686;PF07885;PF11933;PF13426
Group	GO:0050839	cell adhesion molecule binding	2	4.30	5.14e-04	1.94e-03	9|231|30|2762	PF00028;PF00041;PF00135;PF01049;PF02210;PF07679;PF07686;PF07714;PF13895
