###################################################################################################################################################################
#Enrichment results using 'Biological Process from Gene Ontology (GO)', created by dcGO Enrichment at 11/08/2016 18:58:14 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0023051	regulation of signaling	1	11.55	2.91e-23	2.30e-20	89|248|441|3527	PF00019;PF00027;PF00040;PF00041;PF00049;PF00054;PF00057;PF00090;PF00093;PF00096;PF00102;PF00122;PF00130;PF00169;PF00179;PF00200;PF00240;PF00249;PF00341;PF00388;PF00397;PF00400;PF00435;PF00452;PF00514;PF00581;PF00594;PF00610;PF00611;PF00612;PF00618;PF00625;PF00640;PF00651;PF00683;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00780;PF00786;PF00969;PF01030;PF01064;PF01369;PF01391;PF01403;PF01417;PF01437;PF01448;PF01585;PF01699;PF01753;PF01833;PF01843;PF02037;PF02145;PF02148;PF02177;PF02204;PF02210;PF02214;PF02218;PF02377;PF02825;PF02931;PF03165;PF03226;PF04055;PF06920;PF07525;PF07645;PF07653;PF07679;PF09279;PF09324;PF10409;PF12763;PF12783;PF12796;PF12924;PF13716;PF13855;PF13857;PF13920;PF14324;PF14429
Group	GO:0006928	cellular component movement	1	11.68	4.71e-22	1.86e-19	70|248|296|3527	PF00019;PF00024;PF00041;PF00045;PF00052;PF00053;PF00054;PF00055;PF00057;PF00096;PF00102;PF00130;PF00169;PF00200;PF00226;PF00241;PF00341;PF00388;PF00397;PF00400;PF00413;PF00435;PF00594;PF00611;PF00612;PF00618;PF00640;PF00684;PF00688;PF00757;PF00778;PF00786;PF00989;PF01030;PF01064;PF01217;PF01403;PF01437;PF01462;PF01833;PF01843;PF02148;PF02177;PF02181;PF02185;PF02210;PF02214;PF03133;PF03607;PF06297;PF06367;PF06371;PF06920;PF07645;PF07653;PF07679;PF07719;PF07728;PF08393;PF08447;PF09279;PF10409;PF12348;PF12473;PF12774;PF12775;PF12780;PF12924;PF13855;PF14429
Group	GO:0048519	negative regulation of biological process	1	10.53	1.40e-21	3.68e-19	111|248|681|3527	PF00019;PF00024;PF00041;PF00049;PF00057;PF00076;PF00090;PF00093;PF00096;PF00098;PF00102;PF00106;PF00122;PF00125;PF00130;PF00134;PF00169;PF00179;PF00200;PF00226;PF00240;PF00241;PF00249;PF00254;PF00341;PF00350;PF00388;PF00389;PF00397;PF00400;PF00435;PF00452;PF00514;PF00581;PF00594;PF00611;PF00622;PF00625;PF00640;PF00643;PF00651;PF00683;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00780;PF00786;PF00789;PF00969;PF01030;PF01064;PF01335;PF01391;PF01400;PF01403;PF01417;PF01448;PF01462;PF01477;PF01585;PF01699;PF01753;PF01833;PF01909;PF02037;PF02145;PF02148;PF02177;PF02181;PF02201;PF02210;PF02214;PF02709;PF02826;PF02931;PF03165;PF03226;PF04055;PF05033;PF05773;PF06297;PF07525;PF07645;PF07653;PF07679;PF07719;PF08210;PF08246;PF09279;PF10277;PF10409;PF10421;PF12348;PF12697;PF12763;PF12796;PF12906;PF12924;PF12947;PF13415;PF13638;PF13716;PF13733;PF13854;PF13855;PF13857;PF13920;PF14324
Group	GO:0032879	regulation of localization	1	10.95	4.07e-20	8.04e-18	70|248|318|3527	PF00019;PF00027;PF00040;PF00041;PF00045;PF00049;PF00055;PF00076;PF00090;PF00093;PF00098;PF00102;PF00122;PF00130;PF00169;PF00200;PF00254;PF00341;PF00388;PF00397;PF00400;PF00413;PF00435;PF00452;PF00514;PF00594;PF00610;PF00611;PF00612;PF00618;PF00622;PF00625;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00969;PF01030;PF01064;PF01217;PF01391;PF01403;PF01437;PF01833;PF01843;PF02145;PF02185;PF02204;PF02210;PF02214;PF02931;PF04055;PF04144;PF04810;PF07645;PF07653;PF07679;PF08246;PF09279;PF10409;PF12697;PF12796;PF13091;PF13426;PF13716;PF13855;PF13903;PF13920
Group	GO:0048583	regulation of response to stimulus	1	10.29	1.21e-19	1.91e-17	90|248|503|3527	PF00019;PF00027;PF00040;PF00041;PF00049;PF00057;PF00090;PF00093;PF00096;PF00102;PF00122;PF00130;PF00169;PF00179;PF00200;PF00240;PF00249;PF00341;PF00388;PF00397;PF00400;PF00452;PF00514;PF00581;PF00594;PF00610;PF00611;PF00612;PF00618;PF00625;PF00640;PF00651;PF00683;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00780;PF00786;PF00969;PF01030;PF01064;PF01217;PF01369;PF01391;PF01403;PF01417;PF01421;PF01437;PF01448;PF01462;PF01476;PF01585;PF01753;PF01833;PF01843;PF02037;PF02145;PF02148;PF02177;PF02204;PF02210;PF02214;PF02218;PF02377;PF02825;PF02931;PF03165;PF03226;PF04055;PF06920;PF07525;PF07534;PF07645;PF07653;PF07679;PF08246;PF09279;PF10409;PF12763;PF12796;PF12924;PF13716;PF13855;PF13857;PF13920;PF14324;PF14429
Group	GO:0040011	locomotion	1	10.67	1.59e-19	2.02e-17	72|248|342|3527	PF00019;PF00024;PF00041;PF00045;PF00052;PF00053;PF00054;PF00055;PF00057;PF00090;PF00096;PF00098;PF00102;PF00130;PF00169;PF00200;PF00226;PF00241;PF00341;PF00397;PF00413;PF00435;PF00514;PF00594;PF00611;PF00612;PF00618;PF00625;PF00640;PF00651;PF00684;PF00688;PF00757;PF00778;PF00780;PF00786;PF01030;PF01064;PF01391;PF01400;PF01403;PF01437;PF01462;PF01833;PF02145;PF02148;PF02177;PF02185;PF02210;PF02214;PF02931;PF03165;PF03607;PF06297;PF06367;PF06371;PF06920;PF07645;PF07653;PF07679;PF07728;PF08393;PF08447;PF10409;PF12348;PF12774;PF12775;PF12780;PF12924;PF13426;PF13855;PF14429
Group	GO:0048518	positive regulation of biological process	1	9.94	1.79e-19	2.02e-17	106|248|667|3527	PF00019;PF00024;PF00025;PF00027;PF00040;PF00041;PF00049;PF00053;PF00054;PF00055;PF00057;PF00076;PF00090;PF00093;PF00096;PF00098;PF00102;PF00122;PF00125;PF00130;PF00133;PF00134;PF00169;PF00179;PF00200;PF00240;PF00241;PF00249;PF00341;PF00388;PF00397;PF00400;PF00435;PF00452;PF00514;PF00594;PF00611;PF00612;PF00618;PF00625;PF00640;PF00643;PF00651;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00780;PF00786;PF00969;PF00989;PF01030;PF01064;PF01335;PF01391;PF01403;PF01417;PF01437;PF01448;PF01462;PF01476;PF01585;PF01699;PF01833;PF02037;PF02177;PF02181;PF02185;PF02204;PF02210;PF02218;PF02825;PF02845;PF02931;PF03165;PF04055;PF04144;PF05790;PF06367;PF06371;PF07525;PF07534;PF07645;PF07653;PF07679;PF07719;PF08210;PF08246;PF08447;PF09279;PF09816;PF10409;PF11717;PF12171;PF12697;PF12756;PF12763;PF12796;PF12924;PF13091;PF13716;PF13855;PF13920;PF14324
Group	GO:0051674	localization of cell	1	10.93	6.05e-19	5.97e-17	57|248|229|3527	PF00019;PF00024;PF00041;PF00045;PF00052;PF00053;PF00054;PF00055;PF00057;PF00096;PF00102;PF00130;PF00200;PF00226;PF00241;PF00341;PF00397;PF00413;PF00435;PF00514;PF00594;PF00611;PF00612;PF00618;PF00640;PF00684;PF00688;PF00757;PF00778;PF01030;PF01064;PF01403;PF01437;PF01462;PF01833;PF02148;PF02185;PF02210;PF02214;PF03607;PF06297;PF06367;PF06371;PF06920;PF07645;PF07653;PF07679;PF07728;PF08393;PF08447;PF10409;PF12348;PF12774;PF12775;PF12780;PF13855;PF14429
Group	GO:0007399	nervous system development	1	10.23	1.11e-18	9.71e-17	77|248|397|3527	PF00019;PF00024;PF00025;PF00041;PF00049;PF00052;PF00053;PF00054;PF00055;PF00057;PF00090;PF00096;PF00102;PF00122;PF00130;PF00169;PF00200;PF00249;PF00254;PF00341;PF00397;PF00400;PF00415;PF00435;PF00452;PF00514;PF00610;PF00611;PF00612;PF00618;PF00625;PF00640;PF00651;PF00688;PF00690;PF00702;PF00757;PF00778;PF00780;PF00786;PF01030;PF01064;PF01369;PF01391;PF01400;PF01403;PF01421;PF01437;PF01462;PF01833;PF02023;PF02145;PF02148;PF02177;PF02181;PF02210;PF02377;PF02931;PF03165;PF03607;PF06367;PF06371;PF07525;PF07645;PF07653;PF07679;PF08516;PF10409;PF12348;PF12796;PF12924;PF13385;PF13716;PF13855;PF13857;PF13903;PF14324
Group	GO:0030030	cell projection organization	1	10.26	2.36e-17	1.86e-15	57|248|246|3527	PF00019;PF00024;PF00025;PF00041;PF00052;PF00053;PF00054;PF00055;PF00090;PF00096;PF00102;PF00130;PF00169;PF00341;PF00397;PF00400;PF00415;PF00435;PF00514;PF00581;PF00610;PF00611;PF00612;PF00618;PF00625;PF00640;PF00651;PF00688;PF00757;PF00778;PF00780;PF00786;PF01030;PF01064;PF01391;PF01400;PF01403;PF01437;PF01462;PF01833;PF02148;PF02177;PF02210;PF02377;PF03133;PF03165;PF03607;PF07645;PF07653;PF07679;PF07719;PF12348;PF12796;PF12924;PF13716;PF13855;PF13857
