###################################################################################################################################################################
#Enrichment results using 'Molecular Function from Gene Ontology (GO)', created by dcGO Enrichment at 2/06/2016 15:41:00 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0004872	receptor activity	1	5.28	1.84e-06	3.61e-05	38|280|174|2762	PF00020;PF00040;PF00041;PF00057;PF00059;PF00090;PF00106;PF00130;PF00530;PF00754;PF00757;PF00969;PF00989;PF01030;PF01033;PF01064;PF01179;PF01391;PF01392;PF01403;PF01437;PF01833;PF02140;PF02210;PF02225;PF02518;PF02931;PF04389;PF07645;PF07647;PF07654;PF07679;PF07686;PF08246;PF08447;PF08515;PF13426;PF13855
Group	GO:0060089	molecular transducer activity	1	4.06	1.53e-04	1.35e-03	33|280|172|2762	PF00020;PF00041;PF00057;PF00059;PF00090;PF00106;PF00130;PF00754;PF00757;PF00780;PF00969;PF00989;PF01030;PF01064;PF01392;PF01403;PF01437;PF01833;PF02140;PF02518;PF02865;PF02931;PF03165;PF07645;PF07647;PF07654;PF07679;PF07686;PF08246;PF08447;PF08515;PF13426;PF13855
Group	GO:0008092	cytoskeletal protein binding	1	3.76	4.22e-04	2.80e-03	30|280|159|2762	PF00041;PF00063;PF00169;PF00241;PF00307;PF00373;PF00400;PF00435;PF00611;PF00651;PF01044;PF01302;PF02181;PF03133;PF06367;PF06371;PF07651;PF07679;PF07707;PF08736;PF08926;PF09379;PF09380;PF10409;PF12510;PF12796;PF13385;PF13405;PF13637;PF13733
Group	GO:0016787	hydrolase activity	1	2.99	2.21e-03	8.08e-03	87|280|659|2762	PF00024;PF00027;PF00040;PF00041;PF00045;PF00057;PF00063;PF00082;PF00090;PF00122;PF00149;PF00168;PF00169;PF00270;PF00271;PF00289;PF00350;PF00373;PF00383;PF00385;PF00413;PF00530;PF00557;PF00622;PF00642;PF00675;PF00689;PF00690;PF00702;PF00754;PF00763;PF00795;PF00884;PF01033;PF01088;PF01301;PF01302;PF01335;PF01392;PF01400;PF01421;PF01424;PF01433;PF01448;PF01471;PF01477;PF01496;PF01546;PF01562;PF01663;PF01751;PF02140;PF02148;PF02225;PF02263;PF02518;PF04389;PF04408;PF05193;PF06079;PF06733;PF07679;PF07687;PF07728;PF07973;PF08210;PF08246;PF08393;PF08736;PF09379;PF09380;PF10409;PF12548;PF12697;PF12710;PF12774;PF12775;PF12780;PF12796;PF13086;PF13246;PF13344;PF13405;PF13426;PF13589;PF13638;PF13691
Group	GO:0019904	protein domain specific binding	2	8.43	1.04e-11	1.84e-09	31|280|82|2762	PF00041;PF00076;PF00122;PF00169;PF00373;PF00400;PF00452;PF00564;PF00689;PF00690;PF00702;PF00757;PF00778;PF01030;PF01392;PF01562;PF02518;PF02828;PF06741;PF07647;PF07653;PF07679;PF07686;PF08232;PF08736;PF09379;PF09380;PF10409;PF10600;PF10608;PF12796
Group	GO:0060589	nucleoside-triphosphatase regulator activity	2	8.18	6.53e-11	5.75e-09	27|280|68|2762	PF00027;PF00063;PF00130;PF00168;PF00169;PF00226;PF00307;PF00373;PF00415;PF00435;PF00610;PF00611;PF00618;PF00780;PF01369;PF01412;PF02145;PF02185;PF02204;PF06920;PF07647;PF07653;PF09324;PF11971;PF12783;PF13716;PF14429
Group	GO:0032403	protein complex binding	2	7.49	1.24e-09	7.27e-08	26|280|71|2762	PF00041;PF00049;PF00053;PF00090;PF00093;PF00094;PF00169;PF00240;PF00307;PF00373;PF00435;PF01064;PF01179;PF01391;PF01421;PF01562;PF01753;PF01826;PF03921;PF07645;PF07653;PF07679;PF08232;PF08515;PF08742;PF09289
Group	GO:0051020	GTPase binding	2	6.83	8.08e-08	3.56e-06	17|280|40|2762	PF00130;PF00169;PF00307;PF00515;PF00611;PF00618;PF02181;PF02185;PF02204;PF02214;PF02759;PF03810;PF06367;PF06371;PF06920;PF12796;PF14429
Group	GO:0035639	purine ribonucleoside triphosphate binding	2	6.16	1.08e-07	3.81e-06	31|280|114|2762	PF00063;PF00122;PF00130;PF00270;PF00271;PF00289;PF00349;PF00350;PF00385;PF00586;PF00675;PF00689;PF00690;PF00702;PF00780;PF01064;PF01751;PF01841;PF01909;PF02263;PF02518;PF02769;PF02824;PF03810;PF03953;PF05193;PF06733;PF08515;PF08926;PF13086;PF13589
Group	GO:0032555	purine ribonucleotide binding	2	5.95	2.02e-07	5.93e-06	33|280|129|2762	PF00027;PF00063;PF00122;PF00130;PF00270;PF00271;PF00289;PF00349;PF00350;PF00385;PF00501;PF00586;PF00675;PF00689;PF00690;PF00702;PF00780;PF01064;PF01751;PF01841;PF01909;PF02263;PF02518;PF02769;PF02824;PF03810;PF03953;PF05193;PF06733;PF08515;PF08926;PF13086;PF13589
