###################################################################################################################################################################
#Enrichment results using 'Biological Process from Gene Ontology (GO)', created by dcGO Enrichment at 22/08/2016 13:02:37 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0009790	embryo development	1	10.90	1.64e-15	5.78e-13	27|55|299|3527	PF00028;PF00041;PF00054;PF00057;PF00071;PF00096;PF00102;PF00125;PF00225;PF00249;PF00388;PF00435;PF00583;PF00621;PF00625;PF00702;PF01391;PF01448;PF02210;PF02828;PF07653;PF07679;PF08447;PF09279;PF12796;PF13499;PF13857
Group	GO:0007163	establishment or maintenance of cell polarity	1	11.87	1.42e-12	2.51e-10	15|55|88|3527	PF00028;PF00041;PF00054;PF00057;PF00071;PF00225;PF00435;PF00621;PF00625;PF01369;PF02210;PF02828;PF07653;PF07679;PF13499
Group	GO:0040011	locomotion	1	9.03	4.10e-12	4.83e-10	25|55|342|3527	PF00028;PF00041;PF00054;PF00057;PF00071;PF00090;PF00096;PF00102;PF00225;PF00435;PF00621;PF00625;PF01391;PF01462;PF02210;PF02931;PF07653;PF07679;PF07728;PF08393;PF08447;PF12774;PF12775;PF12780;PF13426
Group	GO:0006928	cellular component movement	1	9.01	1.23e-11	1.09e-09	23|55|296|3527	PF00028;PF00041;PF00054;PF00057;PF00071;PF00096;PF00102;PF00225;PF00388;PF00435;PF00621;PF01462;PF02210;PF07653;PF07679;PF07728;PF08393;PF08447;PF09279;PF12774;PF12775;PF12780;PF13499
Group	GO:0023051	regulation of signaling	1	8.27	2.62e-11	1.85e-09	27|55|441|3527	PF00028;PF00041;PF00054;PF00057;PF00071;PF00090;PF00096;PF00102;PF00249;PF00388;PF00435;PF00621;PF00625;PF00702;PF01369;PF01391;PF01448;PF02037;PF02210;PF02825;PF02931;PF07653;PF07679;PF09279;PF12796;PF13499;PF13857
Group	GO:0023052	signaling	1	7.68	3.75e-11	1.89e-09	32|55|648|3527	PF00028;PF00041;PF00057;PF00071;PF00090;PF00096;PF00102;PF00106;PF00225;PF00249;PF00388;PF00435;PF00621;PF00625;PF00702;PF01391;PF01421;PF01462;PF02023;PF02210;PF02825;PF02828;PF02931;PF07653;PF07679;PF08447;PF09279;PF12796;PF12874;PF13426;PF13499;PF13857
Group	GO:0007154	cell communication	1	7.61	3.55e-11	1.89e-09	33|55|691|3527	PF00028;PF00041;PF00057;PF00071;PF00090;PF00096;PF00102;PF00106;PF00225;PF00249;PF00388;PF00435;PF00621;PF00625;PF00702;PF01179;PF01391;PF01421;PF01462;PF02023;PF02210;PF02825;PF02828;PF02931;PF07653;PF07679;PF08447;PF09279;PF12796;PF12874;PF13426;PF13499;PF13857
Group	GO:0007399	nervous system development	1	8.09	1.18e-10	5.19e-09	25|55|397|3527	PF00028;PF00041;PF00054;PF00057;PF00071;PF00090;PF00096;PF00102;PF00225;PF00249;PF00435;PF00621;PF00625;PF00702;PF01369;PF01391;PF01421;PF01462;PF02023;PF02210;PF02931;PF07653;PF07679;PF12796;PF13857
Group	GO:0051674	localization of cell	1	8.51	4.52e-10	1.59e-08	19|55|229|3527	PF00028;PF00041;PF00054;PF00057;PF00071;PF00096;PF00102;PF00435;PF00621;PF01462;PF02210;PF07653;PF07679;PF07728;PF08393;PF08447;PF12774;PF12775;PF12780
Group	GO:0048583	regulation of response to stimulus	1	7.44	5.87e-10	1.88e-08	27|55|503|3527	PF00028;PF00041;PF00057;PF00071;PF00090;PF00096;PF00102;PF00249;PF00388;PF00621;PF00625;PF00702;PF01369;PF01391;PF01421;PF01448;PF01462;PF02037;PF02210;PF02825;PF02931;PF07653;PF07679;PF09279;PF12796;PF13499;PF13857
