###################################################################################################################################################################
#Enrichment results using 'Cellular Component from Gene Ontology (GO)', created by dcGO Enrichment at 9/02/2017 13:39:50 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0045202	synapse	1	8.26	2.03e-09	1.30e-07	17|46|313|4686	PF00028;PF00041;PF00054;PF00057;PF00071;PF00102;PF00621;PF00625;PF02210;PF02828;PF02931;PF07653;PF07679;PF13499;PF13855;PF13857;PF14670
Group	GO:0044459	plasma membrane part	1	5.46	2.76e-06	4.83e-05	20|46|699|4686	PF00028;PF00041;PF00057;PF00071;PF00102;PF00621;PF00625;PF00702;PF01369;PF01462;PF02023;PF02210;PF02828;PF02931;PF07653;PF07679;PF13499;PF13855;PF13857;PF14670
Group	GO:0030054	cell junction	1	5.32	2.29e-05	2.00e-04	13|46|356|4686	PF00028;PF00041;PF00071;PF00102;PF00625;PF01179;PF01369;PF02023;PF02210;PF02828;PF07653;PF07679;PF13855
Group	GO:0042995	cell projection	1	4.61	5.24e-05	3.67e-04	18|46|702|4686	PF00028;PF00041;PF00071;PF00102;PF00621;PF00625;PF02210;PF02931;PF07653;PF07679;PF08393;PF12774;PF12775;PF12780;PF13499;PF13855;PF13857;PF15383
Group	GO:0097458	neuron part	1	4.32	1.84e-04	9.19e-04	15|46|562|4686	PF00028;PF00041;PF00057;PF00071;PF00102;PF00621;PF00625;PF02210;PF02931;PF07653;PF07679;PF13499;PF13855;PF13857;PF14670
Group	GO:0031224	intrinsic component of membrane	1	3.98	4.42e-04	1.63e-03	15|46|608|4686	PF00028;PF00041;PF00057;PF00071;PF00125;PF00625;PF01421;PF01462;PF02023;PF02210;PF02931;PF07653;PF07679;PF13499;PF13855
Group	GO:0012505	endomembrane system	1	3.60	6.16e-04	1.92e-03	22|46|1169|4686	PF00041;PF00054;PF00057;PF00071;PF00090;PF00102;PF00106;PF00125;PF00226;PF00702;PF01369;PF01391;PF01462;PF02023;PF02210;PF02828;PF07653;PF07679;PF13499;PF13855;PF13857;PF14670
Group	GO:0005654	nucleoplasm	1	3.58	1.21e-03	3.26e-03	15|46|668|4686	PF00054;PF00057;PF00096;PF00125;PF00249;PF00583;PF01448;PF02037;PF02269;PF02828;PF03147;PF07653;PF08447;PF11261;PF12874
Group	GO:0005811	lipid particle	1	4.05	1.60e-03	4.00e-03	7|46|179|4686	PF00054;PF00057;PF00071;PF00106;PF00125;PF02210;PF07679
Group	GO:1902494	catalytic complex	1	3.29	2.08e-03	4.86e-03	17|46|857|4686	PF00096;PF00125;PF00249;PF00583;PF00773;PF01448;PF02269;PF03147;PF07653;PF08393;PF12774;PF12775;PF12780;PF12874;PF13499;PF13638;PF13855
Group	GO:0009986	cell surface	2	8.47	3.71e-09	1.30e-07	15|46|241|4686	PF00041;PF00057;PF00071;PF00090;PF00167;PF00621;PF01179;PF01391;PF01421;PF01462;PF02023;PF02210;PF07679;PF13855;PF14670
Group	GO:0060076	excitatory synapse	2	9.03	1.91e-06	4.46e-05	6|46|40|4686	PF00057;PF00625;PF07653;PF07679;PF13855;PF14670
Group	GO:0044441	ciliary part	2	6.77	8.87e-06	1.24e-04	8|46|110|4686	PF00071;PF07653;PF08393;PF12774;PF12775;PF12780;PF13499;PF15383
Group	GO:0098984	neuron to neuron synapse	2	7.20	1.95e-05	1.95e-04	6|46|59|4686	PF00057;PF00621;PF00625;PF02931;PF07653;PF14670
Group	GO:0099572	postsynaptic specialization	2	6.99	2.60e-05	2.02e-04	6|46|62|4686	PF00057;PF00621;PF00625;PF02931;PF07653;PF14670
Group	GO:0036056	filtration diaphragm	2	7.81	7.48e-05	4.03e-04	4|46|24|4686	PF00041;PF00625;PF07653;PF07679
Group	GO:0016327	apicolateral plasma membrane	2	8.09	2.36e-04	9.96e-04	3|46|13|4686	PF00625;PF02828;PF07653
Group	GO:0016324	apical plasma membrane	2	5.48	2.28e-04	9.96e-04	6|46|91|4686	PF00041;PF00102;PF00625;PF02023;PF02828;PF07653
Group	GO:0043025	neuronal cell body	2	5.44	2.42e-04	9.96e-04	6|46|92|4686	PF00041;PF00057;PF02931;PF07679;PF13855;PF14670
Group	GO:0034702	ion channel complex	2	5.25	3.23e-04	1.26e-03	6|46|97|4686	PF00625;PF02210;PF02931;PF07653;PF13499;PF13855
Group	GO:0043235	receptor complex	2	5.01	4.71e-04	1.65e-03	6|46|104|4686	PF00041;PF00057;PF02931;PF07653;PF13855;PF14670
Group	GO:0005875	microtubule associated complex	2	4.91	5.49e-04	1.83e-03	6|46|107|4686	PF00041;PF07679;PF08393;PF12774;PF12775;PF12780
Group	GO:0005913	cell-cell adherens junction	2	5.72	6.31e-04	1.92e-03	4|46|41|4686	PF00041;PF00102;PF00625;PF02828
Group	GO:0098552	side of membrane	2	4.78	6.68e-04	1.95e-03	6|46|111|4686	PF00071;PF00102;PF00106;PF00621;PF00625;PF01369
