###################################################################################################################################################################
#Enrichment results using 'Cellular Component from Gene Ontology (GO)', created by dcGO Enrichment at 9/02/2017 13:41:18 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0012505	endomembrane system	1	6.91	6.30e-11	1.00e-08	93|205|1169|4686	PF00019;PF00023;PF00025;PF00027;PF00041;PF00045;PF00049;PF00057;PF00082;PF00093;PF00098;PF00122;PF00130;PF00169;PF00226;PF00254;PF00341;PF00350;PF00400;PF00413;PF00415;PF00452;PF00514;PF00586;PF00594;PF00596;PF00611;PF00612;PF00618;PF00622;PF00640;PF00651;PF00664;PF00688;PF00689;PF00690;PF00702;PF00757;PF00780;PF00786;PF00789;PF00899;PF00969;PF01030;PF01064;PF01217;PF01404;PF01417;PF01465;PF01496;PF01553;PF02145;PF02148;PF02177;PF02225;PF02709;PF02759;PF02769;PF02828;PF03133;PF03810;PF04137;PF04144;PF04495;PF04810;PF05773;PF06309;PF07645;PF07653;PF07679;PF07687;PF07707;PF08246;PF08389;PF09335;PF10277;PF12348;PF12705;PF12763;PF12796;PF12906;PF12924;PF13091;PF13246;PF13344;PF13360;PF13606;PF13733;PF13855;PF14554;PF14604;PF14707;PF14844
Group	GO:0044459	plasma membrane part	1	6.50	3.11e-09	1.97e-07	63|205|699|4686	PF00023;PF00027;PF00041;PF00049;PF00057;PF00098;PF00122;PF00130;PF00169;PF00188;PF00194;PF00341;PF00350;PF00397;PF00400;PF00514;PF00596;PF00611;PF00612;PF00640;PF00664;PF00689;PF00690;PF00702;PF00757;PF00969;PF01030;PF01064;PF01217;PF01335;PF01403;PF01404;PF01437;PF01477;PF01496;PF01699;PF01833;PF02140;PF02214;PF02828;PF03133;PF04103;PF05790;PF06325;PF06472;PF07645;PF07653;PF07679;PF08246;PF08416;PF08688;PF10277;PF12763;PF12796;PF12947;PF13246;PF13347;PF13385;PF13606;PF13855;PF13903;PF14604;PF14843
Group	GO:0042995	cell projection	1	6.46	3.71e-09	1.97e-07	63|205|702|4686	PF00014;PF00019;PF00023;PF00025;PF00027;PF00041;PF00045;PF00076;PF00098;PF00122;PF00130;PF00169;PF00241;PF00254;PF00350;PF00400;PF00413;PF00415;PF00514;PF00581;PF00610;PF00611;PF00612;PF00618;PF00640;PF00664;PF00688;PF00786;PF01404;PF01477;PF01553;PF01843;PF02140;PF02145;PF02177;PF02181;PF02214;PF02759;PF02893;PF03133;PF03165;PF06325;PF06367;PF06371;PF07534;PF07653;PF07679;PF07687;PF07719;PF08246;PF08416;PF12348;PF12763;PF12796;PF12895;PF12924;PF12947;PF13246;PF13606;PF13716;PF13855;PF14598;PF14604
Group	GO:0031982	vesicle	1	6.24	1.19e-08	4.72e-07	61|205|688|4686	PF00019;PF00023;PF00025;PF00040;PF00041;PF00049;PF00057;PF00082;PF00093;PF00122;PF00130;PF00169;PF00341;PF00350;PF00400;PF00415;PF00611;PF00612;PF00618;PF00640;PF00651;PF00664;PF00688;PF00757;PF00899;PF00969;PF01030;PF01064;PF01217;PF01404;PF01417;PF01496;PF01843;PF02145;PF02148;PF02177;PF02225;PF02759;PF04144;PF04810;PF05773;PF06325;PF07645;PF07653;PF07687;PF07707;PF08246;PF12705;PF12763;PF12906;PF12924;PF12947;PF13246;PF13360;PF13606;PF13765;PF13855;PF14554;PF14604;PF14707;PF14843
Group	GO:0031090	organelle membrane	1	5.10	1.61e-06	3.21e-05	60|205|767|4686	PF00023;PF00025;PF00027;PF00041;PF00122;PF00153;PF00350;PF00389;PF00397;PF00400;PF00415;PF00452;PF00583;PF00586;PF00596;PF00611;PF00622;PF00640;PF00664;PF00689;PF00690;PF00702;PF00780;PF00899;PF00969;PF01217;PF01404;PF01417;PF01496;PF01553;PF01699;PF02064;PF02145;PF02148;PF02225;PF02709;PF02769;PF03810;PF03820;PF04144;PF04695;PF04810;PF05773;PF06371;PF06472;PF07653;PF08246;PF09335;PF10277;PF12763;PF12796;PF12906;PF13091;PF13246;PF13360;PF13606;PF13733;PF13765;PF13855;PF13920
Group	GO:0097458	neuron part	1	5.15	2.18e-06	3.86e-05	48|205|562|4686	PF00014;PF00023;PF00025;PF00027;PF00041;PF00045;PF00055;PF00057;PF00076;PF00098;PF00122;PF00130;PF00169;PF00241;PF00254;PF00413;PF00514;PF00610;PF00611;PF00612;PF00618;PF00640;PF01217;PF01404;PF01485;PF01496;PF02140;PF02145;PF02177;PF02201;PF02214;PF02759;PF03165;PF04144;PF06325;PF07534;PF07653;PF07679;PF07687;PF08246;PF12763;PF12796;PF12924;PF13246;PF13385;PF13716;PF13855;PF14604
Group	GO:0098805	whole membrane	1	5.13	2.55e-06	4.05e-05	46|205|531|4686	PF00023;PF00025;PF00041;PF00057;PF00122;PF00153;PF00350;PF00400;PF00452;PF00611;PF00612;PF00640;PF00664;PF00689;PF00690;PF00757;PF00899;PF00969;PF01030;PF01064;PF01217;PF01404;PF01417;PF01496;PF01553;PF02064;PF02145;PF02214;PF02225;PF04144;PF04695;PF04810;PF05773;PF06325;PF06472;PF07653;PF08246;PF09335;PF12763;PF12796;PF12906;PF13091;PF13246;PF13606;PF13855;PF14604
Group	GO:0045202	synapse	1	5.24	3.84e-06	5.55e-05	32|205|313|4686	PF00023;PF00027;PF00041;PF00053;PF00057;PF00076;PF00130;PF00169;PF00350;PF00397;PF00596;PF00611;PF00618;PF00622;PF00640;PF00689;PF00757;PF00786;PF01217;PF01496;PF02140;PF02214;PF02828;PF04144;PF07534;PF07653;PF07679;PF08416;PF12763;PF12796;PF13855;PF14604
Group	GO:0005856	cytoskeleton	1	4.69	1.37e-05	1.68e-04	44|205|530|4686	PF00023;PF00025;PF00041;PF00098;PF00130;PF00134;PF00153;PF00169;PF00241;PF00400;PF00415;PF00452;PF00514;PF00581;PF00596;PF00611;PF00612;PF00651;PF00780;PF00786;PF00969;PF01417;PF01553;PF01843;PF02148;PF02181;PF03133;PF03256;PF04695;PF06367;PF06371;PF07653;PF07679;PF07687;PF07707;PF08442;PF08688;PF12348;PF12510;PF12796;PF12947;PF13606;PF13964;PF14604
Group	GO:0005773	vacuole	1	4.68	1.75e-05	1.99e-04	39|205|450|4686	PF00023;PF00025;PF00057;PF00082;PF00122;PF00240;PF00249;PF00350;PF00400;PF00611;PF00664;PF00690;PF00702;PF00969;PF01217;PF01370;PF01404;PF01417;PF01496;PF01699;PF02148;PF02225;PF02759;PF02893;PF04144;PF05773;PF07645;PF08127;PF08246;PF09335;PF10277;PF12335;PF12705;PF12763;PF12906;PF13360;PF13855;PF14707;PF14844
