###################################################################################################################################################################
#Enrichment results using 'Molecular Function from Gene Ontology (GO)', created by dcGO Enrichment at 9/02/2017 13:41:17 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0019899	enzyme binding	1	11.03	4.84e-21	9.29e-19	79|208|609|4718	PF00023;PF00027;PF00040;PF00041;PF00057;PF00076;PF00093;PF00098;PF00122;PF00130;PF00134;PF00169;PF00179;PF00226;PF00240;PF00249;PF00350;PF00397;PF00400;PF00415;PF00452;PF00514;PF00581;PF00583;PF00610;PF00611;PF00612;PF00618;PF00622;PF00640;PF00643;PF00651;PF00689;PF00690;PF00757;PF00780;PF00786;PF00789;PF00989;PF01030;PF01335;PF01403;PF01448;PF01465;PF01485;PF01553;PF01753;PF01833;PF01843;PF02145;PF02181;PF02214;PF02759;PF02893;PF03165;PF03810;PF06325;PF06367;PF06371;PF06920;PF07645;PF07653;PF07679;PF08246;PF08416;PF12335;PF12697;PF12796;PF13246;PF13344;PF13606;PF13765;PF13855;PF13920;PF14324;PF14429;PF14555;PF14604;PF14843
Group	GO:0097367	carbohydrate derivative binding	1	8.33	8.10e-13	7.77e-11	56|208|471|4718	PF00019;PF00025;PF00027;PF00040;PF00041;PF00053;PF00057;PF00076;PF00093;PF00122;PF00130;PF00153;PF00169;PF00341;PF00350;PF00389;PF00400;PF00586;PF00596;PF00610;PF00612;PF00618;PF00664;PF00683;PF00688;PF00689;PF00690;PF00702;PF00757;PF00780;PF01030;PF01064;PF01336;PF01403;PF01476;PF01477;PF01843;PF01909;PF02769;PF02825;PF03810;PF06472;PF07645;PF07679;PF07687;PF08246;PF10421;PF12796;PF12947;PF13246;PF13344;PF13589;PF13606;PF13855;PF13920;PF14554
Group	GO:0098772	molecular function regulator	1	8.11	1.54e-12	9.83e-11	60|208|537|4718	PF00014;PF00019;PF00023;PF00025;PF00027;PF00041;PF00045;PF00057;PF00076;PF00130;PF00134;PF00169;PF00226;PF00341;PF00397;PF00400;PF00413;PF00415;PF00452;PF00514;PF00583;PF00594;PF00610;PF00611;PF00612;PF00618;PF00622;PF00640;PF00651;PF00664;PF00684;PF00688;PF00689;PF00757;PF00780;PF01030;PF01154;PF01477;PF02145;PF02214;PF02759;PF02893;PF04055;PF04762;PF05773;PF06920;PF07534;PF07645;PF07653;PF07679;PF08246;PF12335;PF12796;PF13606;PF13716;PF13855;PF13920;PF14429;PF14554;PF14604
Group	GO:0004871	signal transducer activity	1	7.70	5.68e-11	1.82e-09	46|208|376|4718	PF00019;PF00023;PF00027;PF00041;PF00053;PF00057;PF00122;PF00130;PF00169;PF00249;PF00341;PF00397;PF00400;PF00618;PF00622;PF00643;PF00664;PF00688;PF00689;PF00690;PF00702;PF00757;PF00780;PF00786;PF00969;PF00989;PF01030;PF01064;PF01403;PF01404;PF01437;PF01496;PF01833;PF02140;PF03165;PF05486;PF07645;PF07679;PF08246;PF12796;PF13385;PF13606;PF13855;PF14554;PF14604;PF14843
Group	GO:0042802	identical protein binding	1	7.30	1.39e-10	3.47e-09	55|208|518|4718	PF00014;PF00019;PF00023;PF00027;PF00041;PF00076;PF00093;PF00130;PF00169;PF00205;PF00240;PF00249;PF00254;PF00341;PF00350;PF00383;PF00389;PF00400;PF00415;PF00452;PF00583;PF00586;PF00611;PF00622;PF00643;PF00651;PF00664;PF00688;PF00689;PF00757;PF00786;PF00989;PF01030;PF01352;PF01833;PF01843;PF02214;PF02225;PF02769;PF02826;PF02893;PF03165;PF06325;PF07645;PF07653;PF07679;PF07707;PF12796;PF12947;PF13091;PF13606;PF13765;PF13855;PF13920;PF14604
Group	GO:0044877	macromolecular complex binding	1	7.08	1.97e-10	4.20e-09	63|208|649|4718	PF00014;PF00023;PF00040;PF00041;PF00045;PF00049;PF00053;PF00055;PF00057;PF00076;PF00082;PF00093;PF00130;PF00134;PF00169;PF00179;PF00226;PF00240;PF00241;PF00249;PF00341;PF00389;PF00397;PF00400;PF00413;PF00415;PF00514;PF00583;PF00596;PF00611;PF00612;PF00622;PF00640;PF00643;PF00651;PF00757;PF00786;PF00989;PF01030;PF01064;PF01352;PF01476;PF01553;PF01753;PF02037;PF02181;PF02893;PF03165;PF03828;PF06325;PF07645;PF07653;PF07679;PF08246;PF08416;PF12796;PF12947;PF13606;PF13855;PF13920;PF14551;PF14598;PF14604
Group	GO:0043167	ion binding	1	6.67	3.43e-10	6.58e-09	87|208|1078|4718	PF00023;PF00025;PF00027;PF00040;PF00041;PF00045;PF00053;PF00076;PF00093;PF00122;PF00130;PF00153;PF00169;PF00205;PF00226;PF00240;PF00241;PF00254;PF00341;PF00350;PF00383;PF00389;PF00397;PF00400;PF00413;PF00586;PF00594;PF00596;PF00610;PF00611;PF00612;PF00618;PF00622;PF00640;PF00643;PF00651;PF00664;PF00683;PF00689;PF00690;PF00702;PF00780;PF00970;PF01064;PF01336;PF01352;PF01403;PF01417;PF01477;PF01485;PF01553;PF01699;PF01753;PF01843;PF01909;PF02148;PF02709;PF02769;PF02826;PF02893;PF03256;PF03810;PF05485;PF05773;PF06297;PF06472;PF07645;PF07653;PF07679;PF07687;PF08389;PF08969;PF10421;PF12796;PF13246;PF13344;PF13385;PF13589;PF13606;PF13716;PF13733;PF13765;PF13855;PF13920;PF14554;PF14555;PF14604
Group	GO:0005102	receptor binding	1	6.72	4.27e-09	6.83e-08	46|208|427|4718	PF00019;PF00041;PF00049;PF00053;PF00055;PF00057;PF00076;PF00093;PF00098;PF00130;PF00169;PF00226;PF00249;PF00254;PF00341;PF00397;PF00400;PF00514;PF00594;PF00610;PF00618;PF00640;PF00643;PF00664;PF00683;PF00684;PF00688;PF00757;PF00989;PF01030;PF01403;PF01437;PF01553;PF02828;PF05790;PF06325;PF07525;PF07645;PF07653;PF07679;PF12796;PF13606;PF13855;PF14554;PF14598;PF14604
Group	GO:0097159	organic cyclic compound binding	1	5.45	1.01e-07	1.38e-06	100|208|1462|4718	PF00014;PF00023;PF00025;PF00027;PF00076;PF00098;PF00122;PF00130;PF00134;PF00153;PF00169;PF00179;PF00205;PF00226;PF00240;PF00249;PF00254;PF00350;PF00383;PF00389;PF00397;PF00400;PF00415;PF00514;PF00581;PF00583;PF00586;PF00596;PF00610;PF00612;PF00618;PF00622;PF00643;PF00651;PF00664;PF00689;PF00690;PF00702;PF00757;PF00780;PF00970;PF00989;PF01030;PF01064;PF01336;PF01352;PF01370;PF01403;PF01417;PF01448;PF01480;PF01553;PF01585;PF01753;PF01833;PF01843;PF01909;PF02037;PF02177;PF02769;PF02826;PF02828;PF02893;PF03165;PF03256;PF03810;PF03828;PF05485;PF05773;PF06472;PF07528;PF07645;PF07653;PF07679;PF08075;PF08210;PF08389;PF08662;PF08969;PF09816;PF10421;PF11717;PF12171;PF12796;PF12924;PF13246;PF13344;PF13347;PF13414;PF13589;PF13606;PF13716;PF13765;PF13855;PF13920;PF14324;PF14551;PF14555;PF14598;PF14604
Group	GO:0046983	protein dimerization activity	1	5.81	1.92e-07	2.46e-06	45|208|466|4718	PF00014;PF00019;PF00023;PF00027;PF00041;PF00076;PF00130;PF00169;PF00249;PF00341;PF00350;PF00400;PF00415;PF00452;PF00586;PF00611;PF00622;PF00643;PF00651;PF00664;PF00688;PF00689;PF00757;PF00899;PF00989;PF01030;PF01833;PF02145;PF02214;PF02225;PF02769;PF02893;PF03165;PF06325;PF07645;PF07679;PF07707;PF12796;PF13091;PF13606;PF13855;PF13920;PF14598;PF14604;PF14843
