Geneset_type	Geneset	Number_drivers	p	adjp	OR	eOR	Switched_genes
Pathway	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1	1.0	1.0	0.0	0.14427390791027156	ACSS2,ADH4,ADH6,ALDH1A3,ALDH2,ALDH3A2,ALDH3B1,ALDOA,ALDOC,BPGM,DLAT,ENO1,ENO3,FBP1,GAPDH,GPI,HK1,LDHA,LDHB,PCK2,PDHA1,PDHB,PFKL,PFKM,PFKP,PGM1,PGM2,PKLR,PKM2
Pathway	KEGG_CITRATE_CYCLE_TCA_CYCLE	3	1.0	1.0	0.0	0.2785396421760058	ACLY,CS,DLAT,IDH1,IDH2,IDH3A,IDH3G,OGDH,PCK2,PDHA1,PDHB,SDHA,SUCLA2,SUCLG2
Pathway	KEGG_PENTOSE_PHOSPHATE_PATHWAY	0	1.0	1.0	0.0	0.3293978748524203	ALDOA,ALDOC,FBP1,G6PD,GPI,PFKL,PFKM,PFKP,PGD,PGM1,PGM2,PRPS1,RPE,TKT,TKTL1
Pathway	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0	1.0	1.0	0.0	0.3177986288034135	GUSB,RPE,UGDH,UGT1A6,UGT2B28,UGT2B4,UGT2B7
Pathway	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0	1.0	1.0	0.0	0.26232397378642436	ALDOA,ALDOC,FBP1,GMPPA,HK1,KHK,MPI,PFKFB2,PFKFB3,PFKL,PFKM,PFKP,PHPT1,TSTA3
Pathway	KEGG_GALACTOSE_METABOLISM	0	1.0	1.0	0.0	0.3418725356975786	GAA,GALE,GALK1,GALK2,GALT,GLB1,HK1,PFKL,PFKM,PFKP,PGM1,PGM2
Pathway	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0	1.0	1.0	0.0	0.35532560131490615	ALDH2,ALDH3A2,UGDH,UGT1A6,UGT2B28,UGT2B4,UGT2B7
Pathway	KEGG_FATTY_ACID_METABOLISM	2	0.8948382791824165	1.0	0.4426391551399221	0.6551792970699366	ACAA1,ACAA2,ACADM,ACADS,ACADSB,ACADVL,ACOX1,ACOX3,ACSL1,ACSL3,ACSL4,ADH4,ADH6,ALDH2,ALDH3A2,CPT1A,HADHB,PECI
Pathway	KEGG_STEROID_BIOSYNTHESIS	0	1.0	1.0	0.0	0.5182998819362455	DHCR7,EBP,FDFT1,LIPA,SC5DL,SOAT1,SOAT2,TM7SF2
Pathway	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0	0.5753918264715774	1.0	1.213868876894587	1.760145065852262	AMACR,BAAT,CYP39A1,CYP46A1,HSD3B7,SCP2,SLC27A5
