GeneSet	Cancer	pval	qval	NormalizedAverageAffection	SwitchingGenes	OR	sg	sng	nsg	nsng
PID_ILK_PATHWAY	brca	1.0	1.0	0.00135135135135	AKT1,CDC42,PXN,RAC1	0.826016260163	4	1740	41	14732
BIOCARTA_VEGF_PATHWAY	brca	0.763427407711	1.0	0.00116495806151	HIF1A,PXN	0.627035761364	2	1742	27	14746
BIOCARTA_AKAPCENTROSOME_PATHWAY	brca	1.0	1.0	0.00144787644788	NUP85	0.651396795975	1	1743	13	14760
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	brca	0.428599590284	1.0	0.00439725439725	CRKL,FYN,GRB2	1.69534750144	3	1741	15	14758
BIOCARTA_TEL_PATHWAY	brca	0.414404782054	1.0	0.00511015216898	AKT1,TP53,XRCC6	1.81656683351	3	1741	14	14759
KEGG_NON_HOMOLOGOUS_END_JOINING	brca	1.0	1.0	0.00297619047619	XRCC6	0.769936890419	1	1743	11	14762
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	brca	0.729062508631	1.0	0.00310559006211	CLP1,CPSF7,PCF11	1.27107983917	3	1741	20	14753
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS	brca	0.515743642936	1.0	0.00170775170775	RAF1	0.338450946644	1	1743	25	14748
BIOCARTA_DREAM_PATHWAY	brca	1.0	1.0	0.00522844272844	KCNIP3	0.769936890419	1	1743	11	14762
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	brca	0.0320860170588	0.93941807104	0.00355212355212	ADCY4,ITPR3,MYL6,RAF1	0.351460727969	4	1740	96	14677
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	brca	1.0	1.0	0.000804375804376	ADCY4	0.769936890419	1	1743	11	14762
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	brca	0.133372721277	1.0	0.00355618776671	DGKG,DGKI,DGKQ,ITPR3	2.26176245211	4	1740	15	14758
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	brca	0.360071446151	1.0	0.00434362934363	ABCC3	2.82463186078	1	1743	3	14770
PID_P38ALPHABETADOWNSTREAMPATHWAY	brca	0.593275480816	1.0	0.00320056899004	MAPK11,MAPKAPK5,RAB5A,SLC9A1,TP53	1.28426298639	5	1739	33	14740
PID_IL2_STAT5PATHWAY	brca	0.211080110838	1.0	0.0032749586321	CCND3,FASLG,GRB2,IL2RG,JAK3	1.84388829162	5	1739	23	14750
BIOCARTA_ATRBRCA_PATHWAY	brca	1.0	1.0	0.00271189556904	RAD9A,TP53	0.891534231676	2	1742	19	14754
BIOCARTA_BARRESTIN_PATHWAY	brca	1.0	1.0	0.0010725010725	GNB1	1.05887837063	1	1743	8	14765
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	brca	0.232007263545	1.0	0.00253558462514	AKT1,CDC42,GRB2,NOLC1,PDK1,PPP1R13B,PREX1,PTPN1,YWHAH,YWHAZ	1.48890102997	10	1734	57	14716
PID_AR_NONGENOMIC_PATHWAY	brca	0.124973817844	1.0	0.0024453024453	AKT1,AR,CDC42,GNB1,RAC1,RAF1	2.12154775604	6	1738	24	14749
PID_IL5_PATHWAY	brca	0.030631448501	0.923134867651	0.00378056628057	CSF2RB,GRB2,PIM1,SDCBP	4.24281609195	4	1740	8	14765
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	brca	0.480899607065	1.0	0.0032175032175	ACOT2,ACOX3,HADHA	1.41250239326	3	1741	18	14755
KEGG_PARKINSONS_DISEASE	brca	0.207085115801	1.0	0.000874189553435	ATP5J,NDUFA5,NDUFA9,NDUFS2,NDUFV1,UQCRC1,VDAC1	0.597326169001	7	1737	99	14674
REACTOME_PYRIMIDINE_METABOLISM	brca	0.480899607065	1.0	0.00170068027211	CAD,NT5E,NT5M	1.41250239326	3	1741	18	14755
PID_AR_PATHWAY	brca	0.524217856315	1.0	0.00246138996139	AKT1,AR,CCND3,CMTM2,LATS2,PIAS3,PTK2B,XRCC6	1.30459057072	8	1736	52	14721
REACTOME_GLUCONEOGENESIS	brca	0.356259972274	1.0	0.000723938223938	ENO1	0.313338008117	1	1743	27	14746
REACTOME_PURINE_SALVAGE	brca	0.150934615853	1.0	0.00408375408375	ADAL,AMPD2,GMPR2	2.54388282596	3	1741	10	14763
PID_ERBB2ERBB3PATHWAY	brca	0.222782845612	1.0	0.00309319059319	AKT1,CDC42,ERBB2,GRB2,RAC1,RAF1,RNF41	1.6050039677	7	1737	37	14736
BIOCARTA_NO1_PATHWAY	brca	0.356259972274	1.0	0.00113761720905	AKT1	0.313338008117	1	1743	27	14746
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING	brca	1.0	1.0	0.00263835263835	DDX58,PCBP2,TAX1BP1	0.941093879635	3	1741	27	14746
PID_LIS1PATHWAY	brca	0.187527171869	1.0	0.003564003564	CDC42,DCX,KATNA1,PPP2R5D,RAC1	2.01977053041	5	1739	21	14752
KEGG_ACUTE_MYELOID_LEUKEMIA	brca	0.829932860197	1.0	0.00191356770304	AKT1,GRB2,PIM1,RAF1,RARA	0.813962489494	5	1739	52	14721
PID_CASPASE_PATHWAY	brca	0.81980736553	1.0	0.00224606474606	APP,CASP6,DFFA,LMNB2,SREBF1,TNFRSF1A	1.10524340822	6	1738	46	14727
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	brca	0.187527171869	1.0	0.00245025245025	CCT6A,CCT7,CCT8,FBXL5,LONP2	2.01977053041	5	1739	21	14752
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	brca	0.0729295653214	1.0	0.00248625248625	ALG2,ARSG,B3GNT5,B4GALT3,DHPS,DOLPP1,DPAGT1,FUT8,GALNT11,GALNT2,GALNT6,GALNT7,MGAT4A,MPI,PIGB,PIGC,PIGS,PIGT,PIGV,PIGW,PREB,ST6GALNAC4,ST8SIA2,STT3A,SUMF1	1.52009058423	25	1719	140	14633
REACTOME_GPCR_LIGAND_BINDING	brca	0.42415747394	1.0	0.00251898207289	ADCYAP1,ADORA3,APP,CCL20,CXCR5,DARC,EDN1,FZD3,GNB1,GPR18,GPR68,GRM6,HRH1,HTR7,INSL3,LTB4R,NPY1R,OPN3,POMC,PPYR1,S1PR5,SMO,WNT10B,WNT4	0.827413383958	24	1720	245	14528
REACTOME_SIGNALING_BY_BMP	brca	1.0	1.0	0.00170068027211	SMAD1,SMAD6	0.891534231676	2	1742	19	14754
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	brca	0.759488029611	1.0	0.00303875303875	SNW1,TNRC6C,TP53	1.05894600804	3	1741	24	14749
REACTOME_COMPLEMENT_CASCADE	brca	0.506729322216	1.0	0.000925032175032	CFH	0.36793135274	1	1743	23	14750
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	brca	1.0	1.0	0.00151682294539		0.0	0	1744	7	14766
REACTOME_REGULATION_OF_APOPTOSIS	brca	0.655445486057	1.0	0.00103675103675	ARHGAP10,PSMD12,PSMD2,PSMD3	0.67691954023	4	1740	50	14723
REACTOME_INTERFERON_GAMMA_SIGNALING	brca	1.0	1.0	0.00203035547863	HLA-DRB1,ICAM1,IFNGR1,IRF1,PTPN1,SP100	0.977316986811	6	1738	52	14721
BIOCARTA_CTCF_PATHWAY	brca	0.296657359842	1.0	0.00323149236193	CD79B,SMAD1,TGFB2,TP53	1.78511796733	4	1740	19	14754
BIOCARTA_LYM_PATHWAY	brca	0.285600187093	1.0	0.00289575289575	CD34,ICAM1	2.11897244546	2	1742	8	14765
