GeneSet	Cancer	pval	qval	NormalizedAverageAffection	SwitchingGenes	OR	sg	sng	nsg	nsng
HALLMARK_PANCREAS_BETA_CELLS	brca	0.366002950728	0.602133886681	0.00366795366795	DCX,HNF1A,PAX6	1.44903192717	3	1418	22	15068
HALLMARK_TGF_BETA_SIGNALING	brca	0.319376484608	0.602133886681	0.00237737737738	BCAR3,ENG,FNTA,SMAD1,SMAD3,SMAD6	1.32879858657	6	1415	48	15042
HALLMARK_IL2_STAT5_SIGNALING	brca	0.32769317643	0.602133886681	0.00207824442518	ADAM19,CCND3,CD79B,CD81,DHRS3,ICOS,IFNGR1,IL1R2,LCLAT1,NDRG1,NFKBIZ,NT5E,ODC1,P4HA1,PIM1,PLSCR1,SLC1A5,SPP1,SYT11	1.14181919292	19	1402	177	14913
HALLMARK_BILE_ACID_METABOLISM	brca	0.495421072829	0.694747532843	0.00218146718147	ACSL5,ALDH9A1,AR,BCAR3,DHCR24,EFHC1,HACL1,IDI1,NUDT12	1.05057902438	9	1412	91	14999
HALLMARK_MITOTIC_SPINDLE	brca	0.273324941887	0.58081550151	0.00200772200772	ACTN4,ARHGAP10,ARHGAP27,CDC42,CEP57,CSNK1D,CTTN,CYTH2,FBXO5,FLNB,FSCN1,KIF3C,KIFAP3,KNTC1,NET1,NIN,PREX1,PXN,RHOT2,TUBGCP2	1.18248869855	20	1401	180	14910
HALLMARK_KRAS_SIGNALING_DN	brca	0.803415391332	0.853628853291	0.00187687687688	CAMK1D,CD40LG,CLSTN3,FGGY,HNF1A,KCND1,SERPINB2,SLC29A3,SPTBN2,TGFB2	0.791013042512	10	1411	134	14956
HALLMARK_ESTROGEN_RESPONSE_LATE	brca	0.921336030698	0.958941582972	0.00158084469309	AMFR,CKB,FLNB,IMPA2,NPY1R,OPN3,PDCD4,RET,SERPINA1,SLC1A4,TPD52L1,UGDH	0.689943530719	12	1409	184	14906
HALLMARK_ADIPOGENESIS	brca	0.641688984583	0.727247515861	0.00223762723763	APLP2,BCL2L13,IDH3A,IFNGR1,MCCC1,NDUFA5,PDCD4,PGM1,PREB,RTN3,SLC1A5,STOM,UBC,UBQLN1,UQCRC1,VEGFB	0.932806695084	16	1405	182	14908
HALLMARK_P53_PATHWAY	brca	0.34405436675	0.602133886681	0.001911001911	ABHD4,APP,CCND3,CCNG1,CD81,CP110,DDB2,EI24,MKNK2,NDRG1,PLXNB2,PRMT2,PROCR,RAD9A,SEC61A1,STOM,TAP1,TP53,TPD52L1	1.12891001682	19	1402	179	14911
HALLMARK_HEME_METABOLISM	brca	0.200086877498	0.485925273923	0.00298742477513	ASNS,BCAM,CCND3,CTNS,DARC,DCAF11,FBXO7,GDE1,GMPS,MPP1,NARF,PQLC1,RANBP10,RBM38,RBM5,RCL1,RNF123,SDCBP,SLC6A8	1.26457738944	19	1402	160	14930
HALLMARK_NOTCH_SIGNALING	brca	0.527890103767	0.694747532843	0.00247345559846	APH1A,CUL1,HEYL	1.09875492437	3	1418	29	15061
HALLMARK_MTORC1_SIGNALING	brca	0.0374646652943	0.192774442985	0.00275096525097	AK3L1,ASNS,CCNG1,CTSC,DHCR24,ENO1,ETF1,GMPS,HMGCR,HMGCS1,HSP90B1,HSPA9,HSPD1,IDI1,INSIG1,LGMN,MCM4,MTHFD2,P4HA1,PGM1,PITPNB,RDH11,SLC1A4,SLC1A5,SQSTM1	1.5262996316	25	1396	175	14915
HALLMARK_INTERFERON_GAMMA_RESPONSE	brca	0.0355746470743	0.192774442985	0.00219727983547	ADAR,CFH,DDX58,EIF2AK2,GCH1,HERC6,HIF1A,HLA-DRB1,ICAM1,IDO1,IRF1,MTHFD2,MX2,MYD88,PDE4B,PFKP,PIM1,PLSCR1,PTPN1,RIPK2,RNF213,SP110,STAT2,TAP1,TRIM14	1.53517438988	25	1396	174	14916
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	brca	0.618212160168	0.716564094741	0.0014971239461	FES,NDUFS2,PFKP,TXNRD2	0.943777934604	4	1417	45	15045
