GeneSet	Cancer	pval	qval	NormalizedAverageAffection	SwitchingGenes	OR	sg	sng	nsg	nsng
MYC_UP.V1_UP	brca	0.943505656584	0.999401511497	0.00154672745034	AMPD2,CHKA,DENND2D,HDLBP,PIGW,PPRC1,PRMT3,PRR3,RPTOR,RRP12,SLC25A15,UTP14A	0.657703728143	12	1732	154	14619
PDGF_UP.V1_UP	brca	0.27682626216	0.999401511497	0.00277597722853	BICD2,CHKA,CLDND1,FAM3C,FAM98A,GNL1,HDLBP,HSPA2,IFNAR1,INHBA,MBTPS1,MPI,RAB35,SLC39A7,TFIP11,URB2,VPS39	1.20199285852	17	1727	120	14653
BMI1_DN.V1_DN	brca	0.966851775782	0.999401511497	0.00136492519305	BMI1,CHL1,PDCD4,PDE4B,PLEKHA4,PNMAL1,SUCLG2,TMEM176B	0.562711213518	8	1736	120	14653
SIRNA_EIF4GI_UP	brca	0.00708003982025	0.620722619666	0.00334690280342	ADSL,ASAH1,C12orf11,CORO1B,CSE1L,CTSC,CTSH,GIN1,GSS,HADHB,HSPD1,MIA3,MTO1,NCAPD2,PSAP,PYGL,RMND1,UBE2E1	2.07151357615	18	1726	74	14699
CYCLIN_D1_KE_.V1_UP	brca	0.348594595845	0.999401511497	0.00243852875432	ARCN1,ASNS,CCL20,CHKA,DAP,DMWD,FAM3C,GLB1,GPT,INPP5A,LMF2,MALL,NFE2,PIGC,RGS3,SMTN,STAM,STT3A,THOP1,TRAF1	1.12336933975	20	1724	151	14622
STK33_NOMO_UP	brca	0.375567736847	0.999401511497	0.00224658763391	ACP5,ADAMDEC1,ASPH,CCL20,COQ10B,FAM198B,FBXO32,FNDC3A,GLIPR1,GPNMB,GPR137B,ICAM1,IFI16,IL1R2,JAKMIP2,KCNJ15,KCTD3,KIAA1467,KMO,MERTK,NEAT1,PLAU,SDC4,SGPL1,SQSTM1,STX6,TLR6,TMEM159,TNFSF15,UBE2W,WBP2,ZNF222	1.07706571725	32	1712	252	14521
PRC1_BMI_UP.V1_DN	brca	0.93263735889	0.999401511497	0.00200721061648	CACNA2D3,EDN1,IDO1,KIAA0319L,LIME1,LRRC8B,MDFI,NEIL1,NIN,PAX6,ZNF117	0.663436649905	11	1733	140	14633
CSR_EARLY_UP.V1_UP	brca	0.725010599021	0.999401511497	0.00183397683398	AMD1,BCAR3,DNAJA1,ELL,IL11,INHBA,NET1,NMD3,NT5E,PAPD7,PTPN1,PXN,RIPK2,SMTN,UGDH	0.875211902435	15	1729	145	14628
MTOR_UP.V1_DN	brca	0.290976180691	0.999401511497	0.00237984289708	CTNS,FAH,FBXO32,ICOSLG,IFT172,KCNH3,KIAA1274,LTBP1,MAX,MESP2,NR1D1,PDE4B,PHC1,PLTP,PRDM4,PTPRS,RNF41,SH2D1B,SIX5,SLC6A20,WFDC1	1.16463532598	21	1723	153	14620
CYCLIN_D1_UP.V1_UP	brca	0.39072793321	0.999401511497	0.00333767502442	ARCN1,BMP1,CTF1,DMWD,DVL1,GLB1,GNL1,GPT,HAGH,KIAA0090,MALL,MYL6,NCSTN,NFE2,SMTN,SYN1,TAP1,TRAF1,WNT10B	1.09590456472	19	1725	147	14626
HINATA_NFKB_IMMU_INF	brca	0.0966409647201	0.999401511497	0.00442879854645	CCL20,CD83,ICAM1,IRF1	2.6100795756	4	1740	13	14760
TGFB_UP.V1_DN	brca	0.818230287435	0.999401511497	0.00139175720571	AP1AR,DDX58,ENTPD7,FBXL15,FCN3,GCH1,GOLPH3L,IFT74,IRF1,KIAA1467,MRM1,RBM47,SKP2,SLC35A1,TBC1D22B	0.807653626963	15	1729	157	14616
MTOR_UP.N4.V1_DN	brca	0.470470760471	0.999401511497	0.00205709222103	ANGEL2,BAALC,BBS1,EFHC1,GALNT6,GALNT7,ING4,LONP2,NEAT1,NFE2,PBXIP1,PDCD4,PLCL1,SUV420H1,TFPI,TRAT1,TRIOBP,ZNF117,ZNF271,ZNF277	1.03981324641	20	1724	163	14610
IL2_UP.V1_UP	brca	0.715037374293	0.999401511497	0.00237029083183	ADAM19,C19orf28,DGKG,DHRS3,FAM57A,GPT,HOXA11,KIF21B,PIM1,POLR3G,RGS3,SLC1A5,SPP1,TNFSF14,TRIB1,URB2	0.884773662551	16	1728	153	14620
DCA_UP.V1_UP	brca	0.190660543432	0.999401511497	0.00228997470377	ACP5,ADAM19,BTN3A1,CLPB,CYP2B7P1,EFS,EYA2,GABRB2,INO80B,INSL3,ITGA8,OXCT2,PIGV,PQLC3,PTPRT,SERPINA1,TTLL3,VPS39,ZNF117	1.2803910743	19	1725	126	14647
KRAS.AMP.LUNG_UP.V1_DN	brca	0.634029793441	0.999401511497	0.00166962329124	CD300A,CD34,CHL1,CTF1,DGKQ,HBA1,ICAM2,IGF2AS,LILRA4,TBXAS1,WDR33	0.931350259665	11	1733	100	14673
DCA_UP.V1_DN	brca	0.472420929965	0.999401511497	0.00233528459335	ACIN1,ANAPC10,C19orf28,C2orf18,DHX57,GPR137B,GPT,KCTD3,LONP2,LRRC14,MFGE8,NR4A1,PPP1R13B,SLC29A3,TNRC18,VPS52,ZKSCAN4	1.04392722573	17	1727	138	14635
CRX_NRL_DN.V1_UP	brca	0.952374185233	0.999401511497	0.00260301284891	ARHGAP10,ATP8A2,CAMK1D,CCDC107,DHRS3,KIAA0427,PIP4K2C,RNF123	0.592570135015	8	1736	114	14659
PIGF_UP.V1_DN	brca	0.744408602239	0.999401511497	0.00355618776671	AK3L1,AURKC,BCAM,CTF1,DHCR24,DOLPP1,FCN2,KCNQ3,NOS1AP,NUCB1,PIP5K1A,PXN,SDC4,TTLL3	0.858213956606	14	1730	138	14635
P53_DN.V2_DN	brca	0.975256037457	0.999401511497	0.00114221364221	ADAM11,ELAVL2,FAAH,HOXA11,NOL3,PPYR1,SREBF1	0.522821872723	7	1737	113	14660
IL21_UP.V1_DN	brca	0.823532494221	0.999401511497	0.00184150716066	CACNA2D3,CD40LG,CHGB,CNTN2,CORO2A,DGKQ,ECHDC3,FES,MTL5,SLC17A5,WNT4,ZNF550	0.786508405392	12	1732	129	14644
CTIP_DN.V1_UP	brca	0.226942002072	0.999401511497	0.00260292395124	CCL20,CD34,COL1A2,EFS,MED18,MTL5,OXCT2,PCDHA5,SALL2,SLC16A4,TRAF1,ZNF20	1.32233586275	12	1732	77	14696
CTIP_DN.V1_DN	brca	0.621840344504	0.999401511497	0.00195682695683	ADAM15,BCAM,CTF1,EDN1,EPB41L3,FMO5,HIBADH,INSL3,MAPK11,OXNAD1,TTLL3	0.94082195294	11	1733	99	14674
MTOR_UP.V1_UP	brca	0.0141572835638	0.66893164839	0.00328828828829	AK3L1,BDH1,COQ4,DFNA5,DHCR24,DHCR7,FAM131A,GCH1,GSDMA,GSS,HIVEP3,HMGCS1,IDH3A,IDI1,INTS3,MBL1P,MCM5,PDK1,PFKP,PPAN,PYGL,SC4MOL,SP100,TMEM53,TPH1	1.70424665503	25	1719	125	14648
BMI1_DN.V1_UP	brca	0.3966397861	0.999401511497	0.00227771450793	ASPH,CCL20,CLSPN,CTNS,DHRS3,EDN1,FAM57A,FES,FLNB,INHBA,MFGE8,NT5E,SLC1A4,SLC1A5,TAP1,TGFB2	1.10283047275	16	1728	123	14650
BMI1_DN_MEL18_DN.V1_UP	brca	0.246935414388	0.999401511497	0.00239151731689	ABLIM3,ADAM19,APBB2,ASPH,DUSP10,EDN1,FAM189A1,INHBA,KIF21B,NT5E,PIM1,PLEKHO1,SLC1A4,TGFB2,WEE1,WNT5B,ZC3H12A	1.23306558975	17	1727	117	14656
PTEN_DN.V1_UP	brca	0.961969472449	0.999401511497	0.00169884169884	ASPN,CYB5R2,EDN1,EMID2,GAL3ST1,HOXD1,MX2,PCDHA5,SHC2,ZNF613	0.60277640468	10	1734	140	14633
PKCA_DN.V1_UP	brca	0.635956240325	0.999401511497	0.00288838456777	ARSG,CASP6,GALNT6,LTB4R,NECAB2,ORMDL3,PHKA1,POMC,SCOC,SECTM1,SGK3,SLC6A20,SPNS2	0.932717445584	13	1731	118	14655
ESC_V6.5_UP_EARLY.V1_UP	brca	0.339882590078	0.999401511497	0.0037665037665	ARAP1,ARHGAP27,ENG,HDAC11,HIVEP3,IRX2,MBOAT1,MDFI,NARF,PARP6,PHF21A,RNF123,STIM1,TCEAL1,VEGFB,VPS39,ZDHHC6	1.14428635766	17	1727	126	14647
YAP1_DN	brca	0.308251388317	0.999401511497	0.00261996690568	ITGBL1,LCA5L,LONRF2,SLC9A1,UGT2B4	1.41297680659	5	1739	30	14743
PTEN_DN.V2_UP	brca	0.949475249284	0.999401511497	0.00186668368487	APOL3,CLPB,GPM6A,LOXL2,PLAU,PQLC3,RTN1,SECTM1	0.597854899882	8	1736	113	14660
SNF5_DN.V1_DN	brca	0.573731667397	0.999401511497	0.00207029689788	ATP8A2,CD99L2,CP,FAH,GATAD2A,IL11,IL3RA,MALAT1,NFKBIZ,SPEG,STAR,TMEM176B,TMEM53,TPD52L1,WFIKKN1	0.977198914446	15	1729	130	14643
KRAS.AMP.LUNG_UP.V1_UP	brca	0.64611526935	0.999401511497	0.00218230653013	CLSTN3,FAM174B,GPR68,JAK3,SPP1,ST8SIA2,TTLL3,ZNF257,ZNF835	0.918093121767	9	1735	83	14690
KRAS.KIDNEY_UP.V1_UP	brca	0.646401249386	0.999401511497	0.00266630799418	CHGB,CP,EPB41L3,FZD3,GPM6A,GPNMB,ITGBL1,PLCL1,PLP1,RTN1,SCG3,SIGLEC15	0.923556581986	12	1732	110	14663
