Symbol	Switch	Group	Tissue	NumSwitched
CREB3L1	uc001ncf.2-uc001ncg.2	Driver	prad	7
CREB3L1	uc001ncf.2-uc001ncg.2	Driver	kirc	12
CREB3L1	uc001ncf.2-uc001ncg.2	Driver	hnsc	7
CREB3L1	uc001ncf.2-uc001ncg.2	Driver	thca	4
JAM3	uc001qhb.1-uc009zcz.1	Interaction with driver	kich	2
JAM3	uc001qhb.1-uc009zcz.1	Interaction with driver	prad	19
JAM3	uc001qhb.1-uc009zcz.1	Interaction with driver	luad	4
JAM3	uc001qhb.1-uc009zcz.1	Interaction with driver	kirc	19
JAM3	uc001qhb.1-uc009zcz.1	Interaction with driver	hnsc	39
JAM3	uc001qhb.1-uc009zcz.1	Interaction with driver	kirp	13
SNRNP200	uc002svu.2-uc002svt.2	Interaction with driver	kich	9
SNRNP200	uc002svu.2-uc002svt.2	Interaction with driver	lusc	5
SNRNP200	uc002svu.2-uc002svt.2	Interaction with driver	luad	11
SNRNP200	uc002svu.2-uc002svt.2	Interaction with driver	coad	15
RBMS2	uc001sln.2-uc009zou.2	Interaction with driver	kich	2
RBMS2	uc001sln.2-uc009zou.2	Interaction with driver	prad	4
RPSA	uc003cjp.2-uc003cjt.2	Interaction with driver	lusc	14
CIT	uc001txh.1-uc001txi.1	Interaction with driver	kich	2
CIT	uc001txh.1-uc001txi.1	Interaction with driver	lihc	33
JAK3	uc002nhn.3-uc010ebh.2	Interaction between drivers	kich	2
JAK3	uc002nhn.3-uc010ebh.2	Interaction between drivers	prad	7
JAK3	uc002nhn.3-uc010ebh.2	Interaction between drivers	luad	4
JAK3	uc002nhn.3-uc010ebh.2	Interaction between drivers	hnsc	19
JAK3	uc002nhn.3-uc010ebh.2	Interaction between drivers	coad	12
JAK3	uc002nhn.3-uc010ebh.2	Interaction between drivers	thca	8
JAK3	uc002nhn.3-uc010ebh.2	Interaction between drivers	brca	10
TGFB2	uc001hlm.2-uc001hlo.2	Interaction with driver	kirc	8
TGFB2	uc001hlm.2-uc001hlo.2	Interaction with driver	hnsc	13
TGFB2	uc001hlm.2-uc001hlo.2	Interaction with driver	kirp	12
TGFB2	uc001hlm.2-uc001hlo.2	Interaction with driver	brca	6
FOSL1	uc001ogg.1-uc010ros.1	Interaction with driver	prad	11
FOSL1	uc001ogg.1-uc010ros.1	Interaction with driver	hnsc	9
FOSL1	uc001ogg.1-uc010ros.1	Interaction with driver	kirp	15
HSP90AB1	uc003oxa.1-uc003oxc.1	Interaction between drivers	kich	8
HSP90AB1	uc003oxa.1-uc003oxc.1	Interaction between drivers	luad	14
HSP90AB1	uc003oxa.1-uc003oxc.1	Interaction between drivers	hnsc	27
HSP90AB1	uc003oxa.1-uc003oxc.1	Interaction between drivers	kirp	32
HSP90AB1	uc003oxa.1-uc003oxc.1	Interaction between drivers	brca	32
HBEGF	uc003lfi.2-uc010jfj.2	Interaction with driver	lusc	4
HBEGF	uc003lfi.2-uc010jfj.2	Interaction with driver	prad	16
HBEGF	uc003lfi.2-uc010jfj.2	Interaction with driver	hnsc	24
HBEGF	uc003lfi.2-uc010jfj.2	Interaction with driver	coad	3
TP53	uc002gij.2-uc010cne.1	Interaction between drivers	kich	16
TP53	uc002gij.2-uc010cne.1	Interaction between drivers	lusc	17
TP53	uc002gij.2-uc010cne.1	Interaction between drivers	prad	17
TP53	uc002gij.2-uc010cne.1	Interaction between drivers	hnsc	27
TP53	uc002gij.2-uc010cne.1	Interaction between drivers	brca	40
DBNL	uc003tjp.3-uc011kbs.1	Interaction with driver	luad	6
DBNL	uc003tjp.3-uc011kbs.1	Interaction with driver	kirc	16
DBNL	uc003tjp.3-uc011kbs.1	Interaction with driver	hnsc	14
DBNL	uc003tjp.3-uc011kbs.1	Interaction with driver	kirp	5
FBXO11	uc010fbl.2-uc010fbk.2	Interaction between drivers	hnsc	11
IL2RG	uc004dyw.1-uc004dyv.1	Interaction with driver	kich	4
IL2RG	uc004dyw.1-uc004dyv.1	Interaction with driver	kirc	5
IL2RG	uc004dyw.1-uc004dyv.1	Interaction with driver	hnsc	12
IL2RG	uc004dyw.1-uc004dyv.1	Interaction with driver	kirp	9
IL2RG	uc004dyw.1-uc004dyv.1	Interaction with driver	thca	8
IL2RG	uc004dyw.1-uc004dyv.1	Interaction with driver	brca	9
LIMK1	uc003uaa.1-uc010lbl.1	Interaction with driver	prad	6
CNOT1	uc002env.2-uc002ent.2	Driver	kich	6
CNOT1	uc002env.2-uc002ent.2	Driver	coad	21
FASLG	uc001gis.2-uc001git.2	Interaction with driver	kich	2
FASLG	uc001gis.2-uc001git.2	Interaction with driver	luad	9
FASLG	uc001gis.2-uc001git.2	Interaction with driver	hnsc	4
FASLG	uc001gis.2-uc001git.2	Interaction with driver	coad	7
FASLG	uc001gis.2-uc001git.2	Interaction with driver	thca	8
FASLG	uc001gis.2-uc001git.2	Interaction with driver	brca	14
SYNE1	uc003qop.3-uc003qoq.3	Driver	kich	3
SFPQ	uc001bys.2-uc001byr.2	Interaction between drivers	hnsc	7
SFPQ	uc001bys.2-uc001byr.2	Interaction between drivers	kirp	13
SFPQ	uc001bys.2-uc001byr.2	Interaction between drivers	thca	13
CREB3L3	uc002lzm.2-uc010xic.1	Interaction with driver	lihc	4
COL18A1	uc002zhg.2-uc002zhk.2	Interaction between drivers	hnsc	3
COL18A1	uc002zhg.2-uc002zhk.2	Interaction between drivers	kirp	52
SREBF1	uc002grs.1-uc002grp.1	Interaction with driver	kich	2
SREBF1	uc002grs.1-uc002grp.1	Interaction with driver	lusc	3
SREBF1	uc002grs.1-uc002grp.1	Interaction with driver	prad	13
SREBF1	uc002grs.1-uc002grp.1	Interaction with driver	luad	11
SREBF1	uc002grs.1-uc002grp.1	Interaction with driver	hnsc	28
SREBF1	uc002grs.1-uc002grp.1	Interaction with driver	kirp	42
SREBF1	uc002grs.1-uc002grp.1	Interaction with driver	coad	3
SREBF1	uc002grs.1-uc002grp.1	Interaction with driver	brca	5
MYLK	uc011bjv.1-uc003egl.2	Interaction with driver	lusc	45
MYLK	uc011bjv.1-uc003egl.2	Interaction with driver	kirp	5
MAP3K10	uc002ona.2-uc002onb.2	Interaction with driver	prad	4
MAP3K10	uc002ona.2-uc002onb.2	Interaction with driver	hnsc	8
MAP3K10	uc002ona.2-uc002onb.2	Interaction with driver	thca	4
MAP3K10	uc002ona.2-uc002onb.2	Interaction with driver	brca	6
GTF2H1	uc001moh.2-uc001moj.2	Driver	lihc	8
GTF2H1	uc001moh.2-uc001moj.2	Driver	hnsc	13
GTF2H1	uc001moh.2-uc001moj.2	Driver	kirp	12
UBC	uc001ugu.1-uc001ugr.2	Interaction with driver	coad	6
IKZF5	uc001lha.2-uc001lgz.2	Interaction with driver	kich	5
RGS14	uc003mgh.2-uc003mgj.2	Interaction with driver	thca	4
PPIE	uc001cds.1-uc001cdt.1	Interaction with driver	kich	3
PPIE	uc001cds.1-uc001cdt.1	Interaction with driver	kirp	5
IPO4	uc001wmv.1-uc001wmt.1	Interaction with driver	kich	3
IPO4	uc001wmv.1-uc001wmt.1	Interaction with driver	prad	6
IPO4	uc001wmv.1-uc001wmt.1	Interaction with driver	kirc	27
IPO4	uc001wmv.1-uc001wmt.1	Interaction with driver	kirp	28
FGFR1	uc011lbv.1-uc011lbq.1	Interaction between drivers	kirc	28
NRG1	uc003xis.2-uc003xix.2	Interaction with driver	kirp	4
PRKAR1A	uc002jhi.2-uc002jhk.2	Driver	kirp	2
SORBS2	uc003iyp.2-uc003iyc.2	Interaction with driver	kirc	9
PMS1	uc002urh.3-uc002urm.2	Interaction between drivers	kirc	7
MDM2	uc001sui.2-uc001suk.2	Driver	lusc	7
MDM2	uc001sui.2-uc001suk.2	Driver	hnsc	5
SKP2	uc003jkc.1-uc011cou.1	Interaction with driver	kirp	3
SKP2	uc003jkc.1-uc011cou.1	Interaction with driver	brca	5
FLT1	uc001usb.3-uc010aap.2	Interaction between drivers	kich	5
EVL	uc001ygu.2-uc010avu.2	Interaction with driver	lihc	4
EVL	uc001ygu.2-uc010avu.2	Interaction with driver	hnsc	3
EVL	uc001ygu.2-uc010avu.2	Interaction with driver	thca	4
HNRPDL	uc003hmr.2-uc003hmq.2	Interaction between drivers	lusc	3
CSK	uc010bkb.1-uc010bkc.1	Interaction with driver	lihc	6
CSK	uc010bkb.1-uc010bkc.1	Interaction with driver	hnsc	6
CSK	uc010bkb.1-uc010bkc.1	Interaction with driver	thca	5
OPHN1	uc004dww.3-uc004dwx.2	Interaction with driver	prad	5
CDH11	uc002eoi.2-uc010cdn.2	Interaction between drivers	kirp	8
CDH11	uc002eoi.2-uc010cdn.2	Interaction between drivers	coad	6
CRP	uc001ftw.2-uc001fty.1	Interaction with driver	lihc	4
CSNK1A1	uc003lqy.1-uc003lqu.2	Interaction with driver	kich	3
CSNK1A1	uc003lqy.1-uc003lqu.2	Interaction with driver	hnsc	18
CSNK1A1	uc003lqy.1-uc003lqu.2	Interaction with driver	kirp	41
ERBB3	uc001sjh.2-uc001sjl.2	Interaction between drivers	lusc	4
ERBB3	uc001sjh.2-uc001sjl.2	Interaction between drivers	kirp	14
ERBB3	uc001sjh.2-uc001sjl.2	Interaction between drivers	coad	13
FGFR1	uc011lbq.1-uc011lbr.1	Interaction between drivers	lusc	3
DIAPH3	uc001vhs.2-uc001vht.2	Interaction with driver	kirp	2
SHOC2	uc001kzl.3-uc010qrg.1	Interaction with driver	kich	5
SHOC2	uc001kzl.3-uc010qrg.1	Interaction with driver	lusc	9
SHOC2	uc001kzl.3-uc010qrg.1	Interaction with driver	kirc	40
SHOC2	uc001kzl.3-uc010qrg.1	Interaction with driver	kirp	12
SREBF2	uc003bbk.2-uc003bbi.2	Interaction with driver	lusc	7
EIF4H	uc003uae.1-uc003uaf.1	Interaction with driver	kich	5
