GeneId	Symbol	Normal_transcript	Tumor_transcript	Normal_protein	Tumor_protein	Annotation	DriverAnnotation	NotNoise	IsModel	IsFunctional	Driver	SpecificDriver	Druggable	CDS_Normal	CDS_Tumor	CDS_change	UTR_change	Patients_affected
162417	NAGS	uc002ies.2	uc002iet.2	Q8N159	None	Nothing	Nothing	1	1	1	0	0	0	1	1	1	1	8326T,8404T,8346T,8329T,8339T,8409T,8405T,8410T,8331T,8327T,8418T,8333T,8340T,8337T,8324T,8334T,8330T,8411T,8408T,8328T,8417T,8338T,8345T,8406T,8342T,8343T,8421T,8476T,8335T,8424T,8639T,8431T,8407T,8336T,8434T,8332T,8416T,8414T,8403T,8325T,8442T,8433T,8344T,8436T,8443T,8419T,8413T,8425T,8429T,8439T,8438T
2159	F10	uc001vsx.2	uc001vsy.2	P00742	None	HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_XENOBIOTIC_METABOLISM	d1	1	1	1	0	0	0	1	1	1	1	8419T,8325T,8424T,8429T,8422T,8425T,8421T,8408T,8442T,8440T,8340T,8405T,8426T,8338T,8438T,8331T,8330T,8323T,8403T,8439T,8324T,8415T,8406T,8431T,8334T,8639T,8411T,8328T,8342T,8407T,8327T,8432T,8434T,8416T,8414T,8443T,8335T,8441T
2159	F10	uc001vsx.2	uc001vsz.2	P00742	None	HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_XENOBIOTIC_METABOLISM	d1	0	0	1	0	0	0	1	1	1	1	8436T
7132	TNFRSF1A	uc001qnu.2	uc001qnt.2	P19438	P19438-2	HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM	d1	1	1	1	0	0	0	1	1	1	1	8324T,8406T,8409T,8331T,8330T,8343T,8336T,8340T,8342T,8415T,8337T,8327T,8476T,8418T,8416T,8329T,8440T,8328T,8346T,8411T,8345T,8443T,8335T,8426T,8326T,8433T,8417T,8414T,8425T,8431T,8338T,8421T
5998	RGS3	uc004bia.2	uc011lxh.1	P49796-7	None	CELL_SURFACE_RECEPTOR_LINKED_SIGNAL_TRANSDUCTION_GO_0007166,G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,INACTIVATION_OF_MAPK_ACTIVITY,INTRACELLULAR_SIGNALING_CASCADE,MAPKKK_CASCADE_GO_0000165,NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY,NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,PROTEIN_KINASE_CASCADE,REGULATION_OF_CATALYTIC_ACTIVITY,REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,REGULATION_OF_KINASE_ACTIVITY,REGULATION_OF_MAP_KINASE_ACTIVITY,REGULATION_OF_MOLECULAR_FUNCTION,REGULATION_OF_PROTEIN_KINASE_ACTIVITY,REGULATION_OF_SIGNAL_TRANSDUCTION,REGULATION_OF_TRANSFERASE_ACTIVITY,SIGNAL_TRANSDUCTION	driver	1	1	1	1	0	0	1	1	1	1	8418T,8421T,8338T,8438T,8433T,8413T,8440T,8431T,8341T,8414T,8405T,8415T,8408T,8423T,8434T,8429T,8324T,8441T,8422T,8346T,8330T,8340T,8442T,8426T,8328T,8329T,8424T,8443T,8337T,8336T
5998	RGS3	uc004bia.2	uc004bhw.2	P49796-7	None	CELL_SURFACE_RECEPTOR_LINKED_SIGNAL_TRANSDUCTION_GO_0007166,G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,INACTIVATION_OF_MAPK_ACTIVITY,INTRACELLULAR_SIGNALING_CASCADE,MAPKKK_CASCADE_GO_0000165,NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY,NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,PROTEIN_KINASE_CASCADE,REGULATION_OF_CATALYTIC_ACTIVITY,REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,REGULATION_OF_KINASE_ACTIVITY,REGULATION_OF_MAP_KINASE_ACTIVITY,REGULATION_OF_MOLECULAR_FUNCTION,REGULATION_OF_PROTEIN_KINASE_ACTIVITY,REGULATION_OF_SIGNAL_TRANSDUCTION,REGULATION_OF_TRANSFERASE_ACTIVITY,SIGNAL_TRANSDUCTION	driver	0	0	1	1	0	0	1	1	1	1	8409T
10699	CORIN	uc011bzh.1	uc011bzf.1	None	None	ANATOMICAL_STRUCTURE_DEVELOPMENT,ANATOMICAL_STRUCTURE_MORPHOGENESIS,CELLULAR_MACROMOLECULE_METABOLIC_PROCESS,CELLULAR_PROTEIN_METABOLIC_PROCESS,LIPID_METABOLIC_PROCESS,PROTEIN_METABOLIC_PROCESS,PROTEOLYSIS,REGULATION_OF_BIOLOGICAL_QUALITY,REGULATION_OF_BLOOD_PRESSURE,SYSTEM_PROCESS	Nothing	1	1	1	0	0	0	1	1	1	1	8408T,8327T,8323T,8331T,8406T,8414T,8341T,8416T,8330T,8346T,8429T,8417T,8345T,8407T,8340T,8334T,8328T,8411T,8338T,8442T,8343T,8443T,8440T,8324T,8423T,8415T,8419T,8337T,8425T
10699	CORIN	uc011bzh.1	uc011bzg.1	None	None	ANATOMICAL_STRUCTURE_DEVELOPMENT,ANATOMICAL_STRUCTURE_MORPHOGENESIS,CELLULAR_MACROMOLECULE_METABOLIC_PROCESS,CELLULAR_PROTEIN_METABOLIC_PROCESS,LIPID_METABOLIC_PROCESS,PROTEIN_METABOLIC_PROCESS,PROTEOLYSIS,REGULATION_OF_BIOLOGICAL_QUALITY,REGULATION_OF_BLOOD_PRESSURE,SYSTEM_PROCESS	Nothing	1	0	1	0	0	0	1	1	1	1	8438T,8432T
54834	GDAP2	uc001ehg.2	uc001ehf.2	Q9NXN4-2	Q9NXN4	Nothing	Nothing	1	1	1	0	0	0	1	1	1	1	8421T,8422T,8440T,8411T,8409T,8417T,8429T,8433T,8332T,8338T,8431T,8404T,8443T,8432T,8337T,8418T,8438T,8407T,8326T,8328T,8414T,8335T,8405T,8340T,8442T,8416T,8331T,8324T,8346T,8403T
133584	EGFLAM	uc003jlg.1	uc003jlb.1	Q63HQ2-5	Q63HQ2-2	Nothing	Nothing	1	1	1	0	0	0	1	1	1	1	8406T,8329T,8332T,8424T,8418T,8438T,8414T,8345T,8341T,8477T,8334T,8426T,8323T,8417T,8422T,8416T,8336T,8324T,8425T,8430T,8340T,8342T,8434T,8442T,8429T,8423T,8346T
