Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
4601	MXI1	uc001kza.2	uc001kyy.2	Nothing	PF00010|Helix-loop-helix_DNA-binding_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
4601	MXI1	uc001kza.2	uc009xxu.2	Nothing	PF00010|Helix-loop-helix_DNA-binding_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
4601	MXI1	uc001kza.2	uc001kyz.2	Nothing	PF00010|Helix-loop-helix_DNA-binding_domain	1/1	1/1	0.196078431373	1.0	0.196078431373	0.0	NA	0.0
4601	MXI1	uc001kza.2	uc010qrc.1	Nothing	PF00010|Helix-loop-helix_DNA-binding_domain	1/1	1/1	0.196078431373	1.0	0.196078431373	0.0	NA	0.0
57645	POGK	uc001gdt.1	uc010plf.1	Nothing	PF03184|DDE_superfamily_endonuclease	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
57645	POGK	uc001gdt.1	uc010plf.1	Lost_in_tumor	PF01352|KRAB_box	1/1	1/0	1.0	0.316666666667	0.316666666667	NA	NA	NA
57645	POGK	uc001gdt.1	uc010plf.1	Nothing	PF09607|Brinker_DNA-binding_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
57645	POGK	uc001gdt.1	uc010plf.1	Nothing	PF03221|Tc5_transposase_DNA-binding_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
85444	LRRCC1	uc003ycx.2	uc003ycw.2	Gained_in_tumor	PF12799|Leucine_Rich_repeats_(2_copies)	1/0	1/1	NA	NA	NA	0.45	0.173076923077	0.142857142857
4296	MAP3K11	uc001oew.2	uc001oev.2	Lost_in_tumor	PF07714|Protein_tyrosine_kinase	1/1	1/0	1.0	0.443493150685	0.443493150685	NA	NA	NA
4296	MAP3K11	uc001oew.2	uc001oev.2	Lost_in_tumor	PF14604|Variant_SH3_domain	1/1	1/0	1.0	0.0890410958904	0.0890410958904	NA	NA	NA
55314	TMEM144	uc003ipx.2	uc010iqi.2	Lost_in_tumor	PF07857|CEO_family_(DUF1632)	1/1	1/0	1.0	1.0	1.0	NA	NA	NA
23380	SRGAP2	uc001hdx.2	uc010pru.1	Nothing	PF00018|SH3_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
23380	SRGAP2	uc001hdx.2	uc010pru.1	Nothing	PF00620|RhoGAP_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
23380	SRGAP2	uc001hdx.2	uc001hdy.2	Nothing	PF00018|SH3_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
23380	SRGAP2	uc001hdx.2	uc001hdy.2	Nothing	PF00620|RhoGAP_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
23380	SRGAP2	uc001hdx.2	uc009xbt.2	Lost_in_tumor	PF00018|SH3_domain	1/1	1/0	1.0	0.1171875	0.1171875	NA	NA	NA
23380	SRGAP2	uc001hdx.2	uc009xbt.2	Lost_in_tumor	PF00620|RhoGAP_domain	1/1	1/0	1.0	0.388020833333	0.388020833333	NA	NA	NA
23385	NCSTN	uc001fvx.2	uc010pjg.1	Nothing	PF05450|Nicastrin	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
8131	NPRL3	uc002cfr.2	uc002cfp.1	Lost_in_tumor	PF03666|Nitrogen_Permease_regulator_of_amino_acid_transport_activity_3	1/2	1/0	1.0	1.0	1.0	NA	NA	NA
8131	NPRL3	uc002cfr.2	uc002cfp.1	Lost_in_tumor	PF03666|Nitrogen_Permease_regulator_of_amino_acid_transport_activity_3	2/2	2/0	1.0	1.0	1.0	NA	NA	NA
8131	NPRL3	uc010uua.1	uc010uub.1	Gained_in_tumor	PF03666|Nitrogen_Permease_regulator_of_amino_acid_transport_activity_3	1/0	1/2	NA	NA	NA	1.0	1.0	1.0
