Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	1/12	1/12	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	2/12	2/12	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	3/12	3/12	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	4/12	4/12	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	5/12	5/12	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	6/12	6/12	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	7/12	7/12	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	8/12	8/12	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	9/12	9/12	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	10/12	10/12	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	11/12	11/12	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jkx.1	Nothing	PF13465|Zinc-finger_double_domain	12/12	12/12	0.0	NA	0.0	0.0	NA	0.0
6815	STYX	uc001xaa.2	uc010tqy.1	Nothing	PF00782|Dual_specificity_phosphatase,_catalytic_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
57662	KIAA1543	uc002mgv.3	uc002mgw.2	Lost_in_tumor	PF11971|CAMSAP_CH_domain	1/1	1/0	1.0	0.0887640449438	0.0887640449438	NA	NA	NA
57662	KIAA1543	uc002mgv.3	uc002mgw.2	Nothing	PF08683|Microtubule-binding_calmodulin-regulated_spectrin-associated	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
57662	KIAA1543	uc002mgu.3	uc002mgv.3	Nothing	PF11971|CAMSAP_CH_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
57662	KIAA1543	uc002mgu.3	uc002mgv.3	Nothing	PF08683|Microtubule-binding_calmodulin-regulated_spectrin-associated	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
152831	KLB	uc011byj.1	uc003gua.2	Nothing	PF00232|Glycosyl_hydrolase_family_1	1/3	1/3	0.0	NA	0.0	0.0	NA	0.0
152831	KLB	uc011byj.1	uc003gua.2	Nothing	PF00232|Glycosyl_hydrolase_family_1	2/3	2/3	0.0	NA	0.0	0.0	NA	0.0
152831	KLB	uc011byj.1	uc003gua.2	Nothing	PF00232|Glycosyl_hydrolase_family_1	3/3	3/3	0.0	NA	0.0	0.0201342281879	1.0	0.0201342281879
152831	KLB	uc003gua.2	uc011byj.1	Nothing	PF00232|Glycosyl_hydrolase_family_1	1/3	1/3	0.0	NA	0.0	0.0	NA	0.0
152831	KLB	uc003gua.2	uc011byj.1	Nothing	PF00232|Glycosyl_hydrolase_family_1	2/3	2/3	0.0	NA	0.0	0.0	NA	0.0
152831	KLB	uc003gua.2	uc011byj.1	Nothing	PF00232|Glycosyl_hydrolase_family_1	3/3	3/3	0.0201342281879	1.0	0.0201342281879	0.0	NA	0.0
90102	PHLDB2	uc003dyc.2	uc003dyg.2	Nothing	PF00169|PH_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
90102	PHLDB2	uc003dyc.2	uc003dyd.2	Nothing	PF00169|PH_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
90102	PHLDB2	uc003dyc.2	uc003dyh.2	Nothing	PF00169|PH_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6811	STX5	uc001nvh.2	uc010rmi.1	Nothing	PF00804|Syntaxin	1/1	1/1	0.0582524271845	0.0625	0.0310880829016	0.0	NA	0.0
6811	STX5	uc001nvh.2	uc010rmi.1	Nothing	PF05739|SNARE_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6811	STX5	uc001nvh.2	uc001nvi.2	Nothing	PF00804|Syntaxin	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6811	STX5	uc001nvh.2	uc001nvi.2	Nothing	PF05739|SNARE_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
10395	DLC1	uc003wwk.1	uc003wwn.2	Lost_in_tumor	PF07647|SAM_domain_(Sterile_alpha_motif)	1/1	1/0	1.0	0.0540788267644	0.0540788267644	NA	NA	NA
10395	DLC1	uc003wwk.1	uc003wwn.2	Lost_in_tumor	PF01852|START_domain	1/1	1/0	1.0	0.179651695692	0.179651695692	NA	NA	NA
10395	DLC1	uc003wwk.1	uc003wwn.2	Lost_in_tumor	PF00620|RhoGAP_domain	1/1	1/0	1.0	0.131989000917	0.131989000917	NA	NA	NA
10395	DLC1	uc003wwk.1	uc011kxy.1	Lost_in_tumor	PF07647|SAM_domain_(Sterile_alpha_motif)	1/1	1/0	1.0	0.0540788267644	0.0540788267644	NA	NA	NA
10395	DLC1	uc003wwk.1	uc011kxy.1	Lost_in_tumor	PF01852|START_domain	1/1	1/0	1.0	0.179651695692	0.179651695692	NA	NA	NA
10395	DLC1	uc003wwk.1	uc011kxy.1	Lost_in_tumor	PF00620|RhoGAP_domain	1/1	1/0	1.0	0.131989000917	0.131989000917	NA	NA	NA
10395	DLC1	uc003wwk.1	uc011kxx.1	Lost_in_tumor	PF07647|SAM_domain_(Sterile_alpha_motif)	1/1	1/0	0.983050847458	0.783783783784	0.773333333333	NA	NA	NA
10395	DLC1	uc003wwk.1	uc011kxx.1	Nothing	PF01852|START_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
10395	DLC1	uc003wwk.1	uc011kxx.1	Nothing	PF00620|RhoGAP_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
10395	DLC1	uc011kxx.1	uc003wwk.1	Gained_in_tumor	PF07647|SAM_domain_(Sterile_alpha_motif)	1/0	1/1	NA	NA	NA	0.983050847458	0.783783783784	0.773333333333
10395	DLC1	uc011kxx.1	uc003wwk.1	Nothing	PF01852|START_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
10395	DLC1	uc011kxx.1	uc003wwk.1	Nothing	PF00620|RhoGAP_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
24140	FTSJ1	uc004djo.1	uc011mlw.1	Nothing	PF01728|FtsJ-like_methyltransferase	1/1	1/1	0.662921348315	0.855072463768	0.59595959596	0.0	NA	0.0
