Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
10868	USP20	uc004bys.2	uc004byr.2	False	False	False	False	False
10868	USP20	uc004bys.2	uc004byu.1	True	True	True	True	True
285074	LOC285074	uc010fgw.2	uc002ssg.1	False	False	True	True	False
57619	SHROOM3	uc003hkg.2	uc011cbz.1	False	True	True	True	True
57619	SHROOM3	uc003hkg.2	uc011cbx.1	True	True	True	True	True
11119	BTN3A1	uc003nhv.2	uc010jqj.2	True	True	True	True	True
11119	BTN3A1	uc003nhv.2	uc011dkk.1	True	True	False	False	True
11119	BTN3A1	uc003nhv.2	uc011dkj.1	True	True	True	True	True
11118	BTN3A2	uc003nhp.2	uc010jqi.1	False	False	False	False	False
11118	BTN3A2	uc003nhp.2	uc011dkd.1	True	False	False	False	False
11118	BTN3A2	uc003nhp.2	uc010jqh.1	False	False	False	False	False
11118	BTN3A2	uc003nhp.2	uc003nho.1	False	False	False	False	False
694	BTG1	uc001tby.3	uc001tbx.1	True	True	True	False	False
695	BTK	uc004ehg.2	uc010nnj.2	True	True	True	True	True
695	BTK	uc004ehg.2	uc010nnm.2	True	True	True	True	True
695	BTK	uc004ehg.2	uc004ehf.2	True	True	True	True	True
695	BTK	uc004ehg.2	uc004ehi.2	True	False	False	False	False
11113	CIT	uc001txi.1	uc001txh.1	True	True	True	True	True
11113	CIT	uc001txi.1	uc001txj.1	False	False	True	True	False
8711	TNK1	uc002ggj.3	uc002ggk.3	True	True	True	True	True
8711	TNK1	uc002ggj.3	uc002ggi.3	True	False	False	False	False
283464	GXYLT1	uc001rmt.3	uc001rms.3	False	False	False	False	False
8714	ABCC3	uc002isl.2	uc002ism.2	True	True	True	True	True
8714	ABCC3	uc002isl.2	uc002isk.3	True	True	True	True	False
8714	ABCC3	uc002isl.2	uc002isn.2	True	True	True	True	True
79706	PRKRIP1	uc003uzh.2	uc003uzf.2	False	False	True	True	False
79706	PRKRIP1	uc003uzh.2	uc003uzi.1	False	True	True	True	True
79706	PRKRIP1	uc003uzh.2	uc011kkq.1	False	False	True	True	False
79705	LRRK1	uc002bws.2	uc010usc.1	False	False	False	False	False
79705	LRRK1	uc002bws.2	uc002bwr.2	True	True	True	True	True
79703	C11orf80	uc001oji.2	uc010rpl.1	False	False	False	False	False
79703	C11orf80	uc001oji.2	uc010rpk.1	False	False	True	True	False
