Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
960	CD44	uc001mvx.2	uc001mvv.2	False	False	True	True	False
960	CD44	uc001mvx.2	uc001mvw.2	False	False	True	True	False
960	CD44	uc001mvx.2	uc001mvu.2	False	False	True	True	False
50649	ARHGEF4	uc010fmx.1	uc010fmw.1	True	True	True	True	True
50649	ARHGEF4	uc010fmx.1	uc002tsb.1	True	False	True	True	False
50649	ARHGEF4	uc002tsc.1	uc002trz.1	True	True	True	True	True
50649	ARHGEF4	uc010fmx.1	uc002tsc.1	True	True	True	True	True
28991	COMMD5	uc003zeo.3	uc003zem.2	False	False	False	False	False
28991	COMMD5	uc003zeo.3	uc003zel.1	False	True	True	False	True
270	AMPD1	uc001eff.1	uc001efe.1	False	False	False	False	False
378805	FLJ43663	uc003vqp.2	uc011kpk.1	False	False	False	False	False
378805	FLJ43663	uc003vqp.2	uc003vqq.2	False	False	False	False	False
57291	KIAA0114	uc003gzo.2	uc003gzp.2	False	False	False	False	False
6795	AURKC	uc002qoc.2	uc002qoe.2	False	False	True	False	False
6795	AURKC	uc002qoc.2	uc002qod.2	False	False	True	False	False
6795	AURKC	uc002qoc.2	uc010etv.2	True	False	True	True	False
6795	AURKC	uc002qoe.2	uc002qoc.2	False	False	True	False	False
57472	CNOT6	uc003mlx.2	uc010jle.2	False	False	False	False	False
57472	CNOT6	uc003mlx.2	uc010jld.2	False	False	False	False	False
57472	CNOT6	uc010jle.2	uc003mlx.2	False	False	False	False	False
402055	SRRD	uc003acp.3	uc010gve.2	False	False	True	False	True
55293	UEVLD	uc001mot.2	uc010rde.1	True	True	False	False	True
55293	UEVLD	uc001mot.2	uc010rdg.1	True	True	False	False	True
55293	UEVLD	uc001mot.2	uc001mou.2	True	True	True	True	False
55293	UEVLD	uc001mov.2	uc001mou.2	False	False	False	False	False
22876	INPP5F	uc001leo.2	uc001len.3	False	True	True	True	False
22876	INPP5F	uc001lep.2	uc001len.3	False	True	True	True	True
22876	INPP5F	uc001leo.2	uc001lep.2	False	True	True	True	True
22873	DZIP1	uc001vmk.2	uc001vml.2	False	False	True	True	False
22873	DZIP1	uc001vmk.2	uc001vmj.2	False	True	True	True	True
22873	DZIP1	uc001vmk.2	uc001vmm.2	False	True	True	True	True
90317	ZNF616	uc002pym.2	uc002pyn.2	True	True	True	True	True
83548	COG3	uc001vak.2	uc010aci.2	False	False	True	True	False
83548	COG3	uc001vak.2	uc010tfv.1	False	False	True	True	False
165829	GPR156	uc011bjf.1	uc011bjg.1	False	False	False	False	False
22871	NLGN1	uc003fio.1	uc003fip.1	False	False	False	False	False
10714	POLD3	uc001ovf.1	uc009yua.1	False	False	False	False	False
348378	FAM159A	uc001cuf.2	uc001cuh.2	False	False	True	True	False
348378	FAM159A	uc001cuf.2	uc001cug.1	False	False	True	True	False
273	AMPH	uc003tgt.2	uc003tgv.2	True	True	True	True	True
273	AMPH	uc003tgv.2	uc003tgt.2	True	True	True	True	True
26123	TCTN3	uc001klb.3	uc001kla.3	False	False	True	True	True
9256	BZRAP1	uc010dcs.2	uc002ivv.2	True	True	True	True	True
9256	BZRAP1	uc010dcs.2	uc002ivx.3	False	False	False	False	False
9256	BZRAP1	uc010wnt.1	uc010dcs.2	False	False	True	True	False
