Cancer	Gene	Symbol	Transcript	TPM	ProteinLength
brca	80008	TMEM156	uc003gto.2	0.0	296
brca	80008	TMEM156	uc010ifj.2	0.428082051634	295
brca	4637	MYL6	uc001sjx.1	546.769317716	151
brca	4637	MYL6	uc001sjw.1	1326.65886373	151
brca	4637	MYL6	uc010sqe.1	2.39953316073	116
brca	4637	MYL6	uc001sjw.1	1326.65886373	151
brca	3786	KCNQ3	uc010mdt.2	0.0	860
brca	3786	KCNQ3	uc003ytj.2	0.263483334773	872
brca	3786	KCNQ3	uc003ytj.2	0.263483334773	872
brca	3786	KCNQ3	uc010mdt.2	0.0	860
brca	10637	LEFTY1	uc010pvj.1	0.0	359
brca	10637	LEFTY1	uc001hpo.2	0.194367437455	366
brca	10637	LEFTY1	uc001hpo.2	0.194367437455	366
brca	10637	LEFTY1	uc010pvj.1	0.0	359
brca	286223	C9orf47	uc004aqd.2	0.0	202
brca	286223	C9orf47	uc004aqc.1	0.21545078617	183
brca	286223	C9orf47	uc004aqc.1	0.21545078617	183
brca	286223	C9orf47	uc004aqd.2	0.0	202
brca	29986	SLC39A2	uc001vyr.2	0.0	309
brca	29986	SLC39A2	uc001vys.2	0.645174749492	210
brca	345193	LRIT3	uc003hzx.3	0.186272744477	634
brca	345193	LRIT3	uc003hzw.3	0.0	496
brca	345193	LRIT3	uc003hzw.3	0.0	496
brca	345193	LRIT3	uc003hzx.3	0.186272744477	634
brca	144193	AMDHD1	uc009zth.1	0.487371105876	317
brca	144193	AMDHD1	uc001tel.1	0.0	426
brca	144193	AMDHD1	uc001tel.1	0.0	426
brca	144193	AMDHD1	uc009zth.1	0.487371105876	317
brca	7976	FZD3	uc010lvb.2	3.77393943701	666
brca	7976	FZD3	uc003xgx.2	0.0	666
brca	7976	FZD3	uc003xgx.2	0.0	666
brca	7976	FZD3	uc010lvb.2	3.77393943701	666
brca	961	CD47	uc003dwt.1	3.08941825317	323
brca	961	CD47	uc003dwv.1	46.1376011064	305
brca	961	CD47	uc003dwu.1	6.76055519842	312
brca	961	CD47	uc003dwv.1	46.1376011064	305
brca	51676	ASB2	uc001ycb.1	0.116851783502	281
brca	51676	ASB2	uc001ycd.2	0.951989953132	635
brca	51676	ASB2	uc001ycc.1	0.0961057851225	587
brca	51676	ASB2	uc001ycd.2	0.951989953132	635
brca	94239	H2AFV	uc003tma.2	34.6691381467	128
brca	94239	H2AFV	uc003tlz.2	57.8015001553	114
brca	3671	ISLR	uc002axh.1	71.7852741337	428
brca	3671	ISLR	uc002axg.1	79.81690574	428
brca	23265	EXOC7	uc002jqp.1	1.57727868687	187
brca	23265	EXOC7	uc002jqr.2	42.9714375901	653
brca	23265	EXOC7	uc010wsx.1	10.9337363181	676
brca	23265	EXOC7	uc002jqr.2	42.9714375901	653
brca	54716	SLC6A20	uc003cow.2	0.0	242
brca	54716	SLC6A20	uc011baj.1	0.120879763551	555
brca	54716	SLC6A20	uc011bai.1	0.0	592
brca	54716	SLC6A20	uc011baj.1	0.120879763551	555
brca	3371	TNC	uc004bjj.3	17.8431082669	2201
brca	3371	TNC	uc010mvf.2	58.3730820228	1928
brca	2054	STX2	uc001uio.2	1.85206499321	288
brca	2054	STX2	uc001uip.2	7.72434069184	287
brca	55763	EXOC1	uc003hbe.1	0.0	894
brca	55763	EXOC1	uc003hbg.1	18.9494555996	879
brca	8034	SLC25A16	uc001joj.2	0.0	234
brca	8034	SLC25A16	uc001joi.2	10.6154795997	332
brca	8034	SLC25A16	uc010qix.1	5.41650846232	198
brca	8034	SLC25A16	uc001joi.2	10.6154795997	332
brca	8034	SLC25A16	uc010qiy.1	0.0	234
brca	8034	SLC25A16	uc001joi.2	10.6154795997	332
brca	79861	TUBAL3	uc001ihz.2	0.3725374947	406
brca	79861	TUBAL3	uc001ihy.2	0.0	446
brca	79861	TUBAL3	uc001ihy.2	0.0	446
brca	79861	TUBAL3	uc001ihz.2	0.3725374947	406
brca	6229	RPS24	uc001jzq.2	240.551260248	133
brca	6229	RPS24	uc001jzp.2	2639.57143498	130
brca	7423	VEGFB	uc001nyw.2	82.7452346595	207
brca	7423	VEGFB	uc001nyx.2	81.6968975763	188
brca	116985	ARAP1	uc001osr.2	1.01269487695	1210
brca	116985	ARAP1	uc010rre.1	26.7631969874	1194
brca	116985	ARAP1	uc001oss.2	2.21797963744	1205
brca	116985	ARAP1	uc010rre.1	26.7631969874	1194
brca	116985	ARAP1	uc001osu.2	2.92458874743	1450
brca	116985	ARAP1	uc010rre.1	26.7631969874	1194
brca	51117	COQ4	uc004bur.3	6.89562837156	265
brca	51117	COQ4	uc010mxy.2	42.8788688869	241
brca	348825	TPRXL	uc003byg.2	0.0	252
brca	348825	TPRXL	uc011avd.1	0.224594643884	252
brca	348825	TPRXL	uc003byh.1	0.0	252
brca	348825	TPRXL	uc011avd.1	0.224594643884	252
brca	3223	HOXC6	uc001ses.2	2.53716767844	153
brca	3223	HOXC6	uc001sev.2	10.764060724	235
brca	85021	REPS1	uc003qii.2	6.77706379981	796
brca	85021	REPS1	uc003qig.3	14.7789990783	769
brca	85021	REPS1	uc003qik.2	0.404951009223	402
brca	85021	REPS1	uc003qig.3	14.7789990783	769
brca	414918	FAM116B	uc011arv.1	7.55566883696	585
brca	414918	FAM116B	uc011aru.1	0.0	584
brca	414918	FAM116B	uc011aru.1	0.0	584
brca	414918	FAM116B	uc011arv.1	7.55566883696	585
brca	23299	BICD2	uc004asp.1	2.84455239795	855
brca	23299	BICD2	uc004aso.1	18.0336337995	824
brca	51761	ATP8A2	uc010tdj.1	0.0	0
brca	51761	ATP8A2	uc010tdi.1	0.185322045037	1123
brca	57053	CHRNA10	uc010qxu.1	0.337676397194	244
brca	57053	CHRNA10	uc001lyf.2	0.0	450
brca	57053	CHRNA10	uc010qxu.1	0.337676397194	244
brca	57053	CHRNA10	uc010qxt.1	0.0	244
brca	57053	CHRNA10	uc010qxt.1	0.0	244
brca	57053	CHRNA10	uc010qxu.1	0.337676397194	244
brca	8692	HYAL2	uc003czu.2	0.0	473
brca	8692	HYAL2	uc003czv.2	51.2073651806	473
brca	79752	ZFAND1	uc003yck.1	11.7807677242	161
brca	79752	ZFAND1	uc003ycj.1	29.0829471986	268
brca	55504	TNFRSF19	uc001uot.2	0.253557032965	417
brca	55504	TNFRSF19	uc001uow.2	9.60860725305	417
brca	2524	FUT2	uc010emc.2	0.0	343
brca	2524	FUT2	uc002pke.3	1.68027022489	343
brca	5660	PSAP	uc001jsl.2	141.297770461	248
brca	5660	PSAP	uc001jsm.2	951.693144176	524
brca	8664	EIF3D	uc011amr.1	106.804462337	375
brca	8664	EIF3D	uc003apr.2	212.429809953	548
brca	10736	SIX2	uc002rup.2	0.0	293
brca	10736	SIX2	uc002ruo.2	0.957639404964	291
brca	79690	GAL3ST4	uc010lgq.2	1.12248444137	424
brca	79690	GAL3ST4	uc003utu.2	8.3084922077	486
brca	3363	HTR7	uc001khb.2	0.0	432
brca	3363	HTR7	uc001kgz.2	0.43254137087	445
brca	202051	SPATA24	uc003lek.2	1.06108633133	291
brca	202051	SPATA24	uc003lem.2	2.55077346684	188
brca	5998	RGS3	uc004bhr.2	0.726202940399	602
brca	5998	RGS3	uc004bia.2	37.1096825296	311
brca	5998	RGS3	uc004bhw.2	0.368744825754	168
brca	5998	RGS3	uc004bia.2	37.1096825296	311
brca	5998	RGS3	uc011lxh.1	6.09258405753	508
brca	5998	RGS3	uc004bia.2	37.1096825296	311
brca	100132923	FAM66D	uc011kxp.1	0.0	0
brca	100132923	FAM66D	uc011kxo.1	0.488877456082	0
brca	3772	KCNJ15	uc002ywv.2	0.0	375
brca	3772	KCNJ15	uc002ywx.2	0.915740664502	375
brca	3772	KCNJ15	uc002yww.2	0.0	375
brca	3772	KCNJ15	uc002ywx.2	0.915740664502	375
brca	60528	ELAC2	uc002gnw.3	5.26792348104	482
brca	60528	ELAC2	uc002gnz.3	36.5378113583	826
brca	60528	ELAC2	uc010vvo.1	0.0	624
brca	60528	ELAC2	uc002gnz.3	36.5378113583	826
brca	9708	PCDHGA8	uc003lkd.1	0.0	932
brca	9708	PCDHGA8	uc003lkb.3	0.264591686748	820
brca	9708	PCDHGA8	uc003lkb.3	0.264591686748	820
brca	9708	PCDHGA8	uc003lkd.1	0.0	932
brca	22843	PPM1E	uc010ddd.2	0.138766115083	518
brca	22843	PPM1E	uc002iwx.2	0.0	755
brca	22843	PPM1E	uc002iwx.2	0.0	755
brca	22843	PPM1E	uc010ddd.2	0.138766115083	518
brca	2534	FYN	uc003pvh.2	7.56435815803	534
brca	2534	FYN	uc003pvj.2	28.8879994416	537
brca	2534	FYN	uc003pvi.2	4.56248792849	482
brca	2534	FYN	uc003pvj.2	28.8879994416	537
brca	2702	GJA5	uc001eps.1	1.46226802704	358
brca	2702	GJA5	uc001ept.1	13.4489131768	358
brca	2220	FCN2	uc004cfg.1	0.0	313
brca	2220	FCN2	uc004cfh.1	0.819523317533	275
brca	122953	JDP2	uc010tvb.1	0.0	163
brca	122953	JDP2	uc001xrq.2	13.5540265784	174
brca	122953	JDP2	uc010tvc.1	0.586766499018	163
brca	122953	JDP2	uc001xrq.2	13.5540265784	174
brca	2187	FANCB	uc004cwh.1	0.0	859
brca	2187	FANCB	uc004cwg.1	0.37340532388	859
brca	2187	FANCB	uc004cwg.1	0.37340532388	859
brca	2187	FANCB	uc004cwh.1	0.0	859
brca	151651	EFHB	uc003cbl.3	0.0	833
brca	151651	EFHB	uc003cbm.2	0.605922249196	703
brca	6642	SNX1	uc010uio.1	7.37468564952	557
brca	6642	SNX1	uc002amv.2	48.9979043974	522
brca	5094	PCBP2	uc001sdd.3	27.4329727515	331
brca	5094	PCBP2	uc001sdf.3	68.492651192	318
brca	55699	IARS2	uc001hmd.2	37.8230863142	348
brca	55699	IARS2	uc001hmc.2	71.5908210596	1012
brca	8111	GPR68	uc001xzh.2	0.0	375
brca	8111	GPR68	uc001xzg.2	2.19158946613	365
brca	2875	GPT	uc011lli.1	0.0	496
brca	2875	GPT	uc003zdh.3	5.03039365207	496
brca	30818	KCNIP3	uc002sun.1	0.701858238977	0
brca	30818	KCNIP3	uc002suq.2	3.27976626489	230
brca	30818	KCNIP3	uc002sup.2	0.0	256
brca	30818	KCNIP3	uc002suq.2	3.27976626489	230
brca	284131	FLJ35220	uc002jyk.2	0.970576782281	264
brca	284131	FLJ35220	uc002jym.1	7.4575717938	282
brca	22924	MAPRE3	uc002rhx.2	5.8702910448	266
brca	22924	MAPRE3	uc002rhw.2	17.5341803956	281
brca	738	C11orf2	uc001ocs.1	2.45671089824	658
brca	738	C11orf2	uc001ocr.1	80.9025622477	782
brca	55129	ANO10	uc010hil.2	0.210460749566	470
brca	55129	ANO10	uc003cmv.2	29.5316774721	660
brca	55129	ANO10	uc011azt.1	0.0	549
brca	55129	ANO10	uc003cmv.2	29.5316774721	660
brca	345930	ECT2L	uc003qif.1	0.0	904
brca	345930	ECT2L	uc011edq.1	0.223966255766	758
brca	92370	ACPL2	uc011bnb.1	0.0	463
brca	92370	ACPL2	uc003etv.2	12.3667562415	480
brca	54503	ZDHHC13	uc001mpj.2	0.144027960474	492
brca	54503	ZDHHC13	uc001mpi.2	12.5223860671	622
brca	84310	C7orf50	uc003sju.2	6.1645942892	194
brca	84310	C7orf50	uc003sjs.2	35.4479141279	0
brca	28981	IFT81	uc001tqh.2	1.94575268991	676
brca	28981	IFT81	uc001tqi.2	8.63884579269	676
brca	4188	MDFI	uc003oqp.3	4.39660604246	246
brca	4188	MDFI	uc003oqq.3	19.4522789212	246
brca	51393	TRPV2	uc002gpz.2	0.775198427422	334
brca	51393	TRPV2	uc002gpy.2	6.32479597452	764
brca	7555	CNBP	uc003elr.3	111.01013976	170
brca	7555	CNBP	uc003elq.3	124.898257536	177
brca	80833	APOL3	uc003aot.2	11.6102090797	402
brca	80833	APOL3	uc003aos.2	34.0639347112	331
brca	55334	SLC39A9	uc001xlf.3	13.8508378743	232
brca	55334	SLC39A9	uc001xle.2	38.7201351032	307
brca	8833	GMPS	uc011bom.1	0.0	594
brca	8833	GMPS	uc003faq.2	40.1998909935	693
brca	399687	MYO18A	uc002hdu.1	2.86236023283	2039
brca	399687	MYO18A	uc002hdt.1	12.9425520837	2054
brca	399687	MYO18A	uc010wbc.1	0.0	1572
brca	399687	MYO18A	uc002hdt.1	12.9425520837	2054
brca	6130	RPL7A	uc004cde.1	437.697352745	266
brca	6130	RPL7A	uc004cdf.1	1724.64550171	90
brca	56143	PCDHA5	uc003lhl.2	0.0	936
brca	56143	PCDHA5	uc003lhk.1	0.127758958188	890
brca	131870	NUDT16	uc003eof.2	3.69217072924	194
brca	131870	NUDT16	uc003eog.1	16.6634853631	162
brca	79754	ASB13	uc001iii.2	0.407300817273	0
brca	79754	ASB13	uc001iig.2	25.2151643475	278
brca	55898	UNC45A	uc002bqi.2	7.1951014161	222
brca	55898	UNC45A	uc002bqg.2	42.7198936756	944
brca	6138	RPL15	uc003ccn.2	0.0	204
brca	6138	RPL15	uc003ccr.2	762.952284329	204
brca	6138	RPL15	uc003ccp.2	298.604993913	204
brca	6138	RPL15	uc003ccr.2	762.952284329	204
brca	6138	RPL15	uc003ccq.2	58.542418908	204
brca	6138	RPL15	uc003ccr.2	762.952284329	204
brca	51763	INPP5K	uc010vql.1	0.0	356
brca	51763	INPP5K	uc002fsr.2	32.4339565822	448
brca	2064	ERBB2	uc010wek.1	13.7824977001	979
brca	2064	ERBB2	uc002hso.2	81.6364041699	1255
brca	84939	MUM1	uc002lsd.2	0.93131428209	0
brca	84939	MUM1	uc002lrz.2	19.2455416881	711
brca	4900	NRGN	uc001qar.2	0.0	78
brca	4900	NRGN	uc001qaq.2	4.1881955544	78
brca	7157	TP53	uc010cne.1	22.0899605181	0
brca	7157	TP53	uc002gij.2	47.4497601363	393
brca	641455	P704P	uc001vwb.3	0.0	0
brca	641455	P704P	uc001vwc.3	0.229149807074	508
brca	654346	LGALS9C	uc002gtw.2	0.0	356
brca	654346	LGALS9C	uc010vyb.1	0.448281480042	268
brca	3818	KLKB1	uc011clc.1	0.0	436
brca	3818	KLKB1	uc003iyy.2	0.216660493022	638
brca	54487	DGCR8	uc002zrj.2	4.83764985121	416
brca	54487	DGCR8	uc002zri.2	14.0595076567	773
brca	54487	DGCR8	uc010grz.2	0.0	740
brca	54487	DGCR8	uc002zri.2	14.0595076567	773
brca	3693	ITGB5	uc010hrx.2	33.7819119301	0
brca	3693	ITGB5	uc003eho.2	101.666931044	799
brca	56905	C15orf39	uc002azr.3	4.25666678698	336
brca	56905	C15orf39	uc002azq.3	17.1102119844	1047
brca	79837	PIP4K2C	uc001sou.2	0.14212573172	421
brca	79837	PIP4K2C	uc001sot.2	33.326909137	421
brca	79837	PIP4K2C	uc010srt.1	0.0	373
brca	79837	PIP4K2C	uc001sot.2	33.326909137	421
brca	9993	DGCR2	uc011agr.1	7.57259408147	506
brca	9993	DGCR2	uc002zoq.1	56.9658881125	550
brca	57820	CCNB1IP1	uc001vwy.2	2.84969210955	277
brca	57820	CCNB1IP1	uc001vwz.2	44.7432233131	277
brca	55323	LARP6	uc002ast.2	5.61648476813	93
brca	55323	LARP6	uc002ass.2	24.0355057235	491
brca	4126	MANBA	uc011ces.1	1.80164897373	822
brca	4126	MANBA	uc003hwg.2	24.9556019131	879
brca	6307	SC4MOL	uc003irf.2	6.11163020977	162
brca	6307	SC4MOL	uc003ire.2	27.2339728241	293
brca	54881	TEX10	uc011lvf.1	2.15998451726	768
brca	54881	TEX10	uc004bas.2	12.5465095451	929
brca	10531	PITRM1	uc001igs.1	12.9748989782	142
brca	10531	PITRM1	uc001igt.1	36.5853940182	1037
brca	63891	RNF123	uc003cxi.2	1.95085720751	0
brca	63891	RNF123	uc003cxh.2	12.7615872169	1314
brca	50717	DCAF8	uc010pjb.1	21.0725970672	597
brca	50717	DCAF8	uc001fvo.2	24.0676322772	597
brca	3837	KPNB1	uc010wkx.1	13.6764455632	660
brca	3837	KPNB1	uc002ilt.1	53.7970298369	876
brca	56947	MFF	uc002vox.2	15.0590931345	218
brca	56947	MFF	uc002vot.2	31.2143357252	291
brca	56947	MFF	uc002voz.2	0.220043394732	218
brca	56947	MFF	uc002vot.2	31.2143357252	291
brca	3275	PRMT2	uc011agc.1	1.49351948455	228
brca	3275	PRMT2	uc002zjw.2	44.6252324339	277
brca	3275	PRMT2	uc011agc.1	1.49351948455	228
brca	3275	PRMT2	uc002zjx.2	42.4707590565	433
brca	5080	PAX6	uc001mtd.3	0.0	422
brca	5080	PAX6	uc001mte.3	0.910809131055	422
brca	5080	PAX6	uc001mtf.3	0.0	422
brca	5080	PAX6	uc001mte.3	0.910809131055	422
brca	5080	PAX6	uc001mtg.3	0.0	436
brca	5080	PAX6	uc001mte.3	0.910809131055	422
brca	23438	HARS2	uc011czu.1	8.49421698334	332
brca	23438	HARS2	uc003lgx.2	20.3028324546	506
brca	9825	SPATA2	uc010zyn.1	0.0	383
brca	9825	SPATA2	uc002xuw.2	10.0128579625	520
brca	26015	RPAP1	uc001zoc.2	6.67076386719	412
brca	26015	RPAP1	uc001zod.2	9.60090591839	1393
brca	7132	TNFRSF1A	uc001qnt.2	0.515373947037	347
brca	7132	TNFRSF1A	uc001qnu.2	114.922721618	455
brca	79956	ERMP1	uc010mhs.1	2.16591496025	518
brca	79956	ERMP1	uc003zjm.1	20.3444471206	904
brca	257169	C9orf43	uc004bhp.2	0.0	461
brca	257169	C9orf43	uc004bho.3	0.351197468969	461
brca	26508	HEYL	uc010oiw.1	0.0	300
brca	26508	HEYL	uc001cdp.2	4.32583222273	328
brca	1495	CTNNA1	uc003ldl.2	20.4729571705	536
brca	1495	CTNNA1	uc003ldh.2	233.823675522	906
brca	9670	IPO13	uc001cky.2	1.66422393826	181
brca	9670	IPO13	uc001ckx.2	16.4938782652	963
brca	79441	HAUS3	uc003get.1	0.0	603
brca	79441	HAUS3	uc003ges.1	4.41757586398	603
brca	145407	C14orf37	uc010tro.1	0.0	812
brca	145407	C14orf37	uc001xdc.2	2.94163316796	774
brca	127435	PODN	uc010ons.1	0.0	519
brca	127435	PODN	uc001cuv.2	74.7666029915	661
brca	339287	MSL1	uc002hub.2	29.5032166374	413
brca	339287	MSL1	uc002huc.2	49.3956327063	198
brca	11226	GALNT6	uc001ryj.1	1.19888456013	187
brca	11226	GALNT6	uc001ryk.2	27.999075993	622
brca	140	ADORA3	uc001ebg.3	0.814537651137	266
brca	140	ADORA3	uc001ebh.3	4.0662217918	318
brca	55288	RHOT1	uc010wby.1	2.85459810761	650
brca	55288	RHOT1	uc002hgy.2	8.3885896326	659
brca	83666	PARP9	uc003efg.2	1.4054698858	399
brca	83666	PARP9	uc003eff.3	24.0043673588	819
brca	84866	TMEM25	uc001pti.2	1.06792992493	218
brca	84866	TMEM25	uc010rye.1	22.4440517159	366
brca	439965	FAM35B2	uc010qga.1	0.074280170643	212
brca	439965	FAM35B2	uc010qfz.1	2.02302084562	0
brca	84928	TMEM209	uc010lmc.1	1.61359444326	519
brca	84928	TMEM209	uc003vpn.2	15.3806889249	561
brca	10318	TNIP1	uc011dcn.1	31.2461887511	154
brca	10318	TNIP1	uc003ltj.2	60.7633145927	636
brca	3326	HSP90AB1	uc003oxc.1	48.9546743085	362
brca	3326	HSP90AB1	uc003oxa.1	923.57373254	724
brca	3032	HADHB	uc002rha.2	1.07442851551	351
brca	3032	HADHB	uc002rgz.2	83.6651770137	474
brca	3032	HADHB	uc010ykx.1	70.3240489645	400
brca	3032	HADHB	uc002rgz.2	83.6651770137	474
brca	6510	SLC1A5	uc002pfr.2	73.9735067532	313
brca	6510	SLC1A5	uc002pfs.2	74.8103791204	541
brca	51495	PTPLAD1	uc010uiw.1	0.582970888815	307
brca	51495	PTPLAD1	uc002apc.2	96.3482615126	362
brca	84886	C1orf198	uc001hub.2	26.2595802295	327
brca	84886	C1orf198	uc009xfh.1	43.2437677223	197
