Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
26123	TCTN3	uc001klb.3	uc001kla.3	False	False	True	True	True
271	AMPD2	uc001dyb.1	uc001dye.1	True	False	True	True	False
255104	TMCO4	uc001bcn.2	uc001bcm.2	False	False	False	False	False
84695	LOXL3	uc002smp.1	uc002smo.1	True	True	True	True	True
84695	LOXL3	uc002smp.1	uc010ffm.1	False	True	True	False	False
84695	LOXL3	uc002smp.1	uc010ffn.1	True	True	True	False	True
84695	LOXL3	uc002smp.1	uc002smq.1	True	True	True	False	True
55347	ABHD10	uc003dyk.3	uc011bhq.1	False	True	False	False	False
9255	AIMP1	uc003hyh.2	uc011cfg.1	False	False	False	False	False
9255	AIMP1	uc003hyh.2	uc003hyg.2	False	False	False	False	False
22879	MON1B	uc002fez.2	uc010vng.1	False	False	True	True	False
22879	MON1B	uc002fez.2	uc002ffa.2	False	False	True	True	False
148156	ZNF558	uc010dwg.1	uc010xkh.1	False	True	True	False	False
148156	ZNF558	uc010dwg.1	uc002mkn.1	False	False	False	False	False
55614	KIF16B	uc010gci.1	uc002wpg.1	True	True	True	True	False
55614	KIF16B	uc010gci.1	uc002wpf.1	True	True	True	True	True
55614	KIF16B	uc010gch.1	uc002wpg.1	False	False	True	True	False
55614	KIF16B	uc010gci.1	uc002wpe.1	True	True	True	True	True
83892	KCTD10	uc001toi.1	uc001tok.1	False	True	True	False	True
83892	KCTD10	uc001toi.1	uc009zvi.1	False	False	True	False	False
55297	CCDC91	uc001riq.2	uc009zjl.2	True	False	True	True	False
55297	CCDC91	uc001riq.2	uc001rir.2	False	False	True	True	True
275	AMT	uc003cww.2	uc011bcq.1	True	False	False	False	False
275	AMT	uc003cww.2	uc003cwy.2	True	False	False	False	False
55291	SAPS3	uc001onw.2	uc001onz.2	False	True	True	True	False
274	BIN1	uc002tob.1	uc002toa.1	False	False	True	True	True
84125	LRRIQ1	uc001tac.2	uc001taa.1	True	True	True	True	False
84125	LRRIQ1	uc001tac.2	uc001tab.1	False	True	True	True	False
84125	LRRIQ1	uc001tac.2	uc001tad.2	True	True	True	True	True
2686	GGT7	uc002xay.2	uc010gex.2	True	True	True	True	False
2687	GGT5	uc002zzo.3	uc002zzr.3	True	False	False	False	False
2687	GGT5	uc002zzo.3	uc011ajm.1	True	False	True	True	True
56124	PCDHB12	uc003liz.2	uc011dak.1	True	True	True	True	True
9529	BAG5	uc001ynj.1	uc001yni.1	False	False	False	False	False
253635	CCDC75	uc010ezz.2	uc002rpr.3	False	True	True	True	True
55612	FERMT1	uc002wmq.2	uc002wms.2	True	True	True	True	False
55612	FERMT1	uc002wmq.2	uc002wmr.2	False	True	True	True	True
59352	LGR6	uc001gxv.2	uc001gxw.2	True	True	True	False	True
59352	LGR6	uc001gxv.2	uc001gxu.2	True	False	True	True	False
26027	ACOT11	uc001cxl.1	uc001cxj.1	True	True	True	True	False
59345	GNB4	uc003fjv.3	uc003fju.3	True	True	True	False	True
1615	DARS	uc002tux.1	uc010fnj.1	True	True	True	False	False
960	CD44	uc001mvx.2	uc001mvy.2	True	False	True	True	False
165829	GPR156	uc011bjf.1	uc011bjg.1	False	False	False	False	False
165829	GPR156	uc011bjg.1	uc011bjf.1	False	False	False	False	False
272	AMPD3	uc009yfx.1	uc001mip.1	True	True	True	True	False
272	AMPD3	uc009yfy.2	uc009yfw.1	True	True	True	True	False
378805	FLJ43663	uc003vqp.2	uc003vqo.1	False	False	False	False	False
378805	FLJ43663	uc003vqp.2	uc011kpk.1	False	False	False	False	False
64151	NCAPG	uc011bxj.1	uc003gpp.2	False	False	True	False	False
133690	CAPSL	uc003jjt.1	uc003jju.1	False	False	False	False	False
100130015	LOC100130015	uc002fql.2	uc010cjd.2	False	False	True	True	False
221545	C6orf136	uc003nqw.3	uc011dmn.1	False	False	True	True	True
28990	ASTE1	uc003env.1	uc010htm.1	False	False	False	False	False
55293	UEVLD	uc001mot.2	uc010rdf.1	False	False	False	False	False
51265	CDKL3	uc011cxn.1	uc011cxm.1	False	True	True	True	False
967	CD63	uc001shn.2	uc001shm.2	False	False	False	False	False
55610	CCDC132	uc003umo.2	uc003umq.2	False	True	True	True	False
26585	GREM1	uc001zhe.1	uc001zhd.1	False	False	True	True	False
6795	AURKC	uc002qod.2	uc002qoc.2	False	False	True	False	False
55165	CEP55	uc009xug.2	uc001kiq.3	False	False	False	False	False
57291	KIAA0114	uc003gzo.2	uc003gzp.2	False	False	False	False	False
2147	F2	uc001ndf.3	uc001ndg.3	True	True	True	True	True
279	AMY2A	uc001dut.2	uc010ouq.1	True	True	True	False	False
55839	CENPN	uc002ffx.2	uc010vnl.1	False	False	False	True	False
140823	ROMO1	uc010gfm.2	uc002xdy.2	False	False	False	False	False
387328	ZNF322B	uc004axd.1	uc004axc.1	True	True	True	False	True
124944	C17orf49	uc002gec.2	uc002gee.2	False	False	False	False	False
153770	PLAC8L1	uc011dbp.1	uc003lnv.2	False	True	False	False	False
9256	BZRAP1	uc010wnt.1	uc002ivv.2	True	True	True	True	True
9254	CACNA2D2	uc003dap.2	uc003dao.2	False	True	True	True	True
84124	ZNF394	uc003uqs.2	uc003uqt.2	True	True	True	True	True
22874	PLEKHA6	uc009xbb.1	uc009xbc.1	False	False	False	True	False
22873	DZIP1	uc001vmk.2	uc001vmm.2	False	True	True	True	True
132158	GLYCTK	uc003ddq.2	uc003ddm.2	False	True	False	True	False
84699	CREB3L3	uc002lzl.2	uc010xib.1	False	False	True	False	False
1613	DAPK3	uc002lzc.1	uc002lzd.1	False	False	False	False	False
154865	IQUB	uc003vko.2	uc011kny.1	False	True	True	True	True
154865	IQUB	uc003vko.2	uc010lkt.2	False	True	True	True	True
29763	PACSIN3	uc001ndx.2	uc001ndy.2	False	False	False	False	False
29763	PACSIN3	uc001ndx.2	uc001ndz.2	True	True	True	True	True
29763	PACSIN3	uc001ndx.2	uc001nea.2	True	True	True	True	True
65083	NOL6	uc003zsz.2	uc003zsy.2	False	False	True	True	False
65083	NOL6	uc003zsz.2	uc010mjv.2	False	False	False	False	False
7458	EIF4H	uc003uae.1	uc003uaf.1	True	True	True	True	True
25854	FAM149A	uc003iyt.3	uc010isl.2	False	False	False	False	False
25854	FAM149A	uc010isj.2	uc011clb.1	False	False	True	True	False
25854	FAM149A	uc003iyt.3	uc010isk.2	False	True	True	True	False
25854	FAM149A	uc003iyt.3	uc011clb.1	False	False	True	False	False
25854	FAM149A	uc010isj.2	uc010isl.2	False	False	True	True	False
25854	FAM149A	uc010isj.2	uc010isk.2	False	True	True	True	False
25854	FAM149A	uc011cla.1	uc010isl.2	False	False	True	True	False
23509	POFUT1	uc002wxp.2	uc010ztu.1	False	False	True	False	False
23509	POFUT1	uc010ztu.1	uc010ztt.1	False	False	True	True	False
56975	FAM20C	uc003sip.2	uc011jvn.1	False	False	True	True	True
7450	VWF	uc001qnn.1	uc010set.1	True	True	True	True	False
92	ACVR2A	uc002twh.2	uc010zbn.1	True	True	False	True	False
23503	ZFYVE26	uc001xka.2	uc010tsz.1	True	True	True	True	False
5467	PPARD	uc003okm.2	uc011dtb.1	True	False	True	True	False
5467	PPARD	uc003okm.2	uc011dtc.1	True	True	False	False	True
55335	NIPSNAP3B	uc004bci.2	uc004bcj.1	True	True	True	False	False
221154	EFHA1	uc001uof.2	uc010tct.1	True	False	False	False	True
150383	C22orf40	uc003bhe.2	uc003bhd.2	False	False	False	False	False
65265	C8orf33	uc003zfc.3	uc003zfd.2	False	True	True	True	False
129450	C2orf60	uc002uvj.3	uc002uvk.3	False	True	True	False	True
129450	C2orf60	uc002uvj.3	uc010fss.2	False	False	False	False	False
91687	CENPL	uc001gjf.3	uc009wwg.2	False	False	True	False	False
91687	CENPL	uc001gjf.3	uc001gje.3	False	False	False	False	False
91687	CENPL	uc001gjf.3	uc001gjg.3	False	False	False	False	False
283651	C15orf21	uc010bej.1	uc001zvn.1	False	False	False	False	False
283651	C15orf21	uc010bej.1	uc001zvk.2	False	False	False	False	False
283651	C15orf21	uc010bej.1	uc010bei.1	False	False	False	False	False
283651	C15orf21	uc010bej.1	uc010beh.1	False	False	False	False	False
397	ARHGDIB	uc001rcq.1	uc001rcp.1	True	True	True	True	False
2314	FLII	uc002gsr.1	uc002gsq.1	True	False	True	False	True
2314	FLII	uc002gsr.1	uc010vxo.1	True	True	True	False	True
112950	MED8	uc001cjg.3	uc001cje.1	False	False	True	True	False
7453	WARS	uc001yhl.1	uc001yhe.1	True	True	True	True	True
7453	WARS	uc001yhh.1	uc001yhe.1	True	True	True	True	True
7453	WARS	uc001yhl.1	uc001yhf.1	False	False	False	False	False
29922	NME7	uc001gfu.2	uc001gft.2	False	False	False	False	False
