Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
55297	CCDC91	uc001riq.2	uc009zjl.2	True	False	True	True	False
26123	TCTN3	uc001klb.3	uc001kla.3	False	False	True	True	True
26123	TCTN3	uc001klb.3	uc010qoi.1	False	False	False	False	False
6799	SULT1A2	uc002dqh.1	uc002dqg.1	False	False	False	False	False
271	AMPD2	uc001dyb.1	uc001dye.1	True	False	True	True	False
22879	MON1B	uc002fez.2	uc010vng.1	False	False	True	True	False
2686	GGT7	uc002xay.2	uc010gex.2	True	True	True	True	False
402055	SRRD	uc003acp.3	uc010gve.2	False	False	True	False	True
55839	CENPN	uc002ffx.2	uc010vnl.1	False	False	False	True	False
55839	CENPN	uc002ffx.2	uc002ffw.3	False	False	True	True	False
9529	BAG5	uc001ynj.1	uc001yni.1	False	False	False	False	False
255104	TMCO4	uc001bcn.2	uc001bcm.2	False	False	False	False	False
56124	PCDHB12	uc003liz.2	uc011dak.1	True	True	True	True	True
22876	INPP5F	uc001lep.2	uc001leo.2	False	True	True	True	True
55293	UEVLD	uc001mot.2	uc010rdf.1	False	False	False	False	False
55293	UEVLD	uc001mot.2	uc010rdg.1	True	True	False	False	True
55293	UEVLD	uc001mot.2	uc001mou.2	True	True	True	True	False
55165	CEP55	uc009xug.2	uc001kiq.3	False	False	False	False	False
57291	KIAA0114	uc003gzo.2	uc003gzp.2	False	False	False	False	False
153770	PLAC8L1	uc011dbp.1	uc003lnv.2	False	True	False	False	False
153770	PLAC8L1	uc003lnv.2	uc011dbp.1	False	True	False	False	False
9528	TMEM59	uc001cwp.2	uc001cwr.2	False	False	False	False	False
1615	DARS	uc002tux.1	uc010fnj.1	True	True	True	False	False
165829	GPR156	uc011bjg.1	uc011bjf.1	False	False	False	False	False
270	AMPD1	uc001efe.1	uc001eff.1	False	False	False	False	False
270	AMPD1	uc001eff.1	uc001efe.1	False	False	False	False	False
221545	C6orf136	uc003nqw.3	uc011dmn.1	False	False	True	True	True
339883	C3orf35	uc003chb.2	uc003cgz.1	False	False	True	True	False
6795	AURKC	uc002qoc.2	uc010etv.2	True	False	True	True	False
6795	AURKC	uc002qoe.2	uc002qoc.2	False	False	True	False	False
273	AMPH	uc003tgv.2	uc003tgt.2	True	True	True	True	True
273	AMPH	uc003tgv.2	uc003tgu.2	False	False	True	True	False
387328	ZNF322B	uc004axd.1	uc004axc.1	True	True	True	False	True
9255	AIMP1	uc003hyh.2	uc011cfg.1	False	False	False	False	False
84124	ZNF394	uc003uqs.2	uc003uqt.2	True	True	True	True	True
28990	ASTE1	uc003env.1	uc011blj.1	False	True	True	True	False
51265	CDKL3	uc010jdw.2	uc003kzg.3	True	True	True	True	True
51263	MRPL30	uc002szv.2	uc002szu.2	False	False	False	False	False
967	CD63	uc001shn.2	uc009znz.2	False	False	False	False	False
56122	PCDHB14	uc003ljb.2	uc011dal.1	True	True	False	False	False
148156	ZNF558	uc010dwg.1	uc010xkh.1	False	True	True	False	False
274	BIN1	uc002tnx.1	uc002tob.1	False	False	True	True	True
140823	ROMO1	uc010gfm.2	uc002xdy.2	False	False	False	False	False
124944	C17orf49	uc002gee.2	uc002gec.2	False	False	False	False	False
378805	FLJ43663	uc003vqp.2	uc003vqq.2	False	False	False	False	False
64151	NCAPG	uc003gpp.2	uc011bxj.1	False	False	True	False	False
5986	RFNG	uc002kdj.2	uc002kdh.2	False	False	True	True	True
84695	LOXL3	uc002smp.1	uc010ffm.1	False	True	True	False	False
2688	GH1	uc002jdn.2	uc002jdm.2	False	True	True	True	False
10714	POLD3	uc001ovf.1	uc009yua.1	False	False	False	False	False
9673	SLC25A44	uc001fnp.2	uc010phe.1	True	True	True	False	True
9673	SLC25A44	uc001fnp.2	uc010phd.1	True	True	True	False	True
11261	CHP	uc001znl.2	uc010bcd.1	True	True	True	True	True
57571	CARNS1	uc009yrp.2	uc001olc.3	False	False	True	True	False
57571	CARNS1	uc009yrp.2	uc010rpq.1	False	True	True	True	False
9489	PGS1	uc002jvm.2	uc002jvn.2	False	True	False	False	True
9489	PGS1	uc002jvm.2	uc002jvo.2	False	True	True	False	True
9489	PGS1	uc002jvm.2	uc010dho.2	False	True	True	False	True
112609	MRAP2	uc003pkg.3	uc010kbo.2	False	True	True	True	False
51161	C3orf18	uc011bdr.1	uc010hlp.2	False	False	True	True	False
51161	C3orf18	uc011bdr.1	uc003dar.2	False	False	True	True	False
246	ALOX15	uc002fyh.2	uc010vsd.1	True	True	False	False	True
5229	PGGT1B	uc003kqw.3	uc010jch.2	True	True	False	False	False
5229	PGGT1B	uc003kqw.3	uc003kqx.3	True	False	True	False	False
5229	PGGT1B	uc003kqx.3	uc010jch.2	False	True	True	False	False
51166	AADAT	uc003isr.2	uc003iss.2	False	False	False	False	False
51166	AADAT	uc003isr.2	uc003ist.2	False	False	True	False	False
387990	TOMM20L	uc001xdr.1	uc010trq.1	True	True	True	True	True
387990	TOMM20L	uc010trq.1	uc001xdr.1	True	True	True	True	True
3455	IFNAR2	uc002yrb.2	uc002yrc.2	False	False	False	False	False
3455	IFNAR2	uc002yrb.2	uc002yrg.2	False	True	False	False	False
3455	IFNAR2	uc002yrb.2	uc002yrd.2	False	True	True	True	False
56624	ASAH2	uc009xos.2	uc001jjd.2	True	False	False	False	False
56624	ASAH2	uc001jjd.2	uc009xos.2	True	False	False	False	False
286207	C9orf117	uc004brn.1	uc010mxl.1	False	False	True	True	True
286207	C9orf117	uc010mxl.1	uc004brn.1	False	False	True	True	True
117157	SH2D1B	uc001gbz.1	uc001gca.1	True	False	False	False	False
117157	SH2D1B	uc001gca.1	uc001gbz.1	True	False	False	False	False
3454	IFNAR1	uc002yrn.2	uc011adv.1	False	False	False	False	False
10331	B3GNT3	uc002nhk.1	uc002nhl.1	False	False	False	False	False
10331	B3GNT3	uc002nhk.1	uc010ebd.1	False	False	False	False	False
10331	B3GNT3	uc002nhl.1	uc002nhk.1	False	False	False	False	False
10331	B3GNT3	uc002nhl.1	uc010ebe.1	False	False	False	False	False
10331	B3GNT3	uc010ebd.1	uc002nhk.1	False	False	False	False	False
8905	AP1S2	uc004cxi.2	uc004cxh.2	False	False	True	False	False
55471	C2orf56	uc002rqa.3	uc010fah.2	True	True	False	False	False
93134	ZNF561	uc002mlu.2	uc010dwu.2	True	True	False	False	True
56339	METTL3	uc001wbc.2	uc001wbb.2	True	False	True	True	True
2326	FMO1	uc001ghl.2	uc001ghm.2	False	False	False	False	False
2326	FMO1	uc001ghl.2	uc001ghn.2	False	False	False	False	False
2326	FMO1	uc001ghm.2	uc001ghn.2	False	False	False	False	False
2326	FMO1	uc001ghn.2	uc001ghl.2	False	False	False	False	False
6726	SRP9	uc001hpg.2	uc001hpi.3	False	True	True	False	False
51302	CYP39A1	uc003oyf.1	uc011dwa.1	True	False	False	False	False
