Gene	Switch	Driver	NumInteractions	Lost	Gained	Kept	FracLost	FracGained	FracKept
5095	uc001voo.2-uc001vop.2	No driver	1	1	0	0	1	0	0
4221	uc001obm.2-uc001obl.2	Driver	3	0	0	3	0	0	1
23038	uc001bno.2-uc009vst.2	No driver	1	0	0	1	0	0	1
6672	uc002vqq.1-uc002vqr.1	No driver	2	0	0	2	0	0	1
23650	uc001pwz.2-uc001pwy.2	No driver	4	4	0	0	1	0	0
3659	uc010jdt.1-uc003kxb.2	No driver	2	0	0	2	0	0	1
3621	uc001vrf.2-uc001vrg.2	Driver	7	0	0	7	0	0	1
3240	uc002fbx.3-uc010cgm.2	No driver	1	0	0	1	0	0	1
3655	uc002uhp.1-uc010fqm.1	Driver	1	0	0	1	0	0	1
960	uc001mvx.2-uc001mvy.2	Driver	1	0	0	1	0	0	1
960	uc001mvx.2-uc001mvv.2	Driver	1	0	0	1	0	0	1
960	uc001mvx.2-uc001mvw.2	Driver	1	0	0	1	0	0	1
10492	uc003pla.2-uc003pky.2	Driver	17	0	0	17	0	0	1
10492	uc003pla.2-uc003pkz.2	Driver	17	0	0	17	0	0	1
51366	uc003ykr.1-uc003ykq.2	Driver	3	2	0	1	0.666666666666667	0	0.333333333333333
55133	uc002rus.2-uc010yoc.1	No driver	1	0	0	1	0	0	1
7133	uc001att.2-uc009vnk.2	No driver	7	7	0	0	1	0	0
942	uc003eet.2-uc011bjo.1	No driver	1	0	0	1	0	0	1
942	uc011bjo.1-uc003eet.2	No driver	1	0	0	1	0	0	1
6935	uc001ivu.3-uc010qef.1	No driver	4	0	0	4	0	0	1
6726	uc001hpg.2-uc001hph.2	No driver	1	0	0	1	0	0	1
6726	uc001hpg.2-uc001hpi.3	No driver	1	1	0	0	1	0	0
6726	uc001hph.2-uc001hpi.3	No driver	1	1	0	0	1	0	0
151636	uc003efk.2-uc010hrj.2	No driver	5	5	0	0	1	0	0
4602	uc003qfc.2-uc003qfw.2	Driver	4	2	0	2	0.5	0	0.5
10398	uc002xfl.1-uc002xfm.1	No driver	2	0	0	2	0	0	1
9138	uc002orx.2-uc002osa.2	No driver	2	0	0	2	0	0	1
9138	uc002orx.2-uc002ose.2	No driver	2	0	0	2	0	0	1
81550	uc010aeg.2-uc001vib.3	No driver	1	0	0	1	0	0	1
4092	uc010xde.1-uc002ldf.2	No driver	13	0	0	13	0	0	1
5660	uc001jsm.2-uc001jsl.2	No driver	1	0	0	1	0	0	1
5635	uc010wtb.1-uc010wta.1	No driver	2	0	0	2	0	0	1
79176	uc001kvl.1-uc001kvk.2	No driver	1	0	0	1	0	0	1
3164	uc001rzt.2-uc009zmc.2	No driver	5	5	0	0	1	0	0
7436	uc003zhl.1-uc003zhn.1	No driver	1	0	0	1	0	0	1
7436	uc003zhk.1-uc003zhn.1	No driver	1	0	0	1	0	0	1
26094	uc001xng.2-uc001xni.2	No driver	1	0	0	1	0	0	1
11035	uc001wpb.2-uc010toi.1	No driver	4	4	0	0	1	0	0
259173	uc003cqb.1-uc003cpx.1	No driver	1	0	0	1	0	0	1
259173	uc003cqa.1-uc003cpy.1	No driver	1	1	0	0	1	0	0
10919	uc003nxz.1-uc003nxv.1	No driver	4	1	0	3	0.25	0	0.75
55503	uc003wbx.1-uc003wbw.1	No driver	1	1	0	0	1	0	0
22941	uc001opy.2-uc001oqc.2	No driver	4	0	3	1	0	0.75	0.25
7551	uc003usr.2-uc010lgj.2	No driver	1	0	0	1	0	0	1
930	uc002drs.2-uc010byo.1	No driver	3	0	0	3	0	0	1
23543	uc003aog.3-uc003aol.3	No driver	5	0	0	5	0	0	1
23543	uc003aog.3-uc003aok.3	No driver	5	0	0	5	0	0	1
146057	uc001zqo.2-uc010bcy.2	No driver	2	0	0	2	0	0	1
3557	uc002tjb.2-uc002tja.2	No driver	2	0	0	2	0	0	1
10461	uc002thk.1-uc002thl.1	No driver	2	0	0	2	0	0	1
6809	uc001nog.2-uc010rky.1	No driver	7	0	0	7	0	0	1
26273	uc001muz.2-uc010rej.1	No driver	1	1	0	0	1	0	0
26273	uc001muz.2-uc001mva.1	No driver	1	0	0	1	0	0	1
23770	uc002njj.1-uc002nji.1	No driver	1	1	0	0	1	0	0
8737	uc003mux.2-uc011dhs.1	No driver	21	2	0	19	0.0952380952380952	0	0.904761904761905
861	uc002yuh.2-uc002yuj.3	Driver	1	0	0	1	0	0	1
55276	uc011byb.1-uc011byc.1	No driver	1	0	0	1	0	0	1
4784	uc002mwg.1-uc010xmx.1	No driver	1	0	0	1	0	0	1
4784	uc002mwg.1-uc002mwf.2	No driver	1	0	0	1	0	0	1
333	uc010xsz.1-uc002oce.2	No driver	3	0	0	3	0	0	1
7871	uc003dje.1-uc011bfc.1	No driver	2	2	0	0	1	0	0
10574	uc002siz.2-uc002sja.2	No driver	8	0	0	8	0	0	1
23595	uc003pmg.2-uc003pmj.1	No driver	3	3	0	0	1	0	0
23595	uc003pmh.2-uc003pmj.1	No driver	3	3	0	0	1	0	0
3691	uc002jpj.2-uc002jpi.3	No driver	4	0	0	4	0	0	1
