Cancer	Gene	Symbol	Transcript	TPM	ProteinLength	asEvidence
brca	80008	TMEM156	uc003gto.2	0.0	296	True
brca	80008	TMEM156	uc010ifj.2	0.428082051634039	295	True
brca	4637	MYL6	uc001sjx.1	546.769317715651	151	True
brca	4637	MYL6	uc001sjw.1	1326.65886373206	151	True
brca	4637	MYL6	uc010sqe.1	2.39953316072662	116	True
brca	4637	MYL6	uc001sjw.1	1326.65886373206	151	True
brca	3786	KCNQ3	uc010mdt.2	0.0	860	True
brca	3786	KCNQ3	uc003ytj.2	0.263483334773305	872	True
brca	3786	KCNQ3	uc003ytj.2	0.263483334773305	872	True
brca	3786	KCNQ3	uc010mdt.2	0.0	860	True
brca	10637	LEFTY1	uc010pvj.1	0.0	359	True
brca	10637	LEFTY1	uc001hpo.2	0.194367437455074	366	True
brca	10637	LEFTY1	uc001hpo.2	0.194367437455074	366	True
brca	10637	LEFTY1	uc010pvj.1	0.0	359	True
brca	286223	C9orf47	uc004aqd.2	0.0	202	True
brca	286223	C9orf47	uc004aqc.1	0.215450786170107	183	True
brca	286223	C9orf47	uc004aqc.1	0.215450786170107	183	True
brca	286223	C9orf47	uc004aqd.2	0.0	202	True
brca	29986	SLC39A2	uc001vyr.2	0.0	309	True
brca	29986	SLC39A2	uc001vys.2	0.64517474949198	210	True
brca	345193	LRIT3	uc003hzx.3	0.186272744476584	634	True
brca	345193	LRIT3	uc003hzw.3	0.0	496	True
brca	345193	LRIT3	uc003hzw.3	0.0	496	True
brca	345193	LRIT3	uc003hzx.3	0.186272744476584	634	True
brca	144193	AMDHD1	uc009zth.1	0.487371105876157	317	True
brca	144193	AMDHD1	uc001tel.1	0.0	426	True
brca	144193	AMDHD1	uc001tel.1	0.0	426	True
brca	144193	AMDHD1	uc009zth.1	0.487371105876157	317	True
brca	7976	FZD3	uc010lvb.2	3.77393943701211	666	True
brca	7976	FZD3	uc003xgx.2	0.0	666	True
brca	7976	FZD3	uc003xgx.2	0.0	666	True
brca	7976	FZD3	uc010lvb.2	3.77393943701211	666	True
brca	961	CD47	uc003dwt.1	3.08941825316735	323	True
brca	961	CD47	uc003dwv.1	46.1376011063832	305	True
brca	961	CD47	uc003dwu.1	6.76055519842251	312	True
brca	961	CD47	uc003dwv.1	46.1376011063832	305	True
brca	51676	ASB2	uc001ycb.1	0.116851783501698	281	True
brca	51676	ASB2	uc001ycd.2	0.95198995313201	635	True
brca	51676	ASB2	uc001ycc.1	0.0961057851224783	587	True
brca	51676	ASB2	uc001ycd.2	0.95198995313201	635	True
brca	94239	H2AFV	uc003tma.2	34.6691381466626	128	True
brca	94239	H2AFV	uc003tlz.2	57.8015001552722	114	True
brca	3671	ISLR	uc002axh.1	71.7852741337279	428	True
brca	3671	ISLR	uc002axg.1	79.8169057400076	428	True
brca	23265	EXOC7	uc002jqp.1	1.57727868686808	187	True
brca	23265	EXOC7	uc002jqr.2	42.9714375901193	653	True
brca	23265	EXOC7	uc010wsx.1	10.9337363181129	676	True
brca	23265	EXOC7	uc002jqr.2	42.9714375901193	653	True
brca	54716	SLC6A20	uc003cow.2	0.0	242	True
brca	54716	SLC6A20	uc011baj.1	0.120879763550505	555	True
brca	54716	SLC6A20	uc011bai.1	0.0	592	True
brca	54716	SLC6A20	uc011baj.1	0.120879763550505	555	True
brca	2054	STX2	uc001uio.2	1.85206499320699	288	True
brca	2054	STX2	uc001uip.2	7.72434069183541	287	True
brca	3371	TNC	uc004bjj.3	17.8431082668831	2201	True
brca	3371	TNC	uc010mvf.2	58.3730820227925	1928	True
brca	55763	EXOC1	uc003hbe.1	0.0	894	True
brca	55763	EXOC1	uc003hbg.1	18.9494555995991	879	True
brca	8034	SLC25A16	uc001joj.2	0.0	234	True
brca	8034	SLC25A16	uc001joi.2	10.615479599655	332	True
brca	8034	SLC25A16	uc010qix.1	5.4165084623194	198	True
brca	8034	SLC25A16	uc001joi.2	10.615479599655	332	True
brca	8034	SLC25A16	uc010qiy.1	0.0	234	True
brca	8034	SLC25A16	uc001joi.2	10.615479599655	332	True
brca	6229	RPS24	uc001jzq.2	240.551260248316	133	True
brca	6229	RPS24	uc001jzp.2	2639.57143497766	130	True
brca	79861	TUBAL3	uc001ihz.2	0.372537494700149	406	True
brca	79861	TUBAL3	uc001ihy.2	0.0	446	True
brca	79861	TUBAL3	uc001ihy.2	0.0	446	True
brca	79861	TUBAL3	uc001ihz.2	0.372537494700149	406	True
brca	7423	VEGFB	uc001nyw.2	82.7452346594501	207	True
brca	7423	VEGFB	uc001nyx.2	81.696897576255	188	True
brca	116985	ARAP1	uc001osr.2	1.01269487695285	1210	True
brca	116985	ARAP1	uc010rre.1	26.7631969874028	1194	True
brca	116985	ARAP1	uc001oss.2	2.21797963744248	1205	True
brca	116985	ARAP1	uc010rre.1	26.7631969874028	1194	True
brca	116985	ARAP1	uc001osu.2	2.92458874743374	1450	True
brca	116985	ARAP1	uc010rre.1	26.7631969874028	1194	True
brca	51117	COQ4	uc004bur.3	6.89562837155829	265	True
brca	51117	COQ4	uc010mxy.2	42.8788688868868	241	True
brca	348825	TPRXL	uc003byg.2	0.0	252	True
brca	348825	TPRXL	uc011avd.1	0.224594643884309	252	True
brca	348825	TPRXL	uc003byh.1	0.0	252	True
brca	348825	TPRXL	uc011avd.1	0.224594643884309	252	True
brca	3223	HOXC6	uc001ses.2	2.53716767843592	153	True
brca	3223	HOXC6	uc001sev.2	10.7640607240235	235	True
brca	85021	REPS1	uc003qii.2	6.77706379980586	796	True
brca	85021	REPS1	uc003qig.3	14.7789990782996	769	True
brca	85021	REPS1	uc003qik.2	0.404951009223356	402	True
brca	85021	REPS1	uc003qig.3	14.7789990782996	769	True
