Feature	TotalMutations	TotalLength	ExpectedMutFrequency	fc_m	p_m	adjp_m	H_m	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Frame_Shift_Del_out	Frame_Shift_Ins_out	Nonsense_Mutation_out
PF00001|7_transmembrane_receptor_(rhodopsin_family)	4409	158897	0.00578200680470265	3.84312765330015	0	0	0.950049885783833	154	78	15	0	3983	179	0	199	97	242
PF00002|7_transmembrane_receptor_(Secretin_family)	526	53678	0.00195325626829222	1.3572186765571	1.38535507344942e-11	5.94178791002454e-08	0.934175134367351	24	7	2	0	463	30	0	60	34	82
PF00003|7_transmembrane_sweet-taste_receptor_of_3_GCPR	294	11549	0.000420249574173904	3.52584615186479	1.08655728672999e-71	4.82431435308117e-68	0.919750170718444	15	14	3	2	247	13	0	25	30	45
PF00004|ATPase_family_associated_with_various_cellular_activities_(AAA)	226	51580	0.00187691341552429	0.606858599479729	1	1	0.936624737064145	17	6	1	0	180	22	0	58	31	66
PF00005|ABC_transporter	443	80216	0.00291893149553502	0.764897309708248	0.999999998468045	1	0.938199000781663	19	10	1	0	392	21	0	117	87	158
PF00006|ATP_synthase_alpha/beta_family,_nucleotide-binding_domain	48	6776	0.000246567764707107	0.981133826660397	0.571608725237442	1	0.968980558305128	2	4	2	0	40	0	0	2	4	2
PF00007|Cystine-knot_domain	47	2142	7.79439421491474e-05	3.03905668421442	8.64204755062409e-11	3.69793214691205e-07	0.934493861781521	1	2	0	0	42	2	0	6	4	4
PF00008|EGF-like_domain	275	32937	0.00119852456702449	1.15640260990615	0.00980078525387221	1	0.873559783498327	23	6	1	0	225	20	0	710	228	413
PF00009|Elongation_factor_Tu_GTP_binding_domain	125	24284	0.000883655784850558	0.71293543003397	0.999973219030387	1	0.949550210590823	6	2	1	0	111	5	0	9	4	8
PF00010|Helix-loop-helix_DNA-binding_domain	245	23329	0.000848904867599187	1.45455574634884	1.88582900554857e-08	8.00157247054258e-05	0.94005159224771	12	4	1	0	216	12	0	48	21	69
PF00011|Hsp20/alpha_crystallin_family	19	3180	0.00011571509618781	0.827535989121896	0.823143016990408	1	0.866747558933435	1	0	0	0	16	2	0	4	0	5
PF00012|Hsp70_protein	288	62522	0.00227507523391643	0.63799905404026	1	1	0.953350915311223	12	0	4	0	257	15	0	13	0	17
PF00013|KH_domain	230	36503	0.00132828558369296	0.87268937152066	0.98367129661606	1	0.940286183118246	18	3	0	0	190	19	0	107	12	104
PF00014|Kunitz/Bovine_pancreatic_trypsin_inhibitor_domain	57	7221	0.000262760600494395	1.09329640440699	0.26791178315992	1	0.860457052670079	4	2	0	0	44	7	0	29	9	21
PF00017|SH2_domain	347	60935	0.00221732685100761	0.788720390197015	0.999998132109996	1	0.943697815798075	14	7	4	0	293	29	0	70	54	109
PF00018|SH3_domain	180	37167	0.0013524474779913	0.670772742902055	0.999999995954402	1	0.901537274970306	7	7	0	0	149	17	0	65	47	113
PF00019|Transforming_growth_factor_beta_like_domain	176	6779	0.00024667692989219	3.59589865289666	9.07632404548987e-45	4.01355049291562e-41	0.926283775189139	4	3	1	0	161	7	0	25	12	26
PF00020|TNFR/NGFR_cysteine-rich_region	34	7932	0.000288632749359028	0.59368574424622	0.999642879743506	1	0.956966254849715	1	1	0	0	29	3	0	8	1	8
PF00021|u-PAR/Ly-6_domain	56	6067	0.000220768392632529	1.27842260497104	0.0426614396860916	1	0.97641613743227	3	0	0	0	50	3	0	10	0	5
PF00022|Actin	599	46545	0.00169369784656025	1.78243703354328	2.1331385565104e-38	9.39860847998484e-35	0.933311336545302	21	13	3	0	523	39	0	23	14	40
PF00023|Ankyrin_repeat	97	15717	0.000571916404648996	0.854796017736544	0.947443012898122	1	0.840849074475176	2	2	0	0	90	3	0	72	23	94
PF00024|PAN_domain	59	4025	0.000146463289986143	2.03023605464596	7.12882620254571e-07	0.00299767141817047	0.9208851950054	3	2	0	0	50	2	2	10	5	2
PF00025|ADP-ribosylation_factor_family	177	32238	0.00117308907890019	0.760441105522986	0.999939513174514	1	0.972146167767149	8	3	0	0	154	12	0	9	3	13
PF00026|Eukaryotic_aspartyl_protease	101	12233	0.000445139236372792	1.14353327705546	0.0993621284818972	1	0.966473102006173	7	4	4	0	82	4	0	8	4	4
PF00027|Cyclic_nucleotide-binding_domain	179	13956	0.000507836441005369	1.77644791799779	1.34356879394475e-12	5.78003295155033e-09	0.918344493743363	6	4	1	0	155	12	1	29	22	66
PF00028|Cadherin_domain	3645	195289	0.00710625327654755	2.58511674156084	0	0	0.930993538924504	133	71	11	3	3200	227	0	814	488	1343
PF00029|Connexin	97	5391	0.000196169837593863	2.49208477291138	3.77815439854215e-15	1.6355630391289e-11	0.970651186945038	2	1	0	1	84	9	0	2	1	9
PF00030|Beta/Gamma_crystallin	163	9316	0.000338994288077244	2.42336333981968	4.27470969386793e-23	1.86804813622028e-19	0.935645509229889	8	9	1	0	135	10	0	26	14	22
PF00031|Cystatin_domain	142	3263	0.000118735332975102	6.02742312124592	1.7656414973597e-61	7.834151323785e-58	0.910422809960447	3	26	1	0	103	9	0	7	28	14
PF00035|Double-stranded_RNA_binding_motif	89	18094	0.000658411619629632	0.681264611244434	0.999952557494792	1	0.912819518865886	6	6	0	0	67	10	0	26	18	35
PF00036|EF_hand	23	2037	7.4123160671248e-05	1.56385764008928	0.0271747722256279	1	0.96253510315829	0	0	0	0	22	1	0	0	0	3
PF00037|4Fe-4S_binding_domain	0	189	6.87740666021889e-06	0	1	1	NA	0	0	0	0	0	0	0	0	0	1
PF00038|Intermediate_filament_protein	1039	44519	0.00161997495823431	3.23244062414336	8.3804903157194e-221	3.73853672984242e-217	0.952361348548659	25	23	5	0	911	75	0	50	46	87
PF00039|Fibronectin_type_I_domain	16	1696	6.17147179668319e-05	1.30663577229773	0.173863316125594	1	0.926879687409855	2	0	0	0	14	0	0	5	3	0
PF00040|Fibronectin_type_II_domain	43	2818	0.000102542497187814	2.11343003908199	8.12596342878176e-06	0.0339096453883063	0.81893750933483	0	0	0	0	41	2	0	9	4	14
PF00041|Fibronectin_type_III_domain	1901	191663	0.00697430895617742	1.37373905204774	4.82384623407666e-40	2.12876334309803e-36	0.886294202280008	75	83	3	3	1618	119	0	1216	605	1430
PF00042|Globin	60	2923	0.000106363278665713	2.84303917612506	3.60903546249328e-12	1.55080253823336e-08	0.922279971993087	2	1	0	0	56	1	0	4	1	1
PF00043|Glutathione_S-transferase,_C-terminal_domain	85	8734	0.000317816242171173	1.34792630048117	0.00485962037352374	1	0.930291957265646	2	12	1	0	66	4	0	2	12	11
PF00044|Glyceraldehyde_3-phosphate_dehydrogenase,_NAD_binding_domain	18	1628	5.92403071049542e-05	1.53136428350373	0.0540183874489168	1	0.893875284085534	2	0	0	0	15	1	0	2	0	1
PF00045|Hemopexin	159	8593	0.00031268547847228	2.56278823534341	6.68095680779265e-25	2.92158241204773e-21	0.910386216232257	2	2	0	0	146	9	0	75	33	98
PF00046|Homeobox_domain	683	27682	0.00100730355115439	3.41730426424431	2.48251395078973e-157	1.10620821647191e-153	0.954033428641508	19	5	3	0	608	48	0	182	112	220
PF00047|Immunoglobulin_domain	95	12062	0.00043891682082307	1.09084913173919	0.211521655799947	1	0.935715561094307	9	2	1	0	74	9	0	15	13	24
PF00048|Small_cytokines_(intecrine/chemokine),_interleukin-8_like	140	5503	0.000200245337836955	3.52361890984887	4.24005225794216e-35	1.86519898826875e-31	0.977056040088743	2	0	0	0	130	8	0	2	1	9
PF00049|Insulin/IGF/Relaxin_family	45	1283	4.66863108204277e-05	4.8578742274826	3.157768268266e-17	1.37141875890792e-13	0.89166156374665	1	0	0	0	39	5	0	3	4	7
PF00050|Kazal-type_serine_protease_inhibitor_domain	50	2626	9.55559253425121e-05	2.63715521446229	2.3581269541062e-09	1.00385464436301e-05	0.952032361448543	3	0	1	0	42	4	0	12	0	11
PF00051|Kringle_domain	213	11142	0.000405439497397666	2.64774927902873	1.30689119988027e-34	5.74770749707345e-31	0.840976550204043	8	4	2	1	178	20	0	38	20	125
PF00052|Laminin_B_(Domain_IV)	50	5600	0.000203775012154634	1.23663742735321	0.0803514347307113	1	0.839856438520795	4	0	0	0	44	2	0	13	8	22
PF00053|Laminin_EGF-like_(Domains_III_and_V)	369	36863	0.0013413854059029	1.38642409998246	1.43438646273091e-09	6.11335510415912e-06	0.859814354461794	11	6	4	0	325	23	0	274	106	379
PF00054|Laminin_G_domain	106	17642	0.000641964065077151	0.832182266043379	0.976347577373727	1	0.878811618012548	4	5	1	0	92	4	0	52	40	77
PF00055|Laminin_N-terminal_(Domain_VI)	155	14064	0.000511766387668351	1.52645234206852	4.96545619322566e-07	0.00208946396610936	0.893741731944287	9	5	0	0	130	11	0	14	5	14
PF00056|lactate/malate_dehydrogenase,_NAD_binding_domain	42	7914	0.000287977758248531	0.735044536046183	0.984345140903356	1	0.946612414685143	2	1	0	0	37	2	0	3	1	3
PF00057|Low-density_lipoprotein_receptor_domain_class_A	424	30404	0.00110635276241955	1.93150368866429	1.38493671510975e-34	6.08956673633756e-31	0.774361748222871	15	8	1	0	384	16	0	600	325	900
PF00058|Low-density_lipoprotein_receptor_repeat_class_B	185	20160	0.000733590043756681	1.27098846700191	0.000927546848515397	1	0.870549376817104	6	1	1	0	169	8	0	277	156	297
PF00059|Lectin_C-type_domain	588	60133	0.00218814335819546	1.35433113957017	1.3216932204858e-12	5.6872459277504e-09	0.924378604768712	23	9	2	0	510	44	0	73	34	131
PF00060|Ligand-gated_ion_channel	304	5833	0.000212253508196068	7.21841781699332	1.31232878422076e-149	5.84642473370347e-146	0.927558392577451	11	3	2	0	270	18	0	26	28	46
PF00061|Lipocalin_/_cytosolic_fatty-acid_binding_protein_family	173	6825	0.00024835079606346	3.51078194760378	9.69766958689004e-43	4.28733972436408e-39	0.96544981429155	6	6	0	0	155	6	0	9	7	6
PF00063|Myosin_head_(motor_domain)	1005	109752	0.0039936991310706	1.26827674049564	2.05014065832406e-13	8.83815637803501e-10	0.933017603062224	43	32	4	0	868	58	0	52	35	67
PF00066|LNR_domain	25	3599	0.00013096183370438	0.96209635915226	0.602951938445933	1	0.74655172234802	1	1	0	0	20	3	0	121	55	82
PF00067|Cytochrome_P450	1157	98586	0.00358738631219227	1.62546836656461	3.25304669096157e-53	1.44175029343417e-49	0.948954246358141	37	25	9	0	1035	51	0	37	26	56
PF00068|Phospholipase_A2	50	1262	4.59221545248478e-05	5.48745609602058	4.19769037528797e-21	1.83145231073814e-17	0.938365741697433	1	0	0	0	46	3	0	3	0	3
PF00069|Protein_kinase_domain	3834	684105	0.0248934829803653	0.776228801726178	1	1	0.959991825902108	252	97	25	2	3184	274	0	436	177	453
PF00070|Pyridine_nucleotide-disulphide_oxidoreductase	19	5131	0.000186708854886683	0.512875549679912	0.999590067144467	1	0.876262602605109	3	0	0	0	14	2	0	6	2	4
PF00071|Ras_family	1238	116439	0.00423702832862025	1.4725925087564	6.81131953931987e-38	3.0003862570704e-34	0.86114842847229	38	19	8	2	1099	72	0	43	20	83
PF00072|Response_regulator_receiver_domain	15	2414	8.78415855966581e-05	0.860625881505133	0.752180123238312	1	0.857852420758395	0	0	0	0	15	0	0	1	0	0
PF00074|Pancreatic_ribonuclease	82	3902	0.000141987517397747	2.91062996740437	1.40989795528886e-16	6.11754722799838e-13	0.945921903979913	5	0	0	0	68	9	0	7	0	9
