Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
55335	NIPSNAP3B	uc004bci.2	uc004bcj.1	True	True	True	False	False
23503	ZFYVE26	uc001xka.2	uc010tsz.1	True	True	True	True	False
79843	FAM124B	uc002vnx.2	uc002vnw.2	False	False	True	True	False
65083	NOL6	uc003zsz.2	uc003zsy.2	False	False	True	True	False
5467	PPARD	uc003okm.2	uc011dtc.1	True	True	False	False	True
5467	PPARD	uc003okm.2	uc011dtb.1	True	False	True	True	False
622	BDH1	uc003fxs.2	uc003fxu.2	False	False	False	False	False
622	BDH1	uc003fxs.2	uc003fxr.2	False	False	False	False	False
23509	POFUT1	uc002wxp.2	uc010ztu.1	False	False	True	False	False
7450	VWF	uc001qnn.1	uc010set.1	True	True	True	True	False
2744	GLS	uc010zgj.1	uc002usf.2	True	False	True	True	False
624	BDKRB2	uc001yfg.2	uc010avm.1	False	False	False	False	False
624	BDKRB2	uc010avm.1	uc001yfg.2	False	False	False	False	False
91687	CENPL	uc001gjf.3	uc009wwg.2	False	False	True	False	False
91687	CENPL	uc001gjf.3	uc001gje.3	False	False	False	False	False
513	ATP5D	uc002lrn.2	uc002lro.2	False	False	False	False	False
221154	EFHA1	uc001uof.2	uc010tct.1	True	False	False	False	True
8547	FCN3	uc001bob.2	uc001boa.2	False	False	True	False	False
8547	FCN3	uc001boa.2	uc001bob.2	False	False	True	False	False
79848	CSPP1	uc003xxj.2	uc010lyw.2	False	True	True	True	True
79848	CSPP1	uc010lyw.2	uc003xxk.2	False	False	True	True	True
55331	ACER3	uc009yum.1	uc010rsh.1	False	False	False	False	False
55331	ACER3	uc009yum.1	uc009yun.1	False	False	True	False	False
55336	FBXL8	uc002erk.1	uc002erj.1	False	False	False	False	False
29767	TMOD2	uc002abk.2	uc002abl.3	True	False	False	False	False
55332	DRAM1	uc001tix.2	uc010svv.1	False	False	False	False	False
29760	BLNK	uc001kls.3	uc001klx.3	False	False	True	True	True
29760	BLNK	uc001kls.3	uc001klz.3	True	True	True	True	True
29760	BLNK	uc001kls.3	uc001kmb.3	True	False	True	True	True
29760	BLNK	uc001kls.3	uc009xvd.2	True	True	True	True	True
23506	KIAA0240	uc011duw.1	uc003osn.1	False	False	False	False	False
23506	KIAA0240	uc003osn.1	uc011duw.1	False	False	False	False	False
8292	COLQ	uc003bzz.2	uc010heo.2	False	False	True	True	False
8292	COLQ	uc003bzx.2	uc010heo.2	False	False	True	True	False
397	ARHGDIB	uc001rcq.1	uc001rcp.1	True	True	True	True	False
394	ARHGAP5	uc001wrl.2	uc001wro.2	True	True	True	True	True
394	ARHGAP5	uc001wrl.2	uc001wrp.2	True	True	True	True	True
394	ARHGAP5	uc001wrm.2	uc001wrp.2	True	True	True	True	True
1006	CDH8	uc002eoh.2	uc002eog.1	True	True	True	True	True
91683	SYT12	uc001oju.2	uc009yrl.2	False	False	False	False	False
91683	SYT12	uc009yrl.2	uc001oju.2	False	False	False	False	False
158471	PRUNE2	uc011lsm.1	uc011lsl.1	False	False	True	False	False
130872	AHSA2	uc002sbc.1	uc002sbb.1	False	False	True	False	False
396	ARHGDIA	uc002kbq.2	uc002kjk.1	True	False	True	True	False
23507	LRRC8B	uc001dni.2	uc001dnj.2	False	False	False	False	False
8293	SERF1A	uc003jyb.2	uc003jya.2	False	True	True	True	False
83473	KATNAL2	uc010dnq.1	uc002lcp.3	True	False	True	True	False
29106	SCG3	uc002abh.2	uc010ufz.1	False	False	True	True	False
29106	SCG3	uc010ufz.1	uc002abh.2	False	False	True	True	False
65266	WNK4	uc002ibj.2	uc010wgx.1	True	True	True	True	True
65266	WNK4	uc010wgx.1	uc002ibj.2	True	True	True	True	True
395	ARHGAP6	uc004cun.1	uc004cum.1	False	False	True	False	False
395	ARHGAP6	uc004cur.1	uc010neb.1	True	False	True	True	False
285848	PNPLA1	uc010jwf.2	uc003olw.1	False	True	True	False	False
112950	MED8	uc001cje.1	uc001cjf.3	False	False	True	True	False
92	ACVR2A	uc002twh.2	uc010zbn.1	True	True	False	True	False
95	ACY1	uc003dcp.2	uc003dcq.2	False	False	False	False	False
97	ACYP1	uc001xrg.2	uc001xrf.2	True	False	True	True	True
92691	TMEM169	uc010zjs.1	uc002vfv.3	False	False	False	False	False
85865	GTPBP10	uc003ukm.1	uc003ukn.1	True	True	False	False	False
4826	NNAT	uc002xhd.2	uc002xhe.2	False	False	False	False	False
29765	TMOD4	uc001exc.3	uc001exd.2	True	True	True	True	False
29766	TMOD3	uc002abn.2	uc002abm.2	True	True	True	True	False
199745	THAP8	uc010xtb.1	uc002oda.1	False	False	True	False	False
1173	AP2M1	uc003fmw.2	uc003fmy.2	False	False	False	False	False
23057	NMNAT2	uc001gqb.1	uc009wye.1	True	True	True	False	False
23504	RIMBP2	uc001uil.2	uc001uin.1	True	True	True	True	True
124936	CYB5D2	uc010cko.2	uc002fxm.3	False	True	False	False	False
388677	NOTCH2NL	uc001emn.3	uc001emm.3	False	False	False	False	False
7180	CRISP2	uc003ozq.2	uc003ozp.2	False	False	False	False	False
29102	RNASEN	uc003jhh.2	uc003jhg.2	False	False	True	True	False
7185	TRAF1	uc004bku.1	uc010mvl.1	False	False	False	False	False
875	CBS	uc002zct.2	uc002zcu.2	False	False	False	False	False
283652	SLC24A5	uc001zwk.2	uc001zwe.2	False	True	True	False	False
7456	WIPF1	uc002uiz.2	uc002uja.2	False	False	False	False	False
123036	TC2N	uc001xzu.3	uc010auc.2	False	False	False	False	False
84909	C9orf3	uc004avd.2	uc004avc.2	False	False	True	True	False
144347	FAM101A	uc001uge.1	uc001ugd.1	False	False	False	False	False
4842	NOS1	uc001twm.1	uc001twn.1	True	True	True	True	True
2314	FLII	uc002gsq.1	uc002gsr.1	True	False	True	False	True
343637	RSPO4	uc002wek.2	uc002wej.2	False	False	False	False	True
65265	C8orf33	uc003zfc.3	uc003zfd.2	False	True	True	True	False
393	ARHGAP4	uc004fjj.1	uc011mzf.1	True	True	True	True	True
159091	FAM122C	uc004exx.2	uc010nru.1	False	False	True	True	False
50649	ARHGEF4	uc002tsa.1	uc010fmx.1	True	False	False	False	False
50649	ARHGEF4	uc002tsa.1	uc002tsb.1	False	False	True	True	False
50649	ARHGEF4	uc002tsa.1	uc002tsc.1	True	True	True	True	True
59345	GNB4	uc003fjv.3	uc003fju.3	True	True	True	False	True
59345	GNB4	uc003fju.3	uc003fjv.3	True	True	True	False	True
271	AMPD2	uc001dyb.1	uc001dye.1	True	False	True	True	False
55291	SAPS3	uc001onw.2	uc001onz.2	False	True	True	True	False
148156	ZNF558	uc010dwg.1	uc002mkn.1	False	False	False	False	False
148156	ZNF558	uc010dwg.1	uc010xkh.1	False	True	True	False	False
63027	SLC22A23	uc003mvm.3	uc003mvo.3	False	False	True	True	True
63027	SLC22A23	uc003mvm.3	uc010jno.2	False	False	True	False	False
57472	CNOT6	uc003mlx.2	uc010jle.2	False	False	False	False	False
57472	CNOT6	uc003mlx.2	uc010jld.2	False	False	False	False	False
57472	CNOT6	uc010jle.2	uc003mlx.2	False	False	False	False	False
26123	TCTN3	uc001klb.3	uc001kla.3	False	False	True	True	True
22879	MON1B	uc002fez.2	uc010vng.1	False	False	True	True	False
22879	MON1B	uc002fez.2	uc002ffa.2	False	False	True	True	False
55296	TBC1D19	uc003gsf.3	uc011bxu.1	False	False	True	False	False
55296	TBC1D19	uc011bxu.1	uc003gsf.3	False	False	True	False	False
55297	CCDC91	uc001riq.2	uc009zjl.2	True	False	True	True	False
55297	CCDC91	uc001riq.2	uc001rir.2	False	False	True	True	True
255104	TMCO4	uc001bcn.2	uc001bcm.2	False	False	False	False	False
255104	TMCO4	uc001bcp.1	uc001bco.1	False	False	False	False	False
10714	POLD3	uc001ovf.1	uc009yua.1	False	False	False	False	False
6795	AURKC	uc002qoc.2	uc002qod.2	False	False	True	False	False
6795	AURKC	uc002qoc.2	uc002qoe.2	False	False	True	False	False
6795	AURKC	uc002qoe.2	uc002qoc.2	False	False	True	False	False
6795	AURKC	uc010etv.2	uc002qoc.2	True	False	True	True	False
22876	INPP5F	uc001leo.2	uc001len.3	False	True	True	True	False
51263	MRPL30	uc002szv.2	uc002szu.2	False	False	False	False	False
56124	PCDHB12	uc003liz.2	uc011dak.1	True	True	True	True	True
56124	PCDHB12	uc011dak.1	uc003liz.2	True	True	True	True	True
1613	DAPK3	uc002lzc.1	uc002lzd.1	False	False	False	False	False
9255	AIMP1	uc003hyh.2	uc003hyg.2	False	False	False	False	False
6799	SULT1A2	uc002dqh.1	uc002dqg.1	False	False	False	False	False
6799	SULT1A2	uc002dqg.1	uc002dqh.1	False	False	False	False	False
55839	CENPN	uc002ffx.2	uc002ffw.3	False	False	True	True	False
55839	CENPN	uc002ffx.2	uc010vnm.1	False	False	False	False	False
270	AMPD1	uc001efe.1	uc001eff.1	False	False	False	False	False
1615	DARS	uc002tux.1	uc010fnj.1	True	True	True	False	False
83892	KCTD10	uc001toi.1	uc009zvi.1	False	False	True	False	False
57291	KIAA0114	uc003gzo.2	uc003gzp.2	False	False	False	False	False
55293	UEVLD	uc001mot.2	uc001mou.2	True	True	True	True	False
55293	UEVLD	uc001mot.2	uc010rdf.1	False	False	False	False	False
963	CD53	uc001dzx.2	uc001dzw.2	False	False	False	False	False
9529	BAG5	uc001ynj.1	uc001yni.1	False	False	False	False	False
64151	NCAPG	uc003gpp.2	uc011bxj.1	False	False	True	False	False
22873	DZIP1	uc001vmk.2	uc001vml.2	False	False	True	True	False
22873	DZIP1	uc001vml.2	uc001vmn.2	False	False	True	True	False
114785	MBD6	uc001soj.1	uc001sol.1	False	False	False	True	True
28996	HIPK2	uc003vvf.3	uc003vvd.3	False	False	False	False	False
83548	COG3	uc001vak.2	uc010tfv.1	False	False	True	True	False
960	CD44	uc001mvx.2	uc001mvv.2	False	False	True	True	False
124944	C17orf49	uc002gee.2	uc002ged.2	False	False	True	True	False
9528	TMEM59	uc001cwp.2	uc001cwq.2	False	False	True	False	False
9256	BZRAP1	uc010dcs.2	uc002ivv.2	True	True	True	True	True
378805	FLJ43663	uc003vqo.1	uc011kpk.1	False	False	False	False	False
727897	MUC5B	uc001ltb.2	uc001lta.2	False	True	True	True	True
64900	LPIN3	uc002xjx.2	uc010ggh.2	False	False	True	True	False
