id	Feature	ProteomeCounts	ExpectedSwitchFrequency	LostNum	GainNum	fc_g	fc_l	fc_m	p_g	adjp_g	p_l	adjp_l	p_m	adjp_m	H_g	H_l	switches_g	switches_l	patients_g	patients_l
PF00001	PF00001|7_transmembrane_receptor_(rhodopsin_family)	617	0.00245630797404355	144	0	0	0.355132546447323	4.03169156827469	1	1	1	1	0	0	NA	1	0	6	0	144
PF00002	PF00002|7_transmembrane_receptor_(Secretin_family)	243	0.000967395198853458	15	8	0.284845330312401	0.093928661333161	1.4238109134578	0.999997737235759	1	1	1	1.03042338131986e-14	4.44936816053914e-11	NA	1	0	5	0	23
PF00003	PF00003|7_transmembrane_sweet-taste_receptor_of_3_GCPR	48	0.000191090409650066	30	0	0	0.951027695998255	3.6988425792467	1	1	0.632332283413125	1	3.9962746031604e-76	1.7739462963429e-72	NA	1	0	2	0	30
PF00004	PF00004|ATPase_family_associated_with_various_cellular_activities_(AAA)	402	0.0016003821808193	89	0	0	0.336881452512815	0.636634251937071	1	1	1	1	0.999999999999913	1	NA	1	0	3	0	89
PF00005	PF00005|ABC_transporter	567	0.0022572554639914	413	27	0.412008424201866	1.1083582037313	0.802427166711106	0.999999976944206	1	0.0206091397899466	1	0.999999322113351	1	NA	0.961984678766345	0	19	0	440
PF00006	PF00006|ATP_synthase_alpha/beta_family,_nucleotide-binding_domain	30	0.000119431506031291	NA	NA	NA	NA	1.02927337656844	NA	NA	NA	NA	0.440106644694594	1	NA	NA	NA	NA	NA	NA
PF00007	PF00007|Cystine-knot_domain	26	0.000103507305227119	4	0	0	0.234099125168801	3.18816867785661	1	1	0.999962235458018	1	1.83494558381107e-11	7.84806226195995e-08	NA	0	0	1	0	4
PF00008	PF00008|EGF-like_domain	1118	0.00445081412476611	782	66	0.510772518733261	1.06433439466281	1.21314176173303	0.999999999706731	1	0.0429439419887732	1	0.00101544403764238	1	NA	0.955811339839962	0	13	0	848
PF00009	PF00009|Elongation_factor_Tu_GTP_binding_domain	109	0.000433934471913691	123	7	0.555644388602516	1.71708486763722	0.747915765827871	0.967345563160881	1	2.23613531651522e-08	2.68783465045129e-05	0.999712449275086	1	1	NaN	4	0	130	0
PF00010	PF00010|Helix-loop-helix_DNA-binding_domain	462	0.00183924519288188	240	38	0.711650914530496	0.790464578492056	1.52592384827611	0.988616293276157	1	0.999932068693411	1	3.61636401733948e-10	1.54057107138662e-06	1	NaN	12	0	278	0
