Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
80108	ZFP2	uc003mjn.1	uc010jkx.1	False	False	False	False	False
6815	STYX	uc001xaa.2	uc010tqy.1	False	False	False	False	False
57662	KIAA1543	uc002mgv.3	uc002mgw.2	False	True	True	True	False
57662	KIAA1543	uc002mgu.3	uc002mgv.3	False	False	False	True	False
152831	KLB	uc011byj.1	uc003gua.2	True	False	False	False	False
152831	KLB	uc003gua.2	uc011byj.1	True	False	False	False	False
90102	PHLDB2	uc003dyc.2	uc003dyg.2	True	False	True	False	False
90102	PHLDB2	uc003dyc.2	uc003dyd.2	False	False	True	False	False
90102	PHLDB2	uc003dyc.2	uc003dyh.2	False	False	True	False	False
6811	STX5	uc001nvh.2	uc010rmi.1	False	False	True	True	False
6811	STX5	uc001nvh.2	uc001nvi.2	False	False	True	True	False
10395	DLC1	uc003wwk.1	uc003wwn.2	True	True	True	True	True
10395	DLC1	uc003wwk.1	uc011kxy.1	True	True	True	True	True
10395	DLC1	uc003wwk.1	uc011kxx.1	False	True	True	False	False
10395	DLC1	uc011kxx.1	uc003wwk.1	False	True	True	False	False
24140	FTSJ1	uc004djo.1	uc011mlw.1	True	False	True	False	True
24140	FTSJ1	uc004djp.1	uc004djl.2	False	False	True	False	False
24140	FTSJ1	uc004djo.1	uc004djp.1	False	False	False	False	False
11282	MGAT4B	uc003mks.2	uc003mkp.2	False	False	True	True	False
11282	MGAT4B	uc003mks.2	uc003mkr.2	False	False	True	True	False
11282	MGAT4B	uc003mks.2	uc003mkq.2	False	False	True	True	False
3745	KCNB1	uc002xur.1	uc002xus.1	False	False	False	False	False
57664	PLEKHA4	uc002pkx.2	uc002pkw.1	True	True	True	True	True
57664	PLEKHA4	uc002pkx.2	uc010eml.2	False	False	True	True	False
3750	KCND1	uc004dlx.1	uc004dlw.1	True	True	True	True	False
1143	CHRNB4	uc002bed.1	uc002bee.1	True	True	True	True	False
24144	TFIP11	uc003act.2	uc003acq.2	False	True	True	True	True
57088	PLSCR4	uc003evt.3	uc003evu.3	False	False	True	True	True
8842	PROM1	uc003goq.3	uc003gou.2	False	False	True	False	False
8842	PROM1	uc003goq.3	uc003gos.2	False	False	True	False	False
6819	SULT1C2	uc002tdy.2	uc010ywq.1	True	False	False	False	False
6818	SULT1A3	uc002dtb.2	uc002dsz.2	False	False	False	False	False
6818	SULT1A3	uc002dsw.2	uc002dxk.2	False	False	True	True	False
6818	SULT1A3	uc002dtb.2	uc002dta.2	False	False	False	False	False
6818	SULT1A3	uc002dtb.2	uc002dxk.2	False	False	True	True	False
6818	SULT1A3	uc002dtb.2	uc010byw.2	True	False	False	False	False
29940	DSE	uc003pwt.2	uc011ebg.1	False	False	False	False	False
29940	DSE	uc011ebg.1	uc003pwu.2	False	False	False	True	False
57085	AGTRAP	uc001asw.2	uc001asx.2	False	True	True	True	True
57082	CASC5	uc010bbt.1	uc010bbs.1	False	False	False	True	False
57082	CASC5	uc010bbt.1	uc001zme.2	False	False	True	True	False
10574	CCT7	uc002siz.2	uc002sja.2	True	False	True	False	False
11280	SCN11A	uc011ays.1	uc003cis.1	False	True	True	True	False
11280	SCN11A	uc011ays.1	uc010hhn.1	False	True	True	True	False
161823	ADAL	uc001zrh.2	uc001zri.1	True	False	True	True	False
161823	ADAL	uc001zrh.2	uc010udo.1	True	True	True	False	False
10393	ANAPC10	uc003ijv.3	uc003ijw.3	False	False	False	False	False
10393	ANAPC10	uc003ijw.3	uc003ijv.3	False	False	False	False	False
153129	SLC38A9	uc003jqf.2	uc010ivx.2	False	False	True	True	False
153129	SLC38A9	uc003jqf.2	uc003jqe.2	False	True	True	True	False
79370	BCL2L14	uc001rac.2	uc001rad.2	False	False	False	False	False
139231	FAM199X	uc004elw.2	uc004elx.2	False	False	True	True	True
6813	STXBP2	uc002mha.3	uc010dvk.2	True	False	True	False	False
9750	FAM65B	uc003neo.1	uc011djt.1	False	False	True	True	False
9750	FAM65B	uc011djs.1	uc003nep.2	False	False	True	True	False
9750	FAM65B	uc011dju.1	uc011djt.1	False	False	True	False	False
8840	WISP1	uc003yub.2	uc010meb.2	False	True	True	True	True
8840	WISP1	uc003yub.2	uc010med.2	False	True	True	False	True
136853	SRCRB4D	uc003ufb.2	uc003ufa.2	True	True	True	True	True
136853	SRCRB4D	uc003ufa.2	uc003ufb.2	True	True	True	True	True
1762	DMWD	uc002pdj.1	uc002pdk.1	False	False	True	False	False
