Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
11113	CIT	uc001txh.1	uc001txi.1	Nothing	PS50313|GLU_RICH_Glutamic_acid-rich_region_profile.	1/1	1/0	0.0	NA	0.0	NA	NA	NA
11113	CIT	uc001txh.1	uc001txi.1	Gained_in_tumor	PS50011|PROTEIN_KINASE_DOM_Protein_kinase_domain_profile.	1/0	1/1	NA	NA	NA	1.0	0.561965811966	0.561965811966
11113	CIT	uc001txh.1	uc001txi.1	Gained_in_tumor	PS51285|AGC_KINASE_CTER_AGC-kinase_C-terminal_domain_profile.	1/0	1/1	NA	NA	NA	1.0	0.149572649573	0.149572649573
11113	CIT	uc001txh.1	uc001txj.1	Nothing	PS50313|GLU_RICH_Glutamic_acid-rich_region_profile.	1/1	1/0	0.0	NA	0.0	NA	NA	NA
11113	CIT	uc001txh.1	uc001txj.1	Gained_in_tumor	PS50011|PROTEIN_KINASE_DOM_Protein_kinase_domain_profile.	1/0	1/1	NA	NA	NA	1.0	0.561965811966	0.561965811966
11113	CIT	uc001txh.1	uc001txj.1	Gained_in_tumor	PS51285|AGC_KINASE_CTER_AGC-kinase_C-terminal_domain_profile.	1/0	1/1	NA	NA	NA	1.0	0.149572649573	0.149572649573
11113	CIT	uc001txi.1	uc001txj.1	Nothing	PS50011|PROTEIN_KINASE_DOM_Protein_kinase_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
11113	CIT	uc001txi.1	uc001txj.1	Nothing	PS51285|AGC_KINASE_CTER_AGC-kinase_C-terminal_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
84552	PARD6G	uc002lny.2	uc010xfp.1	Lost_in_tumor	PS50106|PDZ_PDZ_domain_profile.	1/1	1/0	1.0	0.335740072202	0.335740072202	NA	NA	NA
56100	PCDHGB6	uc003lki.1	uc003lkj.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	1/5	1/5	0.0	NA	0.0	0.0	NA	0.0
56100	PCDHGB6	uc003lki.1	uc003lkj.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	2/5	2/5	0.0	NA	0.0	0.0	NA	0.0
56100	PCDHGB6	uc003lki.1	uc003lkj.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	3/5	3/5	0.0	NA	0.0	0.0	NA	0.0
56100	PCDHGB6	uc003lki.1	uc003lkj.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	4/5	4/5	0.0	NA	0.0	0.0	NA	0.0
56100	PCDHGB6	uc003lki.1	uc003lkj.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	5/5	5/5	0.0	NA	0.0	0.0	NA	0.0
56100	PCDHGB6	uc003lkj.1	uc003lki.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	1/5	1/5	0.0	NA	0.0	0.0	NA	0.0
56100	PCDHGB6	uc003lkj.1	uc003lki.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	2/5	2/5	0.0	NA	0.0	0.0	NA	0.0
56100	PCDHGB6	uc003lkj.1	uc003lki.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	3/5	3/5	0.0	NA	0.0	0.0	NA	0.0
56100	PCDHGB6	uc003lkj.1	uc003lki.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	4/5	4/5	0.0	NA	0.0	0.0	NA	0.0
56100	PCDHGB6	uc003lkj.1	uc003lki.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	5/5	5/5	0.0	NA	0.0	0.0	NA	0.0
56106	PCDHGA10	uc011day.1	uc003lkl.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	1/5	1/5	0.0	NA	0.0	0.0	NA	0.0
56106	PCDHGA10	uc011day.1	uc003lkl.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	2/5	2/5	0.0	NA	0.0	0.0	NA	0.0
56106	PCDHGA10	uc011day.1	uc003lkl.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	3/5	3/5	0.0	NA	0.0	0.0	NA	0.0
56106	PCDHGA10	uc011day.1	uc003lkl.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	4/5	4/5	0.0	NA	0.0	0.0	NA	0.0
56106	PCDHGA10	uc011day.1	uc003lkl.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	5/5	5/5	0.0	NA	0.0	0.0	NA	0.0
56106	PCDHGA10	uc003lkl.1	uc011day.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	1/5	1/5	0.0	NA	0.0	0.0	NA	0.0
56106	PCDHGA10	uc003lkl.1	uc011day.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	2/5	2/5	0.0	NA	0.0	0.0	NA	0.0
56106	PCDHGA10	uc003lkl.1	uc011day.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	3/5	3/5	0.0	NA	0.0	0.0	NA	0.0
56106	PCDHGA10	uc003lkl.1	uc011day.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	4/5	4/5	0.0	NA	0.0	0.0	NA	0.0
56106	PCDHGA10	uc003lkl.1	uc011day.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	5/5	5/5	0.0	NA	0.0	0.0	NA	0.0
79701	C17orf101	uc002keu.1	uc002ket.1	Lost_in_tumor	PS51471|FE2OG_OXY_Fe(2+)_2-oxoglutarate_dioxygenase_domain_profile.	1/1	1/0	0.323529411765	0.75	0.29203539823	NA	NA	NA
107	ADCY1	uc003tne.3	uc003tnd.2	Nothing	PS50125|GUANYLATE_CYCLASE_2_Guanylate_cyclase_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
1939	LGTN	uc001heh.2	uc009xbw.2	Nothing	PS50890|PUA_PUA_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
1939	LGTN	uc001heh.2	uc009xbw.2	Nothing	PS50296|SUI1_Translation_initiation_factor_SUI1_family_profile.	1/0	1/1	NA	NA	NA	0.0	NA	0.0
56105	PCDHGA11	uc003lko.1	uc003lkq.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	1/5	1/5	0.0	NA	0.0	0.0	NA	0.0
56105	PCDHGA11	uc003lko.1	uc003lkq.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	2/5	2/5	0.0	NA	0.0	0.0	NA	0.0
56105	PCDHGA11	uc003lko.1	uc003lkq.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	3/5	3/5	0.0	NA	0.0	0.0	NA	0.0
56105	PCDHGA11	uc003lko.1	uc003lkq.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	4/5	4/5	0.0	NA	0.0	0.0	NA	0.0
56105	PCDHGA11	uc003lko.1	uc003lkq.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	5/5	5/5	0.0	NA	0.0	0.0	NA	0.0
56105	PCDHGA11	uc003lkq.1	uc003lko.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	1/5	1/5	0.0	NA	0.0	0.0	NA	0.0
56105	PCDHGA11	uc003lkq.1	uc003lko.1	Nothing	PS50268|CADHERIN_2_Cadherins_domain_profile.	2/5	2/5	0.0	NA	0.0	0.0	NA	0.0
