Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
960	CD44	uc001mvx.2	uc001mvv.2	Nothing	PF00193|Extracellular_link_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
960	CD44	uc001mvx.2	uc001mvw.2	Nothing	PF00193|Extracellular_link_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
960	CD44	uc001mvx.2	uc001mvu.2	Nothing	PF00193|Extracellular_link_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
50649	ARHGEF4	uc010fmx.1	uc010fmw.1	Lost_in_tumor	PF00169|PH_domain	1/1	1/0	1.0	0.228310502283	0.228310502283	NA	NA	NA
50649	ARHGEF4	uc010fmx.1	uc010fmw.1	Lost_in_tumor	PF14604|Variant_SH3_domain	1/1	1/0	1.0	0.107305936073	0.107305936073	NA	NA	NA
50649	ARHGEF4	uc010fmx.1	uc010fmw.1	Lost_in_tumor	PF00621|RhoGEF_domain	1/1	1/0	1.0	0.221461187215	0.221461187215	NA	NA	NA
50649	ARHGEF4	uc010fmx.1	uc002tsb.1	Nothing	PF00169|PH_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
50649	ARHGEF4	uc010fmx.1	uc002tsb.1	Nothing	PF14604|Variant_SH3_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
50649	ARHGEF4	uc010fmx.1	uc002tsb.1	Nothing	PF00621|RhoGEF_domain	1/1	1/1	0.0	NA	0.0	0.335195530726	1.0	0.335195530726
50649	ARHGEF4	uc002tsc.1	uc002trz.1	Lost_in_tumor	PF00169|PH_domain	1/1	1/0	1.0	0.429184549356	0.429184549356	NA	NA	NA
50649	ARHGEF4	uc010fmx.1	uc002tsc.1	Nothing	PF00169|PH_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
50649	ARHGEF4	uc010fmx.1	uc002tsc.1	Lost_in_tumor	PF14604|Variant_SH3_domain	1/1	1/0	1.0	0.11838790932	0.11838790932	NA	NA	NA
50649	ARHGEF4	uc010fmx.1	uc002tsc.1	Lost_in_tumor	PF00621|RhoGEF_domain	1/1	1/0	0.907216494845	0.221662468514	0.216748768473	NA	NA	NA
28991	COMMD5	uc003zeo.3	uc003zem.2	Nothing	PF07258|HCaRG_protein	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
28991	COMMD5	uc003zeo.3	uc003zel.1	Lost_in_tumor	PF07258|HCaRG_protein	1/1	1/0	1.0	1.0	1.0	NA	NA	NA
270	AMPD1	uc001eff.1	uc001efe.1	Nothing	PF00962|Adenosine/AMP_deaminase	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc002qoc.2	uc002qoe.2	Nothing	PF00069|Protein_kinase_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc002qoc.2	uc002qod.2	Nothing	PF00069|Protein_kinase_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc002qoc.2	uc010etv.2	Nothing	PF00069|Protein_kinase_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc002qoe.2	uc002qoc.2	Nothing	PF00069|Protein_kinase_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
57472	CNOT6	uc003mlx.2	uc010jle.2	Nothing	PF13855|Leucine_rich_repeat	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
57472	CNOT6	uc003mlx.2	uc010jle.2	Nothing	PF03372|Endonuclease/Exonuclease/phosphatase_family	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
57472	CNOT6	uc003mlx.2	uc010jld.2	Nothing	PF13855|Leucine_rich_repeat	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
57472	CNOT6	uc003mlx.2	uc010jld.2	Nothing	PF03372|Endonuclease/Exonuclease/phosphatase_family	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
