Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
1312	COMT	uc002zqu.2	uc002zqv.2	False	False	False	False	False
1312	COMT	uc002zqu.2	uc002zqw.2	False	False	False	False	False
1312	COMT	uc002zqu.2	uc002zqt.2	True	False	True	False	False
3748	KCNC3	uc002prt.1	uc002pru.1	True	True	True	True	True
3749	KCNC4	uc001dzh.2	uc001dzi.2	True	True	True	True	False
3749	KCNC4	uc001dzh.2	uc001dzf.2	True	False	True	True	False
3749	KCNC4	uc001dzh.2	uc001dzg.2	False	False	True	True	False
3749	KCNC4	uc001dzh.2	uc009wfr.2	False	False	True	True	False
161823	ADAL	uc010udo.1	uc001zrh.2	True	True	True	False	False
161823	ADAL	uc010udo.1	uc001zri.1	True	True	True	True	False
53635	PTOV1	uc002pqc.1	uc010ybf.1	False	True	True	True	False
53635	PTOV1	uc002pqc.1	uc002pqb.3	False	True	True	True	False
53635	PTOV1	uc002pqc.1	uc002pqf.1	False	True	True	True	False
53635	PTOV1	uc002pqc.1	uc002pqe.1	False	False	False	False	False
53635	PTOV1	uc002pqc.1	uc002ppz.3	False	False	False	False	False
4627	MYH9	uc003apg.2	uc003aph.1	True	True	True	True	False
4629	MYH11	uc002ddy.2	uc010bvh.2	True	True	True	True	True
4629	MYH11	uc002ddy.2	uc002ddw.2	False	False	True	True	False
57661	PHRF1	uc001lqe.2	uc009yca.1	True	True	True	True	True
57661	PHRF1	uc001lqe.2	uc010qwd.1	False	False	True	True	False
57662	KIAA1543	uc002mgv.3	uc002mgu.3	False	False	False	True	False
57662	KIAA1543	uc002mgv.3	uc002mgw.2	False	True	True	True	False
57664	PLEKHA4	uc002pkx.2	uc002pkw.1	True	True	True	True	True
57664	PLEKHA4	uc002pkx.2	uc010eml.2	False	False	True	True	False
57669	EPB41L5	uc010flk.2	uc010flm.2	True	True	True	True	False
57669	EPB41L5	uc010flk.2	uc002tmg.2	False	False	True	True	False
51107	APH1A	uc001etz.1	uc010pby.1	False	False	False	False	False
51107	APH1A	uc001etz.1	uc010pbz.1	False	False	False	False	False
51107	APH1A	uc001etz.1	uc001ety.1	False	False	True	False	False
51105	PHF20L1	uc011lja.1	uc003ytr.2	False	True	True	True	False
51105	PHF20L1	uc011lja.1	uc003ytt.2	True	False	False	True	False
51105	PHF20L1	uc011lja.1	uc003ytq.2	True	True	True	True	False
51105	PHF20L1	uc011lja.1	uc003ytv.2	True	True	True	True	False
51105	PHF20L1	uc011lja.1	uc003yts.2	True	True	True	True	False
51102	MECR	uc001brq.1	uc001brs.1	True	True	True	True	False
