Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
6795	AURKC	uc002qoc.2	uc010etv.2	Nothing	PS50011|PROTEIN_KINASE_DOM_Protein_kinase_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc002qoc.2	uc002qod.2	Nothing	PS50011|PROTEIN_KINASE_DOM_Protein_kinase_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc010etv.2	uc002qoc.2	Nothing	PS50011|PROTEIN_KINASE_DOM_Protein_kinase_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc002qoc.2	uc002qoe.2	Nothing	PS50011|PROTEIN_KINASE_DOM_Protein_kinase_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc002qoe.2	uc002qoc.2	Nothing	PS50011|PROTEIN_KINASE_DOM_Protein_kinase_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
26123	TCTN3	uc001klb.3	uc001kla.3	Lost_in_tumor	PS50311|CYS_RICH_Cysteine-rich_region_profile.	1/1	1/0	1.0	0.12582781457	0.12582781457	NA	NA	NA
26123	TCTN3	uc001klb.3	uc010qoi.1	Nothing	PS50311|CYS_RICH_Cysteine-rich_region_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
4528	MTIF2	uc002ryo.2	uc010yox.1	Lost_in_tumor	PS51722|G_TR_2_Translational_(tr)-type_guanine_nucleotide-binding_(G)_domain_profile.	1/1	1/0	0.905882352941	0.465256797583	0.443804034582	NA	NA	NA
55297	CCDC91	uc001riq.2	uc009zjl.2	Nothing	PS50313|GLU_RICH_Glutamic_acid-rich_region_profile.	1/1	1/1	0.197628458498	0.252525252525	0.124688279302	0.0	NA	0.0
55297	CCDC91	uc009zjl.2	uc001riq.2	Nothing	PS50313|GLU_RICH_Glutamic_acid-rich_region_profile.	1/1	1/1	0.0	NA	0.0	0.197628458498	0.252525252525	0.124688279302
84698	CAPS2	uc001sxm.3	uc001sxl.3	Nothing	PS50222|EF_HAND_2_EF-hand_calcium-binding_domain_profile.	1/2	1/2	0.0	NA	0.0	0.0	NA	0.0
84698	CAPS2	uc001sxm.3	uc001sxl.3	Nothing	PS50222|EF_HAND_2_EF-hand_calcium-binding_domain_profile.	2/2	2/2	0.0	NA	0.0	0.0	NA	0.0
84698	CAPS2	uc001sxm.3	uc009zsa.2	Nothing	PS50222|EF_HAND_2_EF-hand_calcium-binding_domain_profile.	1/2	1/2	0.0	NA	0.0	0.0	NA	0.0
84698	CAPS2	uc001sxm.3	uc009zsa.2	Nothing	PS50222|EF_HAND_2_EF-hand_calcium-binding_domain_profile.	2/2	2/2	0.0	NA	0.0	0.0	NA	0.0
84698	CAPS2	uc001sxl.3	uc001sxm.3	Nothing	PS50222|EF_HAND_2_EF-hand_calcium-binding_domain_profile.	1/2	1/2	0.0	NA	0.0	0.0	NA	0.0
84698	CAPS2	uc001sxl.3	uc001sxm.3	Nothing	PS50222|EF_HAND_2_EF-hand_calcium-binding_domain_profile.	2/2	2/2	0.0	NA	0.0	0.0	NA	0.0
84698	CAPS2	uc009zsa.2	uc001sxm.3	Nothing	PS50222|EF_HAND_2_EF-hand_calcium-binding_domain_profile.	1/2	1/2	0.0	NA	0.0	0.0	NA	0.0
84698	CAPS2	uc009zsa.2	uc001sxm.3	Nothing	PS50222|EF_HAND_2_EF-hand_calcium-binding_domain_profile.	2/2	2/2	0.0	NA	0.0	0.0	NA	0.0
57480	PLEKHG1	uc011eem.1	uc003qny.1	Nothing	PS50010|DH_2_Dbl_homology_(DH)_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
57480	PLEKHG1	uc011eem.1	uc003qny.1	Nothing	PS50003|PH_DOMAIN_PH_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
274	BIN1	uc002toa.1	uc010yzf.1	Lost_in_tumor	PS50099|PRO_RICH_Proline-rich_region_profile.	1/1	1/0	0.25	0.178082191781	0.116071428571	NA	NA	NA
