###################################################################################################################################################################
#Enrichment results using 'Biological Process from Gene Ontology (GO)', created by dcGO Enrichment at 12/08/2016 12:58:36 (day/month/year hour:min:sec)
#Citation: Fang H, Gough J. (2012) dcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more. Nucleic Acids Res (PubMed ID: 23161684)
###################################################################################################################################################################
#
#'GroupID' column: group id (by default 'Group' for single group);
#'GO ID' column: the identifier of ontological terms;
#'GO term' column: the name of ontological terms;
#'xxxx (four levels)' column: term specificity (only appear when using slim version of the ontology; 1 for highly general, 2 for general, 3 for specific, and 4 for highly specific);
#'Z-score' column: Z-score being calculated based on hypergeometric distribution;
#'P-value' column: P-value being calculated based on hypergeometric distribution;
#'FDR' column: FDR used to assess the statistical significance of term enrichments;
#'#Domains (Overlaps|Group|Term|Background)' column: the number of domains, i.e., 'Overlaps' for the number of domains in the input group but also being annotated by the term; 'Group' for the number of domains in the input group (also annotatable by the ontology); 'Term' for the number of domains being annotated by the term; 'Backgroud' for the number of domains that are annotatable by the ontology.
#'Annotated domains' column: a list of semicolon-separated domains in the input group but also being annotated by the term.
#
GroupID	GO ID	GO term	PFAM slim (four levels)	Z-score	P-value	FDR	#Domains (Overlaps|Group|Term|Background)	Annotated domains
Group	GO:0023051	regulation of signaling	1	10.49	3.22e-19	2.11e-16	71|193|441|3527	PF00019;PF00027;PF00040;PF00057;PF00093;PF00122;PF00130;PF00169;PF00179;PF00240;PF00341;PF00388;PF00397;PF00400;PF00435;PF00452;PF00514;PF00581;PF00594;PF00610;PF00611;PF00612;PF00618;PF00640;PF00651;PF00683;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00780;PF00786;PF00969;PF01030;PF01064;PF01403;PF01417;PF01437;PF01585;PF01699;PF01753;PF01833;PF01843;PF02145;PF02148;PF02177;PF02214;PF02218;PF02377;PF02825;PF03165;PF03226;PF04055;PF06920;PF07525;PF07645;PF07653;PF07679;PF09324;PF10409;PF12763;PF12783;PF12796;PF12924;PF13716;PF13855;PF13920;PF14324;PF14429
Group	GO:0006928	cellular component movement	1	10.63	3.41e-18	7.36e-16	56|193|296|3527	PF00019;PF00024;PF00045;PF00052;PF00053;PF00055;PF00057;PF00130;PF00169;PF00226;PF00241;PF00341;PF00388;PF00397;PF00400;PF00413;PF00435;PF00594;PF00611;PF00612;PF00618;PF00640;PF00684;PF00688;PF00757;PF00778;PF00786;PF00989;PF01030;PF01064;PF01217;PF01403;PF01437;PF01833;PF01843;PF02148;PF02177;PF02181;PF02185;PF02214;PF03133;PF03607;PF06297;PF06367;PF06371;PF06920;PF07645;PF07653;PF07679;PF07719;PF10409;PF12348;PF12473;PF12924;PF13855;PF14429
Group	GO:0032879	regulation of localization	1	10.49	4.51e-18	7.36e-16	58|193|318|3527	PF00019;PF00027;PF00040;PF00045;PF00055;PF00076;PF00093;PF00098;PF00122;PF00130;PF00169;PF00254;PF00341;PF00388;PF00397;PF00400;PF00413;PF00435;PF00452;PF00514;PF00594;PF00610;PF00611;PF00612;PF00618;PF00622;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00969;PF01030;PF01064;PF01217;PF01403;PF01437;PF01833;PF01843;PF02145;PF02185;PF02214;PF04055;PF04144;PF04810;PF07645;PF07653;PF07679;PF08246;PF10409;PF12697;PF12796;PF13091;PF13716;PF13855;PF13903;PF13920
Group	GO:0048519	negative regulation of biological process	1	9.70	2.26e-18	7.36e-16	89|193|681|3527	PF00019;PF00024;PF00057;PF00076;PF00093;PF00098;PF00122;PF00130;PF00134;PF00169;PF00179;PF00226;PF00240;PF00241;PF00254;PF00341;PF00350;PF00388;PF00389;PF00397;PF00400;PF00435;PF00452;PF00514;PF00581;PF00594;PF00611;PF00622;PF00640;PF00643;PF00651;PF00683;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00780;PF00786;PF00789;PF00969;PF01030;PF01064;PF01335;PF01403;PF01417;PF01477;PF01585;PF01699;PF01753;PF01833;PF01909;PF02145;PF02148;PF02177;PF02181;PF02201;PF02214;PF02709;PF02826;PF03165;PF03226;PF04055;PF05033;PF05773;PF06297;PF07525;PF07645;PF07653;PF07679;PF07719;PF08210;PF08246;PF10277;PF10409;PF10421;PF12348;PF12697;PF12763;PF12796;PF12906;PF12924;PF13716;PF13733;PF13854;PF13855;PF13920;PF14324
Group	GO:0048518	positive regulation of biological process	1	9.55	8.38e-18	1.09e-15	87|193|667|3527	PF00019;PF00024;PF00025;PF00027;PF00040;PF00053;PF00055;PF00057;PF00076;PF00093;PF00098;PF00122;PF00130;PF00133;PF00134;PF00169;PF00179;PF00240;PF00241;PF00341;PF00388;PF00397;PF00400;PF00435;PF00452;PF00514;PF00594;PF00611;PF00612;PF00618;PF00640;PF00643;PF00651;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00780;PF00786;PF00969;PF00989;PF01030;PF01064;PF01335;PF01403;PF01417;PF01437;PF01476;PF01585;PF01699;PF01833;PF02177;PF02181;PF02185;PF02218;PF02825;PF02845;PF03165;PF04055;PF04144;PF05790;PF06367;PF06371;PF07525;PF07534;PF07645;PF07653;PF07679;PF07719;PF08210;PF08246;PF09816;PF10409;PF11717;PF12171;PF12697;PF12756;PF12763;PF12796;PF12924;PF13091;PF13716;PF13855;PF13920;PF14324
Group	GO:0048583	regulation of response to stimulus	1	9.20	6.70e-16	7.29e-14	71|193|503|3527	PF00019;PF00027;PF00040;PF00057;PF00093;PF00122;PF00130;PF00169;PF00179;PF00240;PF00341;PF00388;PF00397;PF00400;PF00452;PF00514;PF00581;PF00594;PF00610;PF00611;PF00612;PF00618;PF00640;PF00651;PF00683;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00780;PF00786;PF00969;PF01030;PF01064;PF01217;PF01403;PF01417;PF01437;PF01476;PF01585;PF01753;PF01833;PF01843;PF02145;PF02148;PF02177;PF02214;PF02218;PF02377;PF02825;PF03165;PF03226;PF04055;PF06920;PF07525;PF07534;PF07645;PF07653;PF07679;PF08246;PF10409;PF12763;PF12796;PF12924;PF13716;PF13855;PF13920;PF14324;PF14429
Group	GO:0051128	regulation of cellular component organization	1	9.56	9.99e-16	9.32e-14	56|193|333|3527	PF00019;PF00024;PF00025;PF00130;PF00134;PF00169;PF00179;PF00226;PF00241;PF00254;PF00341;PF00397;PF00400;PF00435;PF00452;PF00514;PF00594;PF00610;PF00611;PF00612;PF00618;PF00622;PF00640;PF00643;PF00651;PF00688;PF00757;PF00780;PF00786;PF01030;PF01064;PF01403;PF01437;PF01833;PF01843;PF02145;PF02148;PF02181;PF02185;PF03165;PF06367;PF06371;PF07645;PF07653;PF07679;PF07707;PF07719;PF08210;PF10409;PF12348;PF12796;PF12895;PF12906;PF13091;PF13855;PF13920
Group	GO:0010646	regulation of cell communication	1	9.48	1.52e-15	1.10e-13	56|193|336|3527	PF00019;PF00027;PF00040;PF00057;PF00093;PF00122;PF00130;PF00169;PF00179;PF00240;PF00341;PF00400;PF00435;PF00452;PF00514;PF00581;PF00594;PF00618;PF00640;PF00651;PF00683;PF00688;PF00689;PF00690;PF00702;PF00757;PF00778;PF00780;PF00786;PF00969;PF01030;PF01064;PF01403;PF01417;PF01437;PF01585;PF01699;PF01833;PF02145;PF02214;PF02218;PF02825;PF03165;PF03226;PF04055;PF07525;PF07645;PF07653;PF07679;PF10409;PF12763;PF12796;PF13716;PF13855;PF13920;PF14324
Group	GO:0030030	cell projection organization	1	9.46	1.18e-14	6.99e-13	46|193|246|3527	PF00019;PF00024;PF00025;PF00052;PF00053;PF00055;PF00130;PF00169;PF00341;PF00397;PF00400;PF00415;PF00435;PF00514;PF00581;PF00610;PF00611;PF00612;PF00618;PF00640;PF00651;PF00688;PF00757;PF00778;PF00780;PF00786;PF01030;PF01064;PF01403;PF01437;PF01833;PF02148;PF02177;PF02377;PF03133;PF03165;PF03607;PF07645;PF07653;PF07679;PF07719;PF12348;PF12796;PF12924;PF13716;PF13855
Group	GO:0065009	regulation of molecular function	1	8.99	1.11e-14	6.99e-13	60|193|396|3527	PF00019;PF00025;PF00027;PF00057;PF00076;PF00130;PF00134;PF00169;PF00179;PF00226;PF00240;PF00254;PF00341;PF00388;PF00397;PF00400;PF00415;PF00452;PF00514;PF00581;PF00594;PF00610;PF00611;PF00612;PF00618;PF00622;PF00640;PF00643;PF00688;PF00757;PF00778;PF00780;PF00786;PF00899;PF01335;PF01403;PF01437;PF01585;PF01909;PF02145;PF02148;PF02177;PF02377;PF03165;PF04055;PF06920;PF07525;PF07645;PF07653;PF07679;PF08246;PF09324;PF10421;PF12796;PF12924;PF13716;PF13855;PF13903;PF13920;PF14429
