Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
24140	FTSJ1	uc004djo.1	uc011mlw.1	Gained_in_tumor	PS51590|SAM_MT_MNV_L_Mononegavirus_L_protein_2'-O-ribose_methyltransferase_domain_profile.	1/0	1/1	NA	NA	NA	0.0175438596491	1.0	0.0175438596491
24140	FTSJ1	uc011mlw.1	uc004djo.1	Lost_in_tumor	PS51590|SAM_MT_MNV_L_Mononegavirus_L_protein_2'-O-ribose_methyltransferase_domain_profile.	1/1	1/0	0.0175438596491	1.0	0.0175438596491	NA	NA	NA
177	AGER	uc003oal.1	uc003oak.1	Nothing	PS50835|IG_LIKE_Ig-like_domain_profile.	1/3	1/1	0.5	0.166051660517	0.142405063291	0.0	NA	0.0
177	AGER	uc003oal.1	uc003oak.1	Lost_in_tumor	PS50835|IG_LIKE_Ig-like_domain_profile.	2/3	2/1	1.0	0.313653136531	0.313653136531	NA	NA	NA
177	AGER	uc003oal.1	uc003oak.1	Lost_in_tumor	PS50835|IG_LIKE_Ig-like_domain_profile.	3/3	3/1	1.0	0.357933579336	0.357933579336	NA	NA	NA
177	AGER	uc003oau.1	uc003oak.1	Nothing	PS50835|IG_LIKE_Ig-like_domain_profile.	1/3	1/1	0.5	0.166051660517	0.142405063291	0.0	NA	0.0
177	AGER	uc003oau.1	uc003oak.1	Lost_in_tumor	PS50835|IG_LIKE_Ig-like_domain_profile.	2/3	2/1	1.0	0.313653136531	0.313653136531	NA	NA	NA
177	AGER	uc003oau.1	uc003oak.1	Lost_in_tumor	PS50835|IG_LIKE_Ig-like_domain_profile.	3/3	3/1	1.0	0.357933579336	0.357933579336	NA	NA	NA
177	AGER	uc003oau.1	uc003oat.1	Nothing	PS50835|IG_LIKE_Ig-like_domain_profile.	1/3	1/3	0.0	NA	0.0	0.0	NA	0.0
177	AGER	uc003oau.1	uc003oat.1	Nothing	PS50835|IG_LIKE_Ig-like_domain_profile.	2/3	2/3	0.0	NA	0.0	0.0	NA	0.0
177	AGER	uc003oau.1	uc003oat.1	Nothing	PS50835|IG_LIKE_Ig-like_domain_profile.	3/3	3/3	0.0	NA	0.0	0.141592920354	1.0	0.141592920354
6815	STYX	uc001xaa.2	uc010tqy.1	Nothing	PS50056|TYR_PHOSPHATASE_2_Tyrosine_specific_protein_phosphatases_family_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6815	STYX	uc001xaa.2	uc010tqy.1	Nothing	PS50054|TYR_PHOSPHATASE_DUAL_Dual_specificity_protein_phosphatase_family_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
8846	ALKBH1	uc001xuc.1	uc001xud.1	Lost_in_tumor	PS51471|FE2OG_OXY_Fe(2+)_2-oxoglutarate_dioxygenase_domain_profile.	1/1	1/0	1.0	1.0	1.0	NA	NA	NA
8846	ALKBH1	uc001xud.1	uc001xuc.1	Gained_in_tumor	PS51471|FE2OG_OXY_Fe(2+)_2-oxoglutarate_dioxygenase_domain_profile.	1/0	1/1	NA	NA	NA	1.0	1.0	1.0
79370	BCL2L14	uc001rac.2	uc001rad.2	Nothing	PS50062|BCL2_FAMILY_BCL2-like_apoptosis_inhibitors_family_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
79370	BCL2L14	uc001rad.2	uc001rac.2	Nothing	PS50062|BCL2_FAMILY_BCL2-like_apoptosis_inhibitors_family_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
63906	GPATCH3	uc001bne.2	uc009vsp.1	Nothing	PS50313|GLU_RICH_Glutamic_acid-rich_region_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
63906	GPATCH3	uc001bne.2	uc009vsp.1	Nothing	PS50174|G_PATCH_G-patch_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jky.2	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	1/13	1/13	0.0	NA	0.0	0.0	NA	0.0
80108	ZFP2	uc003mjn.1	uc010jky.2	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	2/13	2/13	0.0	NA	0.0	0.0	NA	0.0
