Tumor	Normal_transcript	Tumor_transcript	Random	nIsoLength	tIsoLength	nIsoSpecificLength	tIsoSpecificLength
brca	uc010ifj.2	uc003gto.2	NonRandom	295	296	0	1
brca	uc001sjw.1	uc001sjx.1	NonRandom	151	151	8	8
brca	uc003ytj.2	uc010mdt.2	NonRandom	872	860	12	0
brca	uc001hpo.2	uc010pvj.1	NonRandom	366	359	366	359
brca	uc004aqc.1	uc004aqd.2	NonRandom	183	202	0	19
brca	uc001vys.2	uc001vyr.2	NonRandom	210	309	0	99
brca	uc003hzx.3	uc003hzw.3	NonRandom	634	496	152	14
brca	uc009zth.1	uc001tel.1	NonRandom	317	426	0	109
brca	uc010lvb.2	uc003xgx.2	NonRandom	666	666	0	0
brca	uc003dwv.1	uc003dwt.1	NonRandom	305	323	1	19
brca	uc001ycd.2	uc001ycb.1	NonRandom	635	281	354	0
brca	uc003tlz.2	uc003tma.2	NonRandom	114	128	5	19
brca	uc002axg.1	uc002axh.1	NonRandom	428	428	0	0
brca	uc002jqr.2	uc010wsx.1	NonRandom	653	676	0	23
brca	uc011baj.1	uc011bai.1	NonRandom	555	592	0	37
brca	uc010mvf.2	uc004bjj.3	NonRandom	1928	2201	0	273
brca	uc001uip.2	uc001uio.2	NonRandom	287	288	24	25
brca	uc003hbg.1	uc003hbe.1	NonRandom	879	894	0	15
brca	uc001joi.2	uc010qiy.1	NonRandom	332	234	98	0
brca	uc001ihz.2	uc001ihy.2	NonRandom	406	446	0	40
brca	uc001jzp.2	uc001jzq.2	NonRandom	130	133	0	3
brca	uc001nyx.2	uc001nyw.2	NonRandom	188	207	51	70
brca	uc010rre.1	uc001oss.2	NonRandom	1194	1205	0	11
brca	uc010mxy.2	uc004bur.3	NonRandom	241	265	0	24
brca	uc011avd.1	uc003byg.2	NonRandom	252	252	0	0
brca	uc001sev.2	uc001ses.2	NonRandom	235	153	82	0
brca	uc003qig.3	uc003qii.2	NonRandom	769	796	0	27
brca	uc011arv.1	uc011aru.1	NonRandom	585	584	1	0
