GeneId	Symbol	Normal_transcript	Tumor_transcript	AffectingMutatedFeature
2199	FBLN2	uc011ava.1	uc011avb.1	0
94239	H2AFV	uc003tlz.2	uc003tma.2	0
51527	C14orf129	uc001yfj.3	uc001yfl.2	0
10637	LEFTY1	uc001hpo.2	uc010pvj.1	1
80008	TMEM156	uc010ifj.2	uc003gto.2	0
3786	KCNQ3	uc003ytj.2	uc010mdt.2	0
9748	SLK	uc001kxp.1	uc001kxo.1	0
4637	MYL6	uc001sjw.1	uc001sjx.1	0
25817	FAM19A5	uc003bim.3	uc003bio.3	0
3275	PRMT2	uc002zjx.2	uc002zjy.2	0
2054	STX2	uc001uip.2	uc001uio.2	0
84106	PRAM1	uc002mkd.2	uc002mkc.2	0
5176	SERPINF1	uc002ftl.2	uc010cjw.2	0
126259	TMIGD2	uc010dtv.1	uc002lzx.1	0
79784	MYH14	uc002prr.1	uc002prq.1	0
55323	LARP6	uc002ass.2	uc002ast.2	0
401898	ZNF833	uc010dyg.2	uc002msl.3	0
92745	SLC38A5	uc004djk.3	uc010nid.2	0
6229	RPS24	uc001jzp.2	uc001jzq.2	0
286223	C9orf47	uc004aqc.1	uc004aqd.2	0
729096	BMS1P4	uc001juv.3	uc010qkm.1	0
9166	EBAG9	uc003ynf.2	uc003yng.2	0
57053	CHRNA10	uc010qxu.1	uc001lyf.2	1
7976	FZD3	uc010lvb.2	uc003xgx.2	0
54881	TEX10	uc004bas.2	uc011lvf.1	0
142689	ASB12	uc004dvq.1	uc004dvp.1	0
8876	VNN1	uc003qdo.2	uc003qdn.2	0
283807	FBXL22	uc002amn.2	uc002amm.1	0
144193	AMDHD1	uc009zth.1	uc001tel.1	0
79754	ASB13	uc001iig.2	uc001iii.2	0
10622	POLR3G	uc011cuc.1	uc003kjq.2	0
9605	C16orf7	uc002fom.1	uc002fol.1	0
3671	ISLR	uc002axg.1	uc002axh.1	0
960	CD44	uc001mvx.2	uc001mvv.2	0
2524	FUT2	uc002pke.3	uc010emc.2	0
23263	MCF2L	uc001vsr.2	uc010tjs.1	0
55633	TBC1D22B	uc003onn.2	uc003onp.2	0
2257	FGF12	uc003fsx.2	uc003fsy.2	0
414918	FAM116B	uc011arv.1	uc011aru.1	0
25921	ZDHHC5	uc001nkx.1	uc001nky.1	0
345193	LRIT3	uc003hzx.3	uc003hzw.3	1
399687	MYO18A	uc002hdt.1	uc002hdu.1	0
64064	OXCT2	uc001ceb.1	uc009vvu.1	0
4599	MX1	uc002yzi.2	uc010goq.2	0
8507	ENC1	uc003kdc.3	uc011css.1	0
23385	NCSTN	uc001fvx.2	uc010pjg.1	0
375686	SPATC1	uc011lkw.1	uc011lkx.1	0
8767	RIPK2	uc003yee.2	uc003yef.2	0
6818	SULT1A3	uc002dtb.2	uc002dta.2	0
439965	FAM35B2	uc010qfz.1	uc010qga.1	0
23654	PLXNB2	uc003bkv.3	uc003bkt.1	1
57596	BEGAIN	uc001yhq.2	uc001yhp.2	0
2289	FKBP5	uc003okx.2	uc011dtf.1	0
9989	PPP4R1	uc002kod.1	uc002kof.2	0
55335	NIPSNAP3B	uc004bci.2	uc004bcj.1	0
8111	GPR68	uc001xzg.2	uc001xzh.2	0
9708	PCDHGA8	uc003lkb.3	uc003lkd.1	0
23760	PITPNB	uc003adk.2	uc011akg.1	0
55763	EXOC1	uc003hbg.1	uc003hbe.1	0
9993	DGCR2	uc002zoq.1	uc011agr.1	1
23438	HARS2	uc003lgx.2	uc011czu.1	0
84255	SLC37A3	uc003vvo.2	uc003vvn.2	0
154807	VKORC1L1	uc003tum.1	uc003tul.2	0
26123	TCTN3	uc001klb.3	uc001kla.3	1
1525	CXADR	uc002yki.2	uc002ykj.1	0
667	DST	uc003pcx.3	uc003pdc.3	1
10672	GNA13	uc002jfc.2	uc010wqh.1	0
10390	CEPT1	uc001eai.1	uc009wfz.1	0
55186	SLC25A36	uc003etr.2	uc011bmz.1	0
9209	LRRFIP2	uc003cgs.3	uc003cgt.3	0
3693	ITGB5	uc003eho.2	uc010hrx.2	0
51585	PCF11	uc001ozx.3	uc001ozy.2	0
197258	FUK	uc002eyy.2	uc002eyz.2	0
79861	TUBAL3	uc001ihz.2	uc001ihy.2	0
55094	GPATCH1	uc002nug.1	uc002nuh.1	0
6786	STIM1	uc001lyv.2	uc009yeg.2	0
51117	COQ4	uc010mxy.2	uc004bur.3	0
4893	NRAS	uc009wgu.2	uc001efh.3	1
65083	NOL6	uc003zsz.2	uc003zsy.2	0
5528	PPP2R5D	uc003oth.2	uc010jyd.2	0
8506	CNTNAP1	uc002iay.2	uc010wgs.1	1
4151	MB	uc003aob.2	uc003anz.2	0
654364	NME1-NME2	uc002itj.2	uc002itk.2	0
51162	EGFL7	uc004cie.2	uc004cih.2	0
29986	SLC39A2	uc001vys.2	uc001vyr.2	0
9100	USP10	uc002fii.2	uc010vof.1	0
162494	RHBDL3	uc002hhf.1	uc010csx.1	0
10815	CPLX1	uc003gbj.2	uc003gbi.2	0
63917	GALNT11	uc010lqg.1	uc011kvm.1	0
401127	LOC401127	uc011byn.1	uc011byo.1	0
55622	TTC27	uc002rom.2	uc002ron.2	0
2037	EPB41L2	uc003qch.2	uc003qcd.1	0
6683	SPAST	uc002roc.2	uc002rod.2	0
51761	ATP8A2	uc010tdi.1	uc010tdj.1	0
51400	PPME1	uc001ouw.2	uc001oux.2	0
22985	ACIN1	uc001wis.3	uc001wir.3	0
2030	SLC29A1	uc003owu.1	uc003owy.1	0
55260	TMEM143	uc002pix.1	uc010xzo.1	0
342909	ZNF284	uc002oyg.1	uc010ejd.2	0
51386	EIF3L	uc003auf.2	uc003auh.2	0
23424	TDRD7	uc004axj.2	uc011luy.1	0
10397	NDRG1	uc003yug.2	uc003yue.1	0
255167	LOC255167	uc003jdr.2	uc003jdq.2	0
7184	HSP90B1	uc001tkb.1	uc010swg.1	0
7464	CORO2A	uc004aym.2	uc004ayk.2	0
285386	TPRG1	uc003frv.1	uc003frw.1	0
25923	ATL3	uc001nxk.1	uc010rmr.1	0
6815	STYX	uc001xaa.2	uc010tqy.1	0
285190	RGPD4	uc010ywk.1	uc010ywl.1	0
6608	SMO	uc003vor.2	uc003vos.2	1
5305	PIP4K2A	uc001irl.3	uc010qcu.1	0
22937	SCAP	uc003crh.1	uc003crg.2	0
