Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
6795	AURKC	uc002qoc.2	uc010etv.2	True	False	True	True	False
6795	AURKC	uc002qoc.2	uc002qod.2	False	False	True	False	False
6795	AURKC	uc010etv.2	uc002qoc.2	True	False	True	True	False
6795	AURKC	uc002qoc.2	uc002qoe.2	False	False	True	False	False
6795	AURKC	uc002qoe.2	uc002qoc.2	False	False	True	False	False
153770	PLAC8L1	uc011dbp.1	uc003lnv.2	False	True	False	False	False
153770	PLAC8L1	uc003lnv.2	uc011dbp.1	False	True	False	False	False
26123	TCTN3	uc001klb.3	uc001kla.3	False	False	True	True	True
26123	TCTN3	uc001klb.3	uc010qoi.1	False	False	False	False	False
271	AMPD2	uc001dyb.1	uc001dye.1	True	False	True	True	False
57291	KIAA0114	uc003gzo.2	uc003gzp.2	False	False	False	False	False
57291	KIAA0114	uc003gzp.2	uc003gzo.2	False	False	False	False	False
4528	MTIF2	uc002ryo.2	uc010yox.1	True	True	True	False	True
55297	CCDC91	uc001riq.2	uc009zjl.2	True	False	True	True	False
55297	CCDC91	uc009zjl.2	uc001riq.2	True	False	True	True	False
84698	CAPS2	uc001sxm.3	uc001sxl.3	False	False	True	True	False
84698	CAPS2	uc001sxm.3	uc009zsa.2	False	False	True	True	False
84698	CAPS2	uc001sxl.3	uc001sxm.3	False	False	True	True	False
84698	CAPS2	uc009zsa.2	uc001sxm.3	False	False	True	True	False
270	AMPD1	uc001eff.1	uc001efe.1	False	False	False	False	False
270	AMPD1	uc001efe.1	uc001eff.1	False	False	False	False	False
51263	MRPL30	uc002szv.2	uc002szu.2	False	False	False	False	False
55615	PRR5	uc003bex.1	uc003bew.1	False	False	True	False	False
55615	PRR5	uc003bex.1	uc003bfh.1	False	False	True	False	False
57480	PLEKHG1	uc011eem.1	uc003qny.1	False	False	True	True	False
274	BIN1	uc002toa.1	uc010yzf.1	True	False	True	True	True
274	BIN1	uc002toa.1	uc002tnx.1	False	False	True	True	True
274	BIN1	uc002toa.1	uc002tob.1	False	False	True	True	True
63027	SLC22A23	uc003mvo.3	uc003mvm.3	False	False	True	True	True
5986	RFNG	uc002kdj.2	uc002kdh.2	False	False	True	True	True
114789	SLC25A25	uc004bte.2	uc004btc.2	True	False	True	True	False
339883	C3orf35	uc003cha.3	uc003chb.2	False	False	True	True	False
339883	C3orf35	uc003chb.2	uc003cgz.1	False	False	True	True	False
339883	C3orf35	uc003chb.2	uc003cha.3	False	False	True	True	False
23309	SIN3B	uc002nex.2	uc002new.2	False	True	True	False	True
23309	SIN3B	uc010eaj.1	uc002new.2	False	True	True	True	True
23309	SIN3B	uc010xpi.1	uc002new.2	False	True	True	True	True
9528	TMEM59	uc001cwp.2	uc001cwr.2	False	False	False	False	False
26027	ACOT11	uc001cxl.1	uc001cxj.1	True	True	True	True	False
26027	ACOT11	uc001cxm.1	uc001cxj.1	True	True	True	True	False
22873	DZIP1	uc001vmk.2	uc001vmj.2	False	True	True	True	True
22873	DZIP1	uc001vmk.2	uc001vml.2	False	False	True	True	False
22873	DZIP1	uc001vmk.2	uc001vmm.2	False	True	True	True	True
90317	ZNF616	uc002pym.2	uc002pyn.2	True	True	True	True	True
90317	ZNF616	uc002pyn.2	uc002pym.2	True	True	True	True	True
114780	PKD1L2	uc002fgi.2	uc002fgf.1	False	True	True	True	True
28990	ASTE1	uc003env.1	uc011blj.1	False	True	True	True	False
51265	CDKL3	uc003kzg.3	uc011cxq.1	True	True	True	True	True
51265	CDKL3	uc011cxo.1	uc011cxp.1	False	False	True	True	False
55340	GIMAP5	uc003whr.1	uc010lpu.2	True	False	True	True	False
165829	GPR156	uc011bjf.1	uc011bjg.1	False	False	False	False	False
276	AMY1A	uc001duu.2	uc001duv.2	False	False	False	False	False
81853	TMEM14B	uc003mzk.3	uc010jor.2	False	False	False	False	False
9256	BZRAP1	uc002ivw.2	uc010dcs.2	True	True	True	True	True
9255	AIMP1	uc003hyh.2	uc003hyg.2	False	False	False	False	False
9255	AIMP1	uc011cfg.1	uc003hyh.2	False	False	False	False	False
