Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
10699	CORIN	uc011bzh.1	uc011bzf.1	Gained_in_tumor	PF00089|Trypsin	1/0	1/1	NA	NA	NA	1.0	0.647727272727	0.647727272727
10699	CORIN	uc011bzh.1	uc011bzf.1	Nothing	PF00057|Low-density_lipoprotein_receptor_domain_class_A	1/5	1/6	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzf.1	Nothing	PF00057|Low-density_lipoprotein_receptor_domain_class_A	2/5	2/6	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzf.1	Nothing	PF00057|Low-density_lipoprotein_receptor_domain_class_A	3/5	3/6	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzf.1	Nothing	PF00057|Low-density_lipoprotein_receptor_domain_class_A	4/5	4/6	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzf.1	Nothing	PF00057|Low-density_lipoprotein_receptor_domain_class_A	5/5	5/6	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzf.1	Gained_in_tumor	PF00057|Low-density_lipoprotein_receptor_domain_class_A	6/5	6/6	NA	NA	NA	1.0	0.945945945946	0.945945945946
10699	CORIN	uc011bzh.1	uc011bzf.1	Gained_in_tumor	PF15494|Scavenger_receptor_cysteine-rich_domain	1/0	1/1	NA	NA	NA	1.0	0.235795454545	0.235795454545
10699	CORIN	uc011bzh.1	uc011bzf.1	Nothing	PF01392|Fz_domain	1/2	1/2	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzf.1	Nothing	PF01392|Fz_domain	2/2	2/2	0.00909090909091	0.00719424460432	0.00403225806452	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzg.1	Gained_in_tumor	PF00089|Trypsin	1/0	1/1	NA	NA	NA	1.0	0.647727272727	0.647727272727
10699	CORIN	uc011bzh.1	uc011bzg.1	Nothing	PF00057|Low-density_lipoprotein_receptor_domain_class_A	1/5	1/6	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzg.1	Nothing	PF00057|Low-density_lipoprotein_receptor_domain_class_A	2/5	2/6	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzg.1	Nothing	PF00057|Low-density_lipoprotein_receptor_domain_class_A	3/5	3/6	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzg.1	Nothing	PF00057|Low-density_lipoprotein_receptor_domain_class_A	4/5	4/6	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzg.1	Nothing	PF00057|Low-density_lipoprotein_receptor_domain_class_A	5/5	5/6	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzg.1	Gained_in_tumor	PF00057|Low-density_lipoprotein_receptor_domain_class_A	6/5	6/6	NA	NA	NA	1.0	0.945945945946	0.945945945946
10699	CORIN	uc011bzh.1	uc011bzg.1	Gained_in_tumor	PF15494|Scavenger_receptor_cysteine-rich_domain	1/0	1/1	NA	NA	NA	1.0	0.235795454545	0.235795454545
10699	CORIN	uc011bzh.1	uc011bzg.1	Nothing	PF01392|Fz_domain	1/2	1/2	0.0	NA	0.0	0.0	NA	0.0
10699	CORIN	uc011bzh.1	uc011bzg.1	Nothing	PF01392|Fz_domain	2/2	2/2	0.0	NA	0.0	0.0	NA	0.0
10514	MYBBP1A	uc002fxz.3	uc002fyb.3	Nothing	PF04931|DNA_polymerase_phi	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
282809	POC1B	uc001tbc.2	uc009zsq.2	Lost_in_tumor	PF00400|WD_domain,_G-beta_repeat	1/7	1/0	1.0	1.0	1.0	NA	NA	NA
282809	POC1B	uc001tbc.2	uc009zsq.2	Lost_in_tumor	PF00400|WD_domain,_G-beta_repeat	2/7	2/0	1.0	1.0	1.0	NA	NA	NA
