Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
55335	NIPSNAP3B	uc004bci.2	uc004bcj.1	Lost_in_tumor	PF07978|NIPSNAP	1/2	1/0	1.0	1.0	1.0	NA	NA	NA
55335	NIPSNAP3B	uc004bci.2	uc004bcj.1	Lost_in_tumor	PF07978|NIPSNAP	2/2	2/0	1.0	1.0	1.0	NA	NA	NA
23503	ZFYVE26	uc001xka.2	uc010tsz.1	Lost_in_tumor	PF01363|FYVE_zinc_finger	1/1	1/0	1.0	1.0	1.0	NA	NA	NA
79843	FAM124B	uc002vnx.2	uc002vnw.2	Nothing	PF15067|FAM124_family	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
65083	NOL6	uc003zsz.2	uc003zsy.2	Nothing	PF03813|Nrap_protein	1/1	1/1	0.802874743326	0.826638477801	0.687170474517	0.0	NA	0.0
5467	PPARD	uc003okm.2	uc011dtc.1	Nothing	PF00104|Ligand-binding_domain_of_nuclear_hormone_receptor	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
5467	PPARD	uc003okm.2	uc011dtc.1	Lost_in_tumor	PF00105|Zinc_finger,_C4_type_(two_domains)	1/1	1/0	1.0	0.673469387755	0.673469387755	NA	NA	NA
5467	PPARD	uc003okm.2	uc011dtb.1	Nothing	PF00104|Ligand-binding_domain_of_nuclear_hormone_receptor	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
5467	PPARD	uc003okm.2	uc011dtb.1	Nothing	PF00105|Zinc_finger,_C4_type_(two_domains)	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
622	BDH1	uc003fxs.2	uc003fxu.2	Nothing	PF00106|short_chain_dehydrogenase	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
622	BDH1	uc003fxs.2	uc003fxr.2	Nothing	PF00106|short_chain_dehydrogenase	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
23509	POFUT1	uc002wxp.2	uc010ztu.1	Nothing	PF10250|GDP-fucose_protein_O-fucosyltransferase	1/1	1/1	0.523668639053	0.838862559242	0.475806451613	0.0	NA	0.0
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF00092|von_Willebrand_factor_type_A_domain	1/3	1/0	1.0	0.0812819321876	0.0812819321876	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF00092|von_Willebrand_factor_type_A_domain	2/3	2/0	1.0	0.0678123548537	0.0678123548537	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF00092|von_Willebrand_factor_type_A_domain	3/3	3/0	1.0	0.0771017185323	0.0771017185323	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Nothing	PF01826|Trypsin_Inhibitor_like_cysteine_rich_domain	1/5	1/1	0.0	NA	0.0	0.0	NA	0.0
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF01826|Trypsin_Inhibitor_like_cysteine_rich_domain	2/5	2/1	0.836363636364	0.0213655364608	0.0212765957447	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF01826|Trypsin_Inhibitor_like_cysteine_rich_domain	3/5	3/1	1.0	0.0185787273572	0.0185787273572	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF01826|Trypsin_Inhibitor_like_cysteine_rich_domain	4/5	4/1	1.0	0.0236878773804	0.0236878773804	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF01826|Trypsin_Inhibitor_like_cysteine_rich_domain	5/5	5/1	1.0	0.0236878773804	0.0236878773804	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Nothing	PF00094|von_Willebrand_factor_type_D_domain	1/4	1/2	0.0	NA	0.0	0.0	NA	0.0
7450	VWF	uc001qnn.1	uc010set.1	Nothing	PF00094|von_Willebrand_factor_type_D_domain	2/4	2/2	0.0	NA	0.0	0.0	NA	0.0
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF00094|von_Willebrand_factor_type_D_domain	3/4	3/2	1.0	0.0668834184858	0.0668834184858	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF00094|von_Willebrand_factor_type_D_domain	4/4	4/2	1.0	0.0705991639573	0.0705991639573	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Nothing	PF08742|C8_domain	1/4	1/2	0.0	NA	0.0	0.0	NA	0.0
7450	VWF	uc001qnn.1	uc010set.1	Nothing	PF08742|C8_domain	2/4	2/2	0.0	NA	0.0	0.0	NA	0.0
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF08742|C8_domain	3/4	3/2	1.0	0.032977241059	0.032977241059	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF08742|C8_domain	4/4	4/2	1.0	0.0297259637715	0.0297259637715	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF00093|von_Willebrand_factor_type_C_domain	1/2	1/0	1.0	0.0292614955876	0.0292614955876	NA	NA	NA
7450	VWF	uc001qnn.1	uc010set.1	Lost_in_tumor	PF00093|von_Willebrand_factor_type_C_domain	2/2	2/0	1.0	0.0287970274036	0.0287970274036	NA	NA	NA
2744	GLS	uc010zgj.1	uc002usf.2	Nothing	PF04960|Glutaminase	1/1	1/1	0.0	NA	0.0	0.881118881119	0.509090909091	0.476370510397
2744	GLS	uc010zgj.1	uc002usf.2	Nothing	PF12796|Ankyrin_repeats_(3_copies)	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
624	BDKRB2	uc001yfg.2	uc010avm.1	Nothing	PF00001|7_transmembrane_receptor_(rhodopsin_family)	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
624	BDKRB2	uc010avm.1	uc001yfg.2	Nothing	PF00001|7_transmembrane_receptor_(rhodopsin_family)	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
