Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
26123	TCTN3	uc001klb.3	uc001kla.3	Nothing	PF07773|Protein_of_unknown_function_(DUF1619)	1/1	1/1	0.206666666667	0.41059602649	0.159383033419	0.0	NA	0.0
26123	TCTN3	uc001klb.3	uc010qoi.1	Nothing	PF07773|Protein_of_unknown_function_(DUF1619)	1/1	1/1	0.493333333333	1.0	0.493333333333	0.0	NA	0.0
6799	SULT1A2	uc002dqh.1	uc002dqg.1	Nothing	PF00685|Sulfotransferase_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
271	AMPD2	uc001dyb.1	uc001dye.1	Nothing	PF00962|Adenosine/AMP_deaminase	1/1	1/1	0.790640394089	0.493846153846	0.436734693878	0.0	NA	0.0
22879	MON1B	uc002fez.2	uc010vng.1	Nothing	PF03164|Trafficking_protein_Mon1	1/1	1/1	0.140515222482	0.377358490566	0.114068441065	0.0134408602151	0.384615384615	0.0131578947368
2686	GGT7	uc002xay.2	uc010gex.2	Lost_in_tumor	PF01019|Gamma-glutamyltranspeptidase	1/1	1/0	1.0	1.0	1.0	NA	NA	NA
402055	SRRD	uc003acp.3	uc010gve.2	Nothing	PF07985|SRR1	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
55839	CENPN	uc002ffx.2	uc010vnl.1	Nothing	PF05238|Kinetochore_protein_CHL4_like	1/1	1/2	0.101796407186	1.0	0.101796407186	0.0	NA	0.0
55839	CENPN	uc002ffx.2	uc010vnl.1	Nothing	PF05238|Kinetochore_protein_CHL4_like	2/1	2/2	NA	NA	NA	0.0	NA	0.0
55839	CENPN	uc002ffx.2	uc002ffw.3	Nothing	PF05238|Kinetochore_protein_CHL4_like	1/1	1/1	0.482035928144	0.993827160494	0.480597014925	0.0597826086957	0.407407407407	0.055
9529	BAG5	uc001ynj.1	uc001yni.1	Nothing	PF02179|BAG_domain	1/4	1/4	0.0	NA	0.0	0.0	NA	0.0
9529	BAG5	uc001ynj.1	uc001yni.1	Nothing	PF02179|BAG_domain	2/4	2/4	0.0	NA	0.0	0.0	NA	0.0
9529	BAG5	uc001ynj.1	uc001yni.1	Nothing	PF02179|BAG_domain	3/4	3/4	0.0	NA	0.0	0.0	NA	0.0
9529	BAG5	uc001ynj.1	uc001yni.1	Nothing	PF02179|BAG_domain	4/4	4/4	0.0	NA	0.0	0.0	NA	0.0
255104	TMCO4	uc001bcn.2	uc001bcm.2	Nothing	PF05277|Protein_of_unknown_function_(DUF726)	1/1	1/2	0.50447761194	1.0	0.50447761194	0.0	NA	0.0
255104	TMCO4	uc001bcn.2	uc001bcm.2	Nothing	PF05277|Protein_of_unknown_function_(DUF726)	2/1	2/2	NA	NA	NA	0.0	NA	0.0
56124	PCDHB12	uc003liz.2	uc011dak.1	Lost_in_tumor	PF08266|Cadherin-like	1/1	1/0	1.0	0.240356083086	0.240356083086	NA	NA	NA
56124	PCDHB12	uc003liz.2	uc011dak.1	Nothing	PF00028|Cadherin_domain	1/5	1/3	0.0	NA	0.0	0.0	NA	0.0
56124	PCDHB12	uc003liz.2	uc011dak.1	Nothing	PF00028|Cadherin_domain	2/5	2/3	0.0	NA	0.0	0.0	NA	0.0
56124	PCDHB12	uc003liz.2	uc011dak.1	Nothing	PF00028|Cadherin_domain	3/5	3/3	0.0	NA	0.0	0.0	NA	0.0
56124	PCDHB12	uc003liz.2	uc011dak.1	Lost_in_tumor	PF00028|Cadherin_domain	4/5	4/3	1.0	0.270029673591	0.270029673591	NA	NA	NA
56124	PCDHB12	uc003liz.2	uc011dak.1	Lost_in_tumor	PF00028|Cadherin_domain	5/5	5/3	1.0	0.26706231454	0.26706231454	NA	NA	NA
22876	INPP5F	uc001lep.2	uc001leo.2	Gained_in_tumor	PF02383|SacI_homology_domain	1/0	1/1	NA	NA	NA	1.0	0.591414944356	0.591414944356
22876	INPP5F	uc001lep.2	uc001leo.2	Nothing	PF12456|Inositol_phosphatase	1/1	1/1	0.0142857142857	0.0526315789474	0.0113636363636	0.372727272727	0.0651828298887	0.0587392550143
55293	UEVLD	uc001mot.2	uc010rdf.1	Nothing	PF02866|lactate/malate_dehydrogenase,_alpha/beta_C-terminal_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
55293	UEVLD	uc001mot.2	uc010rdf.1	Nothing	PF05743|UEV_domain	1/1	1/1	0.183333333333	1.0	0.183333333333	0.0	NA	0.0
55293	UEVLD	uc001mot.2	uc010rdf.1	Nothing	PF00056|lactate/malate_dehydrogenase,_NAD_binding_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
55293	UEVLD	uc001mot.2	uc010rdg.1	Nothing	PF02866|lactate/malate_dehydrogenase,_alpha/beta_C-terminal_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
55293	UEVLD	uc001mot.2	uc010rdg.1	Lost_in_tumor	PF05743|UEV_domain	1/1	1/0	0.916666666667	0.846153846154	0.785714285714	NA	NA	NA
55293	UEVLD	uc001mot.2	uc010rdg.1	Nothing	PF00056|lactate/malate_dehydrogenase,_NAD_binding_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
55293	UEVLD	uc001mot.2	uc001mou.2	Lost_in_tumor	PF02866|lactate/malate_dehydrogenase,_alpha/beta_C-terminal_domain	1/1	1/0	0.608391608392	0.90625	0.572368421053	NA	NA	NA
55293	UEVLD	uc001mot.2	uc001mou.2	Nothing	PF05743|UEV_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
55293	UEVLD	uc001mot.2	uc001mou.2	Nothing	PF00056|lactate/malate_dehydrogenase,_NAD_binding_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
55165	CEP55	uc009xug.2	uc001kiq.3	Nothing	PF12180|TSG101_and_ALIX_binding_domain_of_CEP55	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
153770	PLAC8L1	uc011dbp.1	uc003lnv.2	Gained_in_tumor	PF04749|PLAC8_family	1/0	1/1	NA	NA	NA	1.0	1.0	1.0
153770	PLAC8L1	uc003lnv.2	uc011dbp.1	Lost_in_tumor	PF04749|PLAC8_family	1/1	1/0	1.0	1.0	1.0	NA	NA	NA
