Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
10699	CORIN	uc011bzh.1	uc011bzf.1	True	True	True	True	True
10699	CORIN	uc011bzh.1	uc011bzg.1	True	True	True	False	False
10514	MYBBP1A	uc002fxz.3	uc002fyb.3	False	False	True	True	False
282809	POC1B	uc001tbc.2	uc009zsq.2	True	True	True	True	True
282809	POC1B	uc001tbc.2	uc001tbb.2	True	True	True	False	True
644186	C22orf41	uc003bmj.3	uc010hbe.2	False	False	True	False	False
8732	RNGTT	uc003pmr.2	uc011dzu.1	True	False	True	True	False
197258	FUK	uc002eyy.2	uc002eyz.2	False	True	True	False	False
80347	COASY	uc002hzz.2	uc002iab.2	True	True	True	True	False
80347	COASY	uc002hzz.2	uc002iad.2	False	False	False	False	False
79726	WDR59	uc002fdh.1	uc002fdf.1	True	True	True	True	True
79726	WDR59	uc002fdh.1	uc002fdg.1	True	True	True	True	True
4199	ME1	uc003pjy.2	uc011dzc.1	True	False	True	False	False
4199	ME1	uc003pjy.2	uc011dzb.1	True	False	True	False	False
4199	ME1	uc011dzb.1	uc003pjy.2	True	False	True	False	False
89797	NAV2	uc001mpt.2	uc001mpv.2	False	False	True	True	True
89797	NAV2	uc001mpt.2	uc001mpr.3	False	True	True	True	True
89797	NAV2	uc009yhx.2	uc001mpv.2	False	False	True	True	True
9772	KIAA0195	uc002jnz.3	uc002job.3	False	False	True	True	False
9772	KIAA0195	uc002jnz.3	uc010wsb.1	False	False	True	True	False
57828	CATSPERG	uc002oig.3	uc002oih.3	False	False	False	False	False
57828	CATSPERG	uc002oig.3	uc010efw.2	False	True	True	False	False
197259	MLKL	uc002fdb.2	uc002fdc.2	True	True	True	True	True
6431	SFRS6	uc010zwg.1	uc002xki.2	True	True	True	True	True
51	ACOX1	uc002jqe.2	uc010wsq.1	True	False	True	True	False
51	ACOX1	uc002jqf.2	uc002jqe.2	False	False	False	False	False
152273	FGD5	uc003bzc.2	uc003bzd.2	True	False	True	True	True
80833	APOL3	uc003aos.2	uc003aot.2	False	False	True	False	False
79725	THAP9	uc003hnt.2	uc003hnv.2	False	True	True	False	True
91452	ACBD5	uc001ito.2	uc010qdo.1	True	True	True	True	False
91452	ACBD5	uc010qdm.1	uc010qdo.1	True	True	True	True	False
91452	ACBD5	uc010qdn.1	uc010qdo.1	False	False	True	True	False
9774	BCLAF1	uc003qgy.1	uc011edb.1	False	True	True	True	True
9776	KIAA0652	uc001ncz.2	uc010rgv.1	False	False	True	True	False
5260	PHKG1	uc003try.1	uc011kdd.1	True	False	True	True	False
5260	PHKG1	uc011kdd.1	uc011kdc.1	True	False	True	True	False
55128	TRIM68	uc001lzf.1	uc010qyj.1	True	True	True	False	True
285440	CYP4V2	uc003iyw.3	uc003iyx.1	True	True	True	True	False
285440	CYP4V2	uc003iyw.3	uc010ism.2	True	True	True	True	False
115294	PCMTD1	uc003xqx.3	uc011ldm.1	True	False	True	False	False
115290	FBXO17	uc002okf.1	uc002okg.1	False	False	False	False	False
115290	FBXO17	uc002okg.1	uc002okf.1	False	False	False	False	False
8195	MKKS	uc002wnu.1	uc010zrd.1	True	True	True	False	False
10518	CIB2	uc002bdc.1	uc002bdb.1	True	False	True	False	False
285362	SUMF1	uc003bpz.1	uc011ast.1	True	False	True	True	False
8863	PER3	uc001aop.2	uc001aoo.2	False	False	True	True	False
