id	Feature	ProteomeCounts	ExpectedSwitchFrequency	LostNum	GainNum	fc_g	fc_l	fc_m	p_g	adjp_g	p_l	adjp_l	p_m	adjp_m	switches_g	switches_l
PF00001	PF00001|7_transmembrane_receptor_(rhodopsin_family)	804	0.002987170770311089	55	0	0.0	0.22164524973543265	1.1913311380263343	1.0	1.0	1.0	1.0	1.5069725648201766e-15	7.67501127262916e-12	0	2
PF00002	PF00002|7_transmembrane_receptor_(Secretin_family)	266	9.88292817043221e-4	15	5	0.30697344355975187	0.18270961803207914	1.2383247081675148	0.9996806552505759	1.0	1.0	1.0	4.44718841232358e-5	0.22320438641452048	1	3
PF00003	PF00003|7_transmembrane_sweet-taste_receptor_of_3_GCPR	53	1.969154861025967e-4	4	0	0.0	0.24453211771840525	1.071696257537822	1.0	1.0	0.9999307793559413	1.0	0.26459017723287076	1.0	0	1
PF00004	PF00004|ATPase_family_associated_with_various_cellular_activities_(AAA)	423	0.0015716085022905357	89	0	0.0	0.6817127655305659	0.8350921539404806	1.0	1.0	0.9999514724005534	1.0	0.99723145285236	1.0	0	3
PF00005	PF00005|ABC_transporter	585	0.002173501120189039	156	23	0.6420730009225853	0.8640134826050319	0.992113750155585	0.990940204154415	1.0	0.9712560305295892	1.0	0.5669439163798071	1.0	3	9
PF00006	PF00006|ATP_synthase_alpha/beta_family,_nucleotide-binding_domain	30	1.114615959071302e-4	NA	NA	NA	NA	1.0513319188257277	NA	NA	NA	NA	0.38532581898440943	1.0	NA	NA
PF00007	PF00007|Cystine-knot_domain	26	9.660004978617951e-5	NA	NA	NA	NA	0.9013354904749425	NA	NA	NA	NA	0.6971191458103654	1.0	NA	NA
PF00008	PF00008|EGF-like_domain	1227	0.004558779272601625	152	66	0.8784394091499599	0.4013754564668852	1.0810671051175418	0.8685144871120221	1.0	1.0	1.0	0.13317803555479782	1.0	5	4
PF00009	PF00009|Elongation_factor_Tu_GTP_binding_domain	118	4.3841561056804545e-4	55	7	0.9687873761156915	1.5101930575193885	0.7580179617792072	0.5833627969491555	1.0	0.0024376724369249625	1.0	0.9994775793108948	1.0	1	1
PF00010	PF00010|Helix-loop-helix_DNA-binding_domain	494	0.0018354009459374107	62	38	1.2562297844137538	0.4066460216713966	1.172374374833724	0.09666517710412591	1.0	1.0	1.0	0.028140172004315366	1.0	3	4
PF00011	PF00011|Hsp20/alpha_crystallin_family	39	1.4490007467926925e-4	5	0	0.0	0.41539109740626534	0.4770739099024636	1.0	1.0	0.9925958582327814	1.0	0.9994036692421253	1.0	0	1
PF00012	PF00012|Hsp70_protein	133	4.941464085216105e-4	5	0	0.0	0.12180641202138608	0.7765687892040142	1.0	1.0	0.999999999999807	1.0	0.9999966741299434	1.0	0	1
PF00013	PF00013|KH_domain	656	0.002437293563835914	57	22	0.5476855462535573	0.2815287833945512	1.0161117797746695	0.999333239344185	1.0	1.0	1.0	0.41758188192091283	1.0	1	5
PF00014	PF00014|Kunitz/Bovine_pancreatic_trypsin_inhibitor_domain	167	6.204695505496915e-4	136	20	1.9558068499854848	2.6386040486740496	1.2830157594501357	0.004375574595068057	1.0	1.2351671926228012e-22	1.527901817274405e-19	0.05382039357897492	1.0	1	5
PF00017	PF00017|SH2_domain	847	0.0031469323911113094	302	31	0.59771027522874	1.1552482515350633	1.0824840655881205	0.999301736189492	1.0	0.007475085186912788	1.0	0.0785489280061746	1.0	6	15
PF00018	PF00018|SH3_domain	872	0.003239817054367251	331	33	0.6180304787998858	1.2298815771599723	0.9378625121334655	0.9989117515979148	1.0	1.4353864374290696e-4	0.1340650932558751	0.806923180014446	1.0	3	8
PF00019	PF00019|Transforming_growth_factor_beta_like_domain	95	3.5296172037257897e-4	475	0	0.0	16.20025279884435	1.1026374846299336	1.0	1.0	0.0	0.0	0.15319136290096935	1.0	0	2
PF00020	PF00020|TNFR/NGFR_cysteine-rich_region	215	7.988081040010998e-4	34	0	0.0	0.5123800885215887	0.7355434822104291	1.0	1.0	0.9999955399024261	1.0	0.974020605681919	1.0	0	2
PF00021	PF00021|u-PAR/Ly-6_domain	105	3.901155856749557e-4	12	0	0.0	0.37029149254501365	0.9148484607772353	1.0	1.0	0.9999870747067982	1.0	0.7357315236031028	1.0	0	2
