Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
26123	TCTN3	uc001klb.3	uc001kla.3	Lost_in_tumor	PS50311|CYS_RICH_Cysteine-rich_region_profile.	1/1	1/0	1.0	0.12582781457	0.12582781457	NA	NA	NA
84695	LOXL3	uc002smp.1	uc002smo.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	1/4	1/2	0.0	NA	0.0	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc002smo.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	2/4	2/2	0.55	0.152354570637	0.135467980296	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc002smo.1	Lost_in_tumor	PS50287|SRCR_2_SRCR_domain_profile.	3/4	3/2	1.0	0.279778393352	0.279778393352	NA	NA	NA
84695	LOXL3	uc002smp.1	uc002smo.1	Lost_in_tumor	PS50287|SRCR_2_SRCR_domain_profile.	4/4	4/2	1.0	0.313019390582	0.313019390582	NA	NA	NA
84695	LOXL3	uc002smp.1	uc010ffm.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	1/4	1/4	0.0	NA	0.0	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc010ffm.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	2/4	2/4	0.0	NA	0.0	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc010ffm.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	3/4	3/4	0.0	NA	0.0	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc010ffm.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	4/4	4/4	0.589473684211	1.0	0.589473684211	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc010ffn.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	1/4	1/3	0.0	NA	0.0	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc010ffn.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	2/4	2/3	0.0	NA	0.0	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc010ffn.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	3/4	3/3	0.0	NA	0.0	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc010ffn.1	Lost_in_tumor	PS50287|SRCR_2_SRCR_domain_profile.	4/4	4/3	1.0	0.779310344828	0.779310344828	NA	NA	NA
84695	LOXL3	uc002smp.1	uc002smq.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	1/4	1/3	0.0	NA	0.0	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc002smq.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	2/4	2/3	0.0	NA	0.0	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc002smq.1	Nothing	PS50287|SRCR_2_SRCR_domain_profile.	3/4	3/3	0.0	NA	0.0	0.0	NA	0.0
84695	LOXL3	uc002smp.1	uc002smq.1	Lost_in_tumor	PS50287|SRCR_2_SRCR_domain_profile.	4/4	4/3	1.0	0.779310344828	0.779310344828	NA	NA	NA
9255	AIMP1	uc003hyh.2	uc011cfg.1	Nothing	PS50079|NLS_BP_Bipartite_nuclear_localization_signal_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
9255	AIMP1	uc003hyh.2	uc011cfg.1	Nothing	PS50886|TRBD_tRNA-binding_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
9255	AIMP1	uc003hyh.2	uc003hyg.2	Nothing	PS50079|NLS_BP_Bipartite_nuclear_localization_signal_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
9255	AIMP1	uc003hyh.2	uc003hyg.2	Nothing	PS50886|TRBD_tRNA-binding_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc010xkh.1	Nothing	PS50805|KRAB_Krueppel-associated_box_(KRAB)_profile.	1/1	1/1	0.408450704225	0.408450704225	0.256637168142	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc010xkh.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	1/9	1/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc010xkh.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	2/9	2/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc010xkh.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	3/9	3/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc010xkh.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	4/9	4/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc010xkh.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	5/9	5/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc010xkh.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	6/9	6/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc010xkh.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	7/9	7/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc010xkh.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	8/9	8/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc010xkh.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	9/9	9/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc002mkn.1	Nothing	PS50805|KRAB_Krueppel-associated_box_(KRAB)_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc002mkn.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	1/9	1/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc002mkn.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	2/9	2/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc002mkn.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	3/9	3/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc002mkn.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	4/9	4/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc002mkn.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	5/9	5/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc002mkn.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	6/9	6/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc002mkn.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	7/9	7/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc002mkn.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	8/9	8/9	0.0	NA	0.0	0.0	NA	0.0
148156	ZNF558	uc010dwg.1	uc002mkn.1	Nothing	PS50157|ZINC_FINGER_C2H2_2_Zinc_finger_C2H2_type_domain_profile.	9/9	9/9	0.0	NA	0.0	0.0	NA	0.0
55614	KIF16B	uc010gci.1	uc002wpg.1	Nothing	PS50067|KINESIN_MOTOR_2_Kinesin_motor_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
55614	KIF16B	uc010gci.1	uc002wpf.1	Nothing	PS50313|GLU_RICH_Glutamic_acid-rich_region_profile.	1/0	1/1	NA	NA	NA	0.0	NA	0.0
55614	KIF16B	uc010gci.1	uc002wpf.1	Lost_in_tumor	PS50067|KINESIN_MOTOR_2_Kinesin_motor_domain_profile.	1/1	1/0	1.0	0.574433656958	0.574433656958	NA	NA	NA
55614	KIF16B	uc010gch.1	uc002wpg.1	Nothing	PS50067|KINESIN_MOTOR_2_Kinesin_motor_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
55614	KIF16B	uc010gci.1	uc002wpe.1	Nothing	PS50313|GLU_RICH_Glutamic_acid-rich_region_profile.	1/0	1/1	NA	NA	NA	0.0	NA	0.0
55614	KIF16B	uc010gci.1	uc002wpe.1	Lost_in_tumor	PS50067|KINESIN_MOTOR_2_Kinesin_motor_domain_profile.	1/1	1/0	1.0	0.574433656958	0.574433656958	NA	NA	NA
83892	KCTD10	uc001toi.1	uc001tok.1	Lost_in_tumor	PS50097|BTB_BTB_domain_profile.	1/1	1/0	1.0	0.375690607735	0.375690607735	NA	NA	NA
83892	KCTD10	uc001toi.1	uc009zvi.1	Nothing	PS50097|BTB_BTB_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
55297	CCDC91	uc001riq.2	uc009zjl.2	Nothing	PS50313|GLU_RICH_Glutamic_acid-rich_region_profile.	1/1	1/1	0.197628458498	0.252525252525	0.124688279302	0.0	NA	0.0
55297	CCDC91	uc001riq.2	uc001rir.2	Lost_in_tumor	PS50313|GLU_RICH_Glutamic_acid-rich_region_profile.	1/1	1/0	0.0553359683794	0.0864197530864	0.0349127182045	NA	NA	NA
274	BIN1	uc002tob.1	uc002toa.1	Gained_in_tumor	PS50099|PRO_RICH_Proline-rich_region_profile.	1/0	1/1	NA	NA	NA	0.25	0.302325581395	0.158536585366
274	BIN1	uc002tob.1	uc002toa.1	Nothing	PS51021|BAR_BAR_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
274	BIN1	uc002tob.1	uc002toa.1	Nothing	PS50002|SH3_Src_homology_3_(SH3)_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
84125	LRRIQ1	uc001tac.2	uc001taa.1	Nothing	PS50079|NLS_BP_Bipartite_nuclear_localization_signal_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
