Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
51107	APH1A	uc001etz.1	uc010pby.1	Nothing	PF06105|Aph-1_protein	1/1	1/2	0.234567901235	1.0	0.234567901235	0.0	NA	0.0
51107	APH1A	uc001etz.1	uc010pby.1	Nothing	PF06105|Aph-1_protein	2/1	2/2	NA	NA	NA	0.0	NA	0.0
51107	APH1A	uc001etz.1	uc010pbx.1	Nothing	PF06105|Aph-1_protein	1/1	1/2	0.337448559671	1.0	0.337448559671	0.0	NA	0.0
51107	APH1A	uc001etz.1	uc010pbx.1	Gained_in_tumor	PF06105|Aph-1_protein	2/1	2/2	NA	NA	NA	0.0236220472441	0.25	0.0220588235294
51107	APH1A	uc001etz.1	uc001ety.1	Nothing	PF06105|Aph-1_protein	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
10574	CCT7	uc002siz.2	uc002sja.2	Nothing	PF00118|TCP-1/cpn60_chaperonin_family	1/1	1/1	0.357142857143	0.857843137255	0.337186897881	0.0	NA	0.0
10574	CCT7	uc002sja.2	uc002siz.2	Nothing	PF00118|TCP-1/cpn60_chaperonin_family	1/1	1/1	0.0	NA	0.0	0.357142857143	0.857843137255	0.337186897881
24140	FTSJ1	uc004djo.1	uc011mlw.1	Nothing	PF01728|FtsJ-like_methyltransferase	1/1	1/1	0.662921348315	0.855072463768	0.59595959596	0.0	NA	0.0
24140	FTSJ1	uc004djo.1	uc004djm.2	Nothing	PF01728|FtsJ-like_methyltransferase	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
24140	FTSJ1	uc011mlw.1	uc004djo.1	Nothing	PF01728|FtsJ-like_methyltransferase	1/1	1/1	0.0	NA	0.0	0.662921348315	0.855072463768	0.59595959596
177	AGER	uc003oal.1	uc003oak.1	Lost_in_tumor	PF13895|Immunoglobulin_domain	1/2	1/0	0.397435897436	0.114391143911	0.0974842767296	NA	NA	NA
177	AGER	uc003oal.1	uc003oak.1	Lost_in_tumor	PF13895|Immunoglobulin_domain	2/2	2/0	1.0	0.346863468635	0.346863468635	NA	NA	NA
177	AGER	uc003oal.1	uc003oak.1	Lost_in_tumor	PF08205|CD80-like_C2-set_immunoglobulin_domain	1/1	1/0	1.0	0.346863468635	0.346863468635	NA	NA	NA
177	AGER	uc003oau.1	uc003oak.1	Lost_in_tumor	PF13895|Immunoglobulin_domain	1/2	1/0	0.397435897436	0.114391143911	0.0974842767296	NA	NA	NA
177	AGER	uc003oau.1	uc003oak.1	Lost_in_tumor	PF13895|Immunoglobulin_domain	2/2	2/0	1.0	0.346863468635	0.346863468635	NA	NA	NA
