Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
4601	MXI1	uc001kza.2	uc001kyy.2	False	False	True	True	False
4601	MXI1	uc001kza.2	uc009xxu.2	False	False	True	True	False
4601	MXI1	uc001kza.2	uc001kyz.2	False	False	True	True	False
4601	MXI1	uc001kza.2	uc010qrc.1	False	False	True	False	False
57645	POGK	uc001gdt.1	uc010plf.1	False	True	True	True	True
85444	LRRCC1	uc003ycx.2	uc003ycw.2	True	True	True	False	True
4296	MAP3K11	uc001oew.2	uc001oev.2	True	True	True	True	True
55314	TMEM144	uc003ipx.2	uc010iqi.2	False	True	False	False	False
23380	SRGAP2	uc001hdx.2	uc010pru.1	True	False	True	True	False
23380	SRGAP2	uc001hdx.2	uc001hdy.2	True	False	True	True	False
23380	SRGAP2	uc001hdx.2	uc009xbt.2	True	True	True	True	True
23385	NCSTN	uc001fvx.2	uc010pjg.1	False	False	True	True	False
8131	NPRL3	uc002cfr.2	uc002cfp.1	False	True	True	True	False
8131	NPRL3	uc010uua.1	uc010uub.1	False	True	True	True	False
8131	NPRL3	uc010uuc.1	uc010uub.1	False	True	True	True	False
23382	AHCYL2	uc003vov.2	uc011kox.1	False	False	True	True	False
23382	AHCYL2	uc011kow.1	uc011kox.1	False	False	True	True	False
2720	GLB1	uc003cfi.1	uc003cfh.1	False	False	False	False	False
2720	GLB1	uc003cfi.1	uc003cfj.1	True	True	True	False	False
2184	FAH	uc002bfm.1	uc002bfj.2	False	False	False	False	False
2184	FAH	uc002bfm.1	uc002bfk.1	False	False	False	False	False
2184	FAH	uc002bfj.2	uc002bfm.1	False	False	False	False	False
4602	MYB	uc003qfh.2	uc003qfq.2	True	False	True	False	False
4602	MYB	uc003qfq.2	uc003qfi.2	True	False	True	True	False
4602	MYB	uc003qfu.2	uc003qfc.2	True	False	True	False	False
4602	MYB	uc003qfz.2	uc003qfi.2	True	True	True	True	True
4602	MYB	uc003qge.1	uc003qfi.2	True	True	True	True	True
4602	MYB	uc010kgi.2	uc003qfh.2	False	False	True	True	False
4602	MYB	uc010kgj.2	uc003qfc.2	True	True	True	True	False
27236	ARFIP1	uc003imz.2	uc011cij.1	True	False	True	True	False
27236	ARFIP1	uc003imz.2	uc003ina.2	False	False	True	True	False
139212	CXorf41	uc004enc.2	uc004end.2	False	False	False	False	False
80381	CD276	uc002avv.1	uc002avw.1	True	True	True	True	True
80381	CD276	uc002avv.1	uc010ulb.1	True	True	True	False	True
81562	LMAN2L	uc002swu.2	uc010yuw.1	True	False	True	False	False
81562	LMAN2L	uc002swu.2	uc010yuv.1	True	False	True	False	False
55646	LYAR	uc003ght.2	uc011bvy.1	False	False	False	False	False
2182	ACSL4	uc004eok.2	uc004eoj.2	False	False	False	False	False
57647	DHX37	uc001ugy.2	uc001ugz.1	False	True	True	True	True
139221	MUM1L1	uc004emf.1	uc004emg.1	False	False	True	False	False
139221	MUM1L1	uc004emg.1	uc004emf.1	False	False	True	False	False
4600	MX2	uc002yzf.1	uc010gop.1	True	True	True	True	True
157	ADRBK2	uc003abx.3	uc003abw.2	True	True	True	False	False
26548	ITGB1BP2	uc004dzr.1	uc004dzs.1	False	False	False	False	False
26548	ITGB1BP2	uc004dzs.1	uc004dzr.1	False	False	False	False	False
4292	MLH1	uc003cgl.2	uc010hgp.2	True	True	True	True	False
4292	MLH1	uc003cgl.2	uc011ayb.1	True	True	True	True	False
4744	NEFH	uc003afp.2	uc003afo.2	False	True	True	True	True
55317	C20orf29	uc002wju.1	uc002wjs.1	False	False	False	False	False
2187	FANCB	uc004cwh.1	uc004cwg.1	False	False	False	False	False
2186	BPTF	uc002jgf.2	uc002jgh.2	True	True	True	True	True
80380	PDCD1LG2	uc003zjg.3	uc011lmd.1	False	False	True	True	False
23384	CYTSA	uc002zzv.3	uc011ajq.1	False	True	False	True	False
23384	CYTSA	uc002zzw.2	uc011ajq.1	False	True	False	True	False
81567	TXNDC5	uc010jnz.2	uc003mxv.2	True	False	True	True	True
201158	FAM18B2	uc010cor.2	uc010vvx.1	False	False	False	False	False
55640	FLVCR2	uc001xrs.2	uc010tvd.1	False	False	True	True	False
2181	ACSL3	uc002vnk.2	uc002vni.2	True	True	True	True	False
57644	MYH7B	uc002xbi.1	uc010gfa.1	True	True	True	True	False
27233	SULT1C4	uc002teb.1	uc002tea.1	True	False	False	False	False
9746	CLSTN3	uc001qst.2	uc001qsr.2	False	True	True	True	True
6238	RRBP1	uc002wpt.1	uc002wpw.1	False	True	True	True	True
6238	RRBP1	uc010zrq.1	uc002wpt.1	False	True	True	True	True
100128788	LOC100128788	uc010uwg.1	uc002cri.1	False	False	False	False	False
4294	MAP3K10	uc002ona.2	uc002onb.2	True	True	True	True	True
4291	MLF1	uc003fcb.2	uc003fca.2	False	False	True	True	False
81565	NDEL1	uc002glj.2	uc002gli.2	False	False	True	True	False
84696	ABHD1	uc002riv.2	uc002riu.2	False	False	False	False	False
4745	NELL1	uc001mqe.2	uc010rdp.1	True	True	False	False	False
56666	PANX2	uc003bjn.3	uc003bjo.3	False	False	True	True	False
56848	SPHK2	uc002pjv.2	uc002pju.2	False	False	True	True	True
27237	ARHGEF16	uc001aki.2	uc001akj.2	False	False	False	False	False
27231	ITGB1BP3	uc010xia.1	uc002lyz.3	False	False	False	False	False
51127	TRIM17	uc001hsw.2	uc001hsu.2	True	True	True	False	True
27239	GPR162	uc001qqx.1	uc009zfd.1	False	False	False	False	False
80167	C4orf29	uc010inz.2	uc003ifu.2	False	False	False	False	False
6187	RPS2	uc002cno.2	uc002cnn.2	False	False	False	False	False
6183	MRPS12	uc002okc.2	uc002okd.2	False	False	False	False	False
6181	RPLP2	uc001lrq.1	uc001lrr.1	False	False	False	False	False
134429	STARD4	uc003kph.1	uc003kpi.1	True	True	True	False	True
90293	KLHL13	uc011mtp.1	uc004eqm.2	False	False	True	False	False
9197	SLC33A1	uc003fao.1	uc003fan.3	False	False	False	False	False
10562	OLFM4	uc001vhl.2	uc001vhk.1	False	True	True	False	True
9747	FAM115A	uc003wdp.1	uc003wdo.1	False	False	False	False	False
122953	JDP2	uc001xrq.2	uc010tvc.1	False	False	True	True	False
6233	RPS27A	uc002ryl.2	uc002ryk.2	True	True	True	True	True
11315	PARK7	uc001aox.3	uc001aou.3	False	False	False	False	False
3689	ITGB2	uc002zgf.3	uc010gpw.2	True	False	False	True	False
3689	ITGB2	uc002zgf.3	uc002zgd.2	False	False	False	False	False
3689	ITGB2	uc002zgf.3	uc002zge.2	False	False	False	False	False
3689	ITGB2	uc002zgf.3	uc002zgg.2	False	False	False	False	False
3688	ITGB1	uc001iwt.3	uc001iws.3	False	False	False	False	False
3688	ITGB1	uc001iwt.3	uc001iwr.3	False	False	True	False	False
5055	SERPINB2	uc002ljo.2	uc010dqh.2	True	False	False	False	False
5055	SERPINB2	uc010dqh.2	uc002ljo.2	True	False	False	False	False
5055	SERPINB2	uc002ljo.2	uc010xeu.1	False	False	False	False	False
5055	SERPINB2	uc010xeu.1	uc002ljo.2	False	False	False	False	False
285172	FAM126B	uc002uwv.2	uc002uws.3	False	False	False	False	False
79140	CCDC28B	uc001bul.1	uc001buk.2	False	False	True	False	False
8525	DGKZ	uc001ncj.1	uc001ncl.2	True	False	True	True	False
8525	DGKZ	uc001ncj.1	uc010rgr.1	True	False	False	False	False
8525	DGKZ	uc001nck.1	uc001ncl.2	True	True	True	True	False
8525	DGKZ	uc001ncn.1	uc001ncl.2	True	False	True	True	False
8525	DGKZ	uc009yky.1	uc001ncl.2	True	False	True	False	False
22877	MLXIP	uc001ubt.2	uc001ubr.2	False	True	True	True	True
22877	MLXIP	uc001ubq.2	uc001ubt.2	False	False	True	True	False
