Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
84695	LOXL3	uc002smp.1	uc002smo.1	True	True	True	True	True
84695	LOXL3	uc002smp.1	uc002smq.1	True	True	True	False	True
84695	LOXL3	uc002smq.1	uc002smo.1	True	True	True	True	True
55291	SAPS3	uc001onw.2	uc001onz.2	False	True	True	True	False
26123	TCTN3	uc001klb.3	uc001kla.3	False	False	True	True	True
57291	KIAA0114	uc003gzo.2	uc003gzp.2	False	False	False	False	False
57291	KIAA0114	uc003gzp.2	uc003gzo.2	False	False	False	False	False
55614	KIF16B	uc010gci.1	uc002wpg.1	True	True	True	True	False
55614	KIF16B	uc010gci.1	uc002wpf.1	True	True	True	True	True
55614	KIF16B	uc010gci.1	uc002wpe.1	True	True	True	True	True
55614	KIF16B	uc010gci.1	uc010gch.1	True	True	True	True	False
83548	COG3	uc001vak.2	uc010aci.2	False	False	True	True	False
6792	CDKL5	uc004cyn.2	uc004cym.2	False	False	False	False	False
402055	SRRD	uc003acp.3	uc010gve.2	False	False	True	False	True
339883	C3orf35	uc003chb.2	uc003cgz.1	False	False	True	True	False
339883	C3orf35	uc003chb.2	uc003cgy.1	False	False	True	True	False
960	CD44	uc001mvx.2	uc001mvw.2	False	False	True	True	False
274	BIN1	uc002tob.1	uc010yzg.1	False	False	False	False	False
274	BIN1	uc002tob.1	uc002toa.1	False	False	True	True	True
140823	ROMO1	uc010gfm.2	uc002xdy.2	False	False	False	False	False
57472	CNOT6	uc003mlx.2	uc010jle.2	False	False	False	False	False
132158	GLYCTK	uc003ddp.1	uc003ddo.2	True	True	True	True	False
132158	GLYCTK	uc003ddp.1	uc003ddq.2	False	False	True	False	False
84699	CREB3L3	uc002lzl.2	uc010xic.1	False	True	True	True	True
84699	CREB3L3	uc002lzl.2	uc002lzm.2	False	False	True	False	False
84699	CREB3L3	uc002lzm.2	uc010xib.1	False	False	True	False	False
271	AMPD2	uc001dyb.1	uc001dye.1	True	False	True	True	False
23308	ICOSLG	uc002zee.2	uc002zef.2	True	True	False	False	True
57475	PLEKHH1	uc001xjl.1	uc001xjp.1	True	True	True	True	False
57475	PLEKHH1	uc001xjl.1	uc010tsx.1	True	True	True	True	True
6795	AURKC	uc002qoc.2	uc010etv.2	True	False	True	True	False
6795	AURKC	uc002qod.2	uc002qoc.2	False	False	True	False	False
275	AMT	uc003cww.2	uc003cwy.2	True	False	False	False	False
153770	PLAC8L1	uc003lnv.2	uc011dbp.1	False	True	False	False	False
22871	NLGN1	uc003fio.1	uc003fip.1	False	False	False	False	False
22872	SEC31A	uc003hnd.2	uc003hni.2	False	True	True	True	True
22872	SEC31A	uc003hnd.2	uc003hnl.2	False	True	True	True	True
22879	MON1B	uc002fez.2	uc002ffa.2	False	False	True	True	False
10714	POLD3	uc001ovf.1	uc009yua.1	False	False	False	False	False
114785	MBD6	uc001sok.1	uc001sol.1	False	False	True	True	True
55296	TBC1D19	uc011bxu.1	uc003gsf.3	False	False	True	False	False
