Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
6795	AURKC	uc002qoc.2	uc010etv.2	Nothing	PF00069|Protein_kinase_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc002qoc.2	uc002qod.2	Nothing	PF00069|Protein_kinase_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc010etv.2	uc002qoc.2	Nothing	PF00069|Protein_kinase_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc002qoc.2	uc002qoe.2	Nothing	PF00069|Protein_kinase_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
6795	AURKC	uc002qoe.2	uc002qoc.2	Nothing	PF00069|Protein_kinase_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
153770	PLAC8L1	uc011dbp.1	uc003lnv.2	Gained_in_tumor	PF04749|PLAC8_family	1/0	1/1	NA	NA	NA	1.0	1.0	1.0
153770	PLAC8L1	uc003lnv.2	uc011dbp.1	Lost_in_tumor	PF04749|PLAC8_family	1/1	1/0	1.0	1.0	1.0	NA	NA	NA
26123	TCTN3	uc001klb.3	uc001kla.3	Nothing	PF07773|Protein_of_unknown_function_(DUF1619)	1/1	1/1	0.206666666667	0.41059602649	0.159383033419	0.0	NA	0.0
26123	TCTN3	uc001klb.3	uc010qoi.1	Nothing	PF07773|Protein_of_unknown_function_(DUF1619)	1/1	1/1	0.493333333333	1.0	0.493333333333	0.0	NA	0.0
271	AMPD2	uc001dyb.1	uc001dye.1	Nothing	PF00962|Adenosine/AMP_deaminase	1/1	1/1	0.790640394089	0.493846153846	0.436734693878	0.0	NA	0.0
4528	MTIF2	uc002ryo.2	uc010yox.1	Nothing	PF11987|Translation-initiation_factor_2	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
4528	MTIF2	uc002ryo.2	uc010yox.1	Nothing	PF03144|Elongation_factor_Tu_domain_2	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
4528	MTIF2	uc002ryo.2	uc010yox.1	Lost_in_tumor	PF00009|Elongation_factor_Tu_GTP_binding_domain	1/1	1/0	0.94375	0.456193353474	0.444117647059	NA	NA	NA
84698	CAPS2	uc001sxm.3	uc001sxl.3	Nothing	PF13499|EF-hand_domain_pair	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
84698	CAPS2	uc001sxm.3	uc009zsa.2	Nothing	PF13499|EF-hand_domain_pair	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
84698	CAPS2	uc001sxl.3	uc001sxm.3	Nothing	PF13499|EF-hand_domain_pair	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
84698	CAPS2	uc009zsa.2	uc001sxm.3	Nothing	PF13499|EF-hand_domain_pair	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
270	AMPD1	uc001eff.1	uc001efe.1	Nothing	PF00962|Adenosine/AMP_deaminase	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
270	AMPD1	uc001efe.1	uc001eff.1	Nothing	PF00962|Adenosine/AMP_deaminase	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
51263	MRPL30	uc002szv.2	uc002szu.2	Nothing	PF00327|Ribosomal_protein_L30p/L7e	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
55615	PRR5	uc003bex.1	uc003bew.1	Nothing	PF08539|HbrB-like	1/1	1/1	0.0	NA	0.0	0.46875	0.697674418605	0.38961038961
55615	PRR5	uc003bex.1	uc003bfh.1	Nothing	PF08539|HbrB-like	1/1	1/1	0.191176470588	1.0	0.191176470588	0.0178571428571	0.142857142857	0.0161290322581
57480	PLEKHG1	uc011eem.1	uc003qny.1	Nothing	PF00621|RhoGEF_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
274	BIN1	uc002toa.1	uc010yzf.1	Nothing	PF14604|Variant_SH3_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
274	BIN1	uc002toa.1	uc010yzf.1	Nothing	PF03114|BAR_domain	1/1	1/1	0.0509259259259	0.379310344828	0.0470085470085	0.00966183574879	0.4	0.00952380952381
274	BIN1	uc002toa.1	uc002tnx.1	Nothing	PF14604|Variant_SH3_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
274	BIN1	uc002toa.1	uc002tnx.1	Nothing	PF03114|BAR_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
274	BIN1	uc002toa.1	uc002tob.1	Nothing	PF14604|Variant_SH3_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
274	BIN1	uc002toa.1	uc002tob.1	Nothing	PF03114|BAR_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
63027	SLC22A23	uc003mvo.3	uc003mvm.3	Nothing	PF00083|Sugar_(and_other)_transporter	1/1	1/1	1.0	0.832098765432	0.832098765432	1.0	0.565597667638	0.565597667638
5986	RFNG	uc002kdj.2	uc002kdh.2	Nothing	PF02434|Fringe-like	1/1	1/1	0.644	0.748837209302	0.529605263158	0.0	NA	0.0
114789	SLC25A25	uc004bte.2	uc004btc.2	Nothing	PF13833|EF-hand_domain_pair	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
114789	SLC25A25	uc004bte.2	uc004btc.2	Nothing	PF00153|Mitochondrial_carrier_protein	1/3	1/3	0.0	NA	0.0	0.0	NA	0.0
114789	SLC25A25	uc004bte.2	uc004btc.2	Nothing	PF00153|Mitochondrial_carrier_protein	2/3	2/3	0.0	NA	0.0	0.0	NA	0.0
114789	SLC25A25	uc004bte.2	uc004btc.2	Nothing	PF00153|Mitochondrial_carrier_protein	3/3	3/3	0.0	NA	0.0	0.0	NA	0.0
