Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
11113	CIT	uc001txh.1	uc001txi.1	True	True	True	True	True
11113	CIT	uc001txh.1	uc001txj.1	True	True	True	True	True
11113	CIT	uc001txi.1	uc001txj.1	False	False	True	True	False
84552	PARD6G	uc002lny.2	uc010xfp.1	True	True	True	True	True
92745	SLC38A5	uc010nid.2	uc004djk.3	False	False	True	False	False
56100	PCDHGB6	uc003lki.1	uc003lkj.1	False	False	True	True	False
56100	PCDHGB6	uc003lkj.1	uc003lki.1	False	False	True	True	False
56106	PCDHGA10	uc011day.1	uc003lkl.1	False	False	True	True	False
56106	PCDHGA10	uc003lkl.1	uc011day.1	False	False	True	True	False
55813	UTP6	uc002hgr.2	uc010cst.2	False	True	True	False	False
388115	C15orf52	uc010ucn.1	uc001zlh.3	False	False	True	True	False
51030	FAM18B	uc002gun.2	uc002gum.2	False	False	True	False	False
219854	TMEM218	uc001qbt.2	uc010sax.1	False	False	True	False	False
79701	C17orf101	uc002keu.1	uc002ket.1	False	True	True	True	True
79701	C17orf101	uc002ket.1	uc010dip.1	True	True	True	True	False
339229	C17orf90	uc002kba.2	uc002kbb.2	False	True	True	True	False
90523	C6orf142	uc003pcg.3	uc003pch.3	False	False	True	True	False
107	ADCY1	uc003tne.3	uc003tnd.2	True	True	True	True	False
1939	LGTN	uc001heh.2	uc009xbw.2	False	False	True	True	False
55106	SLFN12	uc002hji.3	uc010cts.2	False	False	False	False	False
55106	SLFN12	uc010cts.2	uc002hji.3	False	False	False	False	False
23265	EXOC7	uc010wsx.1	uc002jqp.1	False	True	True	True	False
23265	EXOC7	uc010wsx.1	uc010wsw.1	False	False	True	True	False
56105	PCDHGA11	uc003lko.1	uc003lkq.1	False	False	True	True	False
56105	PCDHGA11	uc003lkq.1	uc003lko.1	False	False	True	True	False
56101	PCDHGB5	uc011daw.1	uc003lkf.1	False	False	True	True	False
5981	RFC1	uc003gtx.1	uc003gty.1	False	False	False	False	False
84557	MAP1LC3A	uc002xaq.1	uc002xap.1	True	False	True	True	False
84557	MAP1LC3A	uc002xap.1	uc002xaq.1	True	False	True	True	False
79706	PRKRIP1	uc003uzh.2	uc003uzf.2	False	False	True	True	False
79706	PRKRIP1	uc003uzh.2	uc011kkq.1	False	False	True	True	False
257101	ZNF683	uc001bmh.1	uc009vsj.1	False	False	False	False	False
257101	ZNF683	uc009vsj.1	uc001bmh.1	False	False	False	False	False
5618	PRLR	uc003jjl.3	uc003jjm.2	True	True	False	False	False
55107	ANO1	uc010rqk.1	uc001opj.2	False	False	True	True	False
128853	DUSP15	uc002www.1	uc002wwv.1	False	False	False	False	False
128853	DUSP15	uc002www.1	uc002wwx.1	True	True	False	False	True
56109	PCDHGA6	uc003ljy.1	uc011dau.1	True	False	True	True	False
56109	PCDHGA6	uc011dau.1	uc003ljy.1	True	False	True	True	False
56108	PCDHGA7	uc003ljz.1	uc003lka.1	False	False	True	True	False
56108	PCDHGA7	uc003lka.1	uc003ljz.1	False	False	True	True	False
56107	PCDHGA9	uc011dax.1	uc003lkh.1	False	False	True	True	False
90379	DCAF15	uc002mxt.2	uc002mxu.2	False	True	True	True	True
10256	CNKSR1	uc001blm.3	uc009vse.2	True	True	True	False	True
10256	CNKSR1	uc001bln.3	uc009vse.2	True	True	True	False	True
9501	RPH3AL	uc002frd.1	uc010cjl.1	True	False	False	False	True
5091	PC	uc001ojn.1	uc001ojp.1	False	False	False	False	False
285074	LOC285074	uc010fgw.2	uc002ssf.3	False	False	False	False	False
404281	YY2	uc010nfq.2	uc011mjp.1	False	True	True	False	True
11118	BTN3A2	uc003nhp.2	uc011dke.1	False	False	True	False	False
8714	ABCC3	uc002isn.2	uc002isl.2	True	True	True	True	True
63935	PCIF1	uc002xqs.2	uc002xqu.2	True	True	True	True	True
55101	ATP5SL	uc002oqw.1	uc002oqz.1	False	False	True	False	False
170685	NUDT10	uc004dpi.3	uc004dph.2	False	False	False	False	False
114327	EFHC1	uc011dwv.1	uc011dww.1	True	False	True	False	False
497661	C18orf32	uc002ldl.2	uc002ldk.1	False	False	False	False	False
57476	GRAMD1B	uc010rzx.1	uc010rzw.1	False	False	True	True	False
57477	SHROOM4	uc004dpe.2	uc004dpd.3	True	True	True	True	True
