Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
11113	CIT	uc001txh.1	uc001txi.1	Nothing	PF00780|CNH_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
11113	CIT	uc001txh.1	uc001txi.1	Gained_in_tumor	PF00433|Protein_kinase_C_terminal_domain	1/0	1/1	NA	NA	NA	1.0	0.0918803418803	0.0918803418803
11113	CIT	uc001txh.1	uc001txi.1	Gained_in_tumor	PF00069|Protein_kinase_domain	1/0	1/1	NA	NA	NA	1.0	0.559829059829	0.559829059829
11113	CIT	uc001txh.1	uc001txj.1	Nothing	PF00780|CNH_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
11113	CIT	uc001txh.1	uc001txj.1	Gained_in_tumor	PF00433|Protein_kinase_C_terminal_domain	1/0	1/1	NA	NA	NA	1.0	0.0918803418803	0.0918803418803
11113	CIT	uc001txh.1	uc001txj.1	Gained_in_tumor	PF00069|Protein_kinase_domain	1/0	1/1	NA	NA	NA	1.0	0.559829059829	0.559829059829
11113	CIT	uc001txi.1	uc001txj.1	Nothing	PF00780|CNH_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
11113	CIT	uc001txi.1	uc001txj.1	Nothing	PF00433|Protein_kinase_C_terminal_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
11113	CIT	uc001txi.1	uc001txj.1	Nothing	PF00069|Protein_kinase_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
84552	PARD6G	uc002lny.2	uc010xfp.1	Lost_in_tumor	PF00595|PDZ_domain_(Also_known_as_DHR_or_GLGF)	1/1	1/0	1.0	0.28880866426	0.28880866426	NA	NA	NA
84552	PARD6G	uc002lny.2	uc010xfp.1	Nothing	PF00564|PB1_domain	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
92745	SLC38A5	uc010nid.2	uc004djk.3	Nothing	PF01490|Transmembrane_amino_acid_transporter_protein	1/1	1/1	0.0121359223301	0.0980392156863	0.0109170305677	0.0	NA	0.0
