Gene	Symbol	NormalTranscript	TumorTranscript	What	Feature	normalReps	tumorReps	nMacroScore	nMicroScore	nJaccard	tMacroScore	tMicroScore	tJaccard
4601	MXI1	uc001kza.2	uc001kyy.2	Nothing	PS50888|BHLH_Myc-type,_basic_helix-loop-helix_(bHLH)_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
4601	MXI1	uc001kza.2	uc009xxu.2	Nothing	PS50888|BHLH_Myc-type,_basic_helix-loop-helix_(bHLH)_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
4601	MXI1	uc001kza.2	uc001kyz.2	Nothing	PS50888|BHLH_Myc-type,_basic_helix-loop-helix_(bHLH)_domain_profile.	1/1	1/1	0.192307692308	1.0	0.192307692308	0.0	NA	0.0
4601	MXI1	uc001kza.2	uc010qrc.1	Nothing	PS50888|BHLH_Myc-type,_basic_helix-loop-helix_(bHLH)_domain_profile.	1/1	1/1	0.192307692308	1.0	0.192307692308	0.0	NA	0.0
57645	POGK	uc001gdt.1	uc010plf.1	Nothing	PS51253|HTH_CENPB_CENPB-type_HTH_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
57645	POGK	uc001gdt.1	uc010plf.1	Lost_in_tumor	PS50805|KRAB_Krueppel-associated_box_(KRAB)_profile.	1/1	1/0	1.0	0.591666666667	0.591666666667	NA	NA	NA
57645	POGK	uc001gdt.1	uc010plf.1	Lost_in_tumor	PS50806|KRAB_RELATED_KRAB-related_domain_profile.	1/1	1/0	1.0	0.533333333333	0.533333333333	NA	NA	NA
85444	LRRCC1	uc003ycx.2	uc003ycw.2	Nothing	PS51450|LRR_Leucine-rich_repeat_profile.	1/2	1/4	0.0	NA	0.0	0.0	NA	0.0
85444	LRRCC1	uc003ycx.2	uc003ycw.2	Nothing	PS51450|LRR_Leucine-rich_repeat_profile.	2/2	2/4	0.0	NA	0.0	0.0	NA	0.0
85444	LRRCC1	uc003ycx.2	uc003ycw.2	Gained_in_tumor	PS51450|LRR_Leucine-rich_repeat_profile.	3/2	3/4	NA	NA	NA	0.809523809524	0.163461538462	0.157407407407
85444	LRRCC1	uc003ycx.2	uc003ycw.2	Gained_in_tumor	PS51450|LRR_Leucine-rich_repeat_profile.	4/2	4/4	NA	NA	NA	1.0	0.201923076923	0.201923076923
4296	MAP3K11	uc001oew.2	uc001oev.2	Nothing	PS50099|PRO_RICH_Proline-rich_region_profile.	1/0	1/1	NA	NA	NA	0.0	NA	0.0
4296	MAP3K11	uc001oew.2	uc001oev.2	Lost_in_tumor	PS50315|GLY_RICH_Glycine-rich_region_profile.	1/1	1/0	1.0	0.212328767123	0.212328767123	NA	NA	NA
4296	MAP3K11	uc001oew.2	uc001oev.2	Lost_in_tumor	PS50011|PROTEIN_KINASE_DOM_Protein_kinase_domain_profile.	1/1	1/0	1.0	0.448630136986	0.448630136986	NA	NA	NA
4296	MAP3K11	uc001oew.2	uc001oev.2	Lost_in_tumor	PS50002|SH3_Src_homology_3_(SH3)_domain_profile.	1/1	1/0	1.0	0.109589041096	0.109589041096	NA	NA	NA
23380	SRGAP2	uc001hdx.2	uc010pru.1	Nothing	PS51741|F_BAR_F-BAR_domain_profile.	1/1	1/1	0.324894514768	1.0	0.324894514768	0.0	NA	0.0
23380	SRGAP2	uc001hdx.2	uc010pru.1	Nothing	PS50238|RHOGAP_Rho_GTPase-activating_proteins_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
23380	SRGAP2	uc001hdx.2	uc001hdy.2	Nothing	PS51741|F_BAR_F-BAR_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
23380	SRGAP2	uc001hdx.2	uc001hdy.2	Nothing	PS50238|RHOGAP_Rho_GTPase-activating_proteins_domain_profile.	1/1	1/1	0.0	NA	0.0	0.0	NA	0.0
23380	SRGAP2	uc001hdx.2	uc009xbt.2	Nothing	PS51741|F_BAR_F-BAR_domain_profile.	1/1	1/1	0.324894514768	1.0	0.324894514768	0.0	NA	0.0
23380	SRGAP2	uc001hdx.2	uc009xbt.2	Lost_in_tumor	PS50238|RHOGAP_Rho_GTPase-activating_proteins_domain_profile.	1/1	1/0	1.0	0.286458333333	0.286458333333	NA	NA	NA
4602	MYB	uc003qfh.2	uc003qfq.2	Nothing	PS50090|MYB_LIKE_Myb-like_domain_profile.	1/3	1/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfh.2	uc003qfq.2	Nothing	PS50090|MYB_LIKE_Myb-like_domain_profile.	2/3	2/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfh.2	uc003qfq.2	Nothing	PS50090|MYB_LIKE_Myb-like_domain_profile.	3/3	3/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfh.2	uc003qfq.2	Nothing	PS51294|HTH_MYB_Myb-type_HTH_DNA-binding_domain_profile.	1/3	1/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfh.2	uc003qfq.2	Nothing	PS51294|HTH_MYB_Myb-type_HTH_DNA-binding_domain_profile.	2/3	2/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfh.2	uc003qfq.2	Nothing	PS51294|HTH_MYB_Myb-type_HTH_DNA-binding_domain_profile.	3/3	3/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfq.2	uc003qfi.2	Nothing	PS50090|MYB_LIKE_Myb-like_domain_profile.	1/3	1/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfq.2	uc003qfi.2	Nothing	PS50090|MYB_LIKE_Myb-like_domain_profile.	2/3	2/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfq.2	uc003qfi.2	Nothing	PS50090|MYB_LIKE_Myb-like_domain_profile.	3/3	3/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfq.2	uc003qfi.2	Nothing	PS51294|HTH_MYB_Myb-type_HTH_DNA-binding_domain_profile.	1/3	1/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfq.2	uc003qfi.2	Nothing	PS51294|HTH_MYB_Myb-type_HTH_DNA-binding_domain_profile.	2/3	2/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfq.2	uc003qfi.2	Nothing	PS51294|HTH_MYB_Myb-type_HTH_DNA-binding_domain_profile.	3/3	3/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfu.2	uc003qfc.2	Nothing	PS50090|MYB_LIKE_Myb-like_domain_profile.	1/3	1/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfu.2	uc003qfc.2	Nothing	PS50090|MYB_LIKE_Myb-like_domain_profile.	2/3	2/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfu.2	uc003qfc.2	Nothing	PS50090|MYB_LIKE_Myb-like_domain_profile.	3/3	3/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfu.2	uc003qfc.2	Nothing	PS51294|HTH_MYB_Myb-type_HTH_DNA-binding_domain_profile.	1/3	1/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfu.2	uc003qfc.2	Nothing	PS51294|HTH_MYB_Myb-type_HTH_DNA-binding_domain_profile.	2/3	2/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfu.2	uc003qfc.2	Nothing	PS51294|HTH_MYB_Myb-type_HTH_DNA-binding_domain_profile.	3/3	3/3	0.0	NA	0.0	0.0	NA	0.0
4602	MYB	uc003qfz.2	uc003qfi.2	Gained_in_tumor	PS50090|MYB_LIKE_Myb-like_domain_profile.	1/0	1/3	NA	NA	NA	1.0	1.0	1.0
4602	MYB	uc003qfz.2	uc003qfi.2	Gained_in_tumor	PS50090|MYB_LIKE_Myb-like_domain_profile.	2/0	2/3	NA	NA	NA	1.0	1.0	1.0
4602	MYB	uc003qfz.2	uc003qfi.2	Gained_in_tumor	PS50090|MYB_LIKE_Myb-like_domain_profile.	3/0	3/3	NA	NA	NA	1.0	1.0	1.0
4602	MYB	uc003qfz.2	uc003qfi.2	Gained_in_tumor	PS51294|HTH_MYB_Myb-type_HTH_DNA-binding_domain_profile.	1/0	1/3	NA	NA	NA	1.0	1.0	1.0
4602	MYB	uc003qfz.2	uc003qfi.2	Gained_in_tumor	PS51294|HTH_MYB_Myb-type_HTH_DNA-binding_domain_profile.	2/0	2/3	NA	NA	NA	1.0	1.0	1.0
