Gene	Symbol	NormalTranscript	TumorTranscript	iLoops	Domain	Disorder	Anchor	PTM
51107	APH1A	uc001etz.1	uc010pby.1	False	False	False	False	False
51107	APH1A	uc001etz.1	uc010pbx.1	False	True	True	False	False
51107	APH1A	uc001etz.1	uc001ety.1	False	False	True	False	False
9750	FAM65B	uc011djs.1	uc003neo.1	False	False	True	True	False
9750	FAM65B	uc011djs.1	uc003nep.2	False	False	True	True	False
9750	FAM65B	uc011djs.1	uc011djt.1	False	False	True	True	False
10574	CCT7	uc002siz.2	uc002sja.2	True	False	True	False	False
10574	CCT7	uc002sja.2	uc002siz.2	True	False	True	False	False
24140	FTSJ1	uc004djo.1	uc011mlw.1	True	False	True	False	True
24140	FTSJ1	uc004djo.1	uc004djm.2	False	False	True	False	False
24140	FTSJ1	uc011mlw.1	uc004djo.1	True	False	True	False	True
177	AGER	uc003oal.1	uc003oak.1	True	True	True	True	True
177	AGER	uc003oau.1	uc003oak.1	True	True	True	True	True
177	AGER	uc003oau.1	uc003oat.1	True	False	True	False	False
731220	RFX8	uc010yvx.1	uc002tbb.1	False	False	True	True	False
731220	RFX8	uc002tbb.1	uc010yvx.1	False	False	True	True	False
3750	KCND1	uc004dlx.1	uc004dlw.1	True	True	True	True	False
6815	STYX	uc001xaa.2	uc010tqy.1	False	False	False	False	False
8846	ALKBH1	uc001xuc.1	uc001xud.1	False	True	True	True	True
8846	ALKBH1	uc001xud.1	uc001xuc.1	False	True	True	True	True
79370	BCL2L14	uc001rac.2	uc001rad.2	False	False	False	False	False
79370	BCL2L14	uc001rad.2	uc001rac.2	False	False	False	False	False
24146	CLDN15	uc003uyh.1	uc003uyg.1	False	False	False	False	False
24146	CLDN15	uc003uyi.2	uc003uyg.1	False	False	True	False	False
24141	C20orf103	uc002wni.1	uc010zrc.1	False	False	False	False	False
24141	C20orf103	uc010zrc.1	uc002wni.1	False	False	False	False	False
149469	C1orf84	uc001cji.1	uc001cjh.2	False	False	True	False	False
138724	C9orf131	uc003zvw.2	uc003zvv.2	False	False	True	True	False
138724	C9orf131	uc003zvu.2	uc003zvv.2	False	False	False	False	False
63906	GPATCH3	uc001bne.2	uc009vsp.1	False	False	True	True	False
80108	ZFP2	uc003mjn.1	uc010jky.2	False	False	False	False	False
57089	ENTPD7	uc001kqa.3	uc009xwl.2	False	False	False	False	False
6819	SULT1C2	uc002tdy.2	uc010ywq.1	True	False	False	False	False
24144	TFIP11	uc003act.2	uc003acq.2	False	True	True	True	True
346389	MACC1	uc010kug.2	uc003sus.3	False	False	False	False	False
161823	ADAL	uc001zrh.2	uc010udo.1	True	True	True	False	False
161823	ADAL	uc010udo.1	uc001zri.1	True	True	True	True	False
57664	PLEKHA4	uc002pkx.2	uc002pkw.1	True	True	True	True	True
56941	C3orf37	uc003elt.2	uc003elu.2	True	False	False	False	False
205251	NCRNA00116	uc002tfq.2	uc010fjx.1	False	False	False	False	False
57082	CASC5	uc010bbt.1	uc010bbs.1	False	False	False	True	False
9754	STARD8	uc004dxc.3	uc004dxa.2	False	False	False	False	False
10575	CCT4	uc002sbo.2	uc010ypp.1	False	False	True	True	False
10575	CCT4	uc002sbo.2	uc010ypr.1	False	False	True	True	False
